generator,learner,rmse,gen_type
nflow0,TNet(),4.538357400385694,nflow
nflow0,PWNet(),4.365098423936912,nflow
nflow0,RANet(),5.296509017997601,nflow
nflow0,DRNet(),5.2670380029126465,nflow
arf3,TNet(),3.9713107930004012,arf
arf3,PWNet(),5.106891909902026,arf
arf3,RANet(),4.022981484026711,arf
arf3,DRNet(),5.565621515655123,arf
nflow4,TNet(),4.8352884811457555,nflow
nflow4,PWNet(),5.275753302980384,nflow
nflow4,RANet(),5.504559779189259,nflow
nflow4,DRNet(),5.496320436969094,nflow
ctgan2,TNet(),5.857421633105231,ctgan
ctgan2,PWNet(),4.7205470042470346,ctgan
ctgan2,RANet(),5.043339109862794,ctgan
ctgan2,DRNet(),3.9199879633384076,ctgan
tvae0,TNet(),4.78083501853958,tvae
tvae0,PWNet(),3.860744772835439,tvae
tvae0,RANet(),4.626508439468583,tvae
tvae0,DRNet(),4.292757803816608,tvae
ddpm0,TNet(),18.883211054672874,ddpm
ddpm0,PWNet(),4.513278529454548,ddpm
ddpm0,RANet(),23.996210007977457,ddpm
ddpm0,DRNet(),13.40357414010185,ddpm
arf1,TNet(),4.1660372541064925,arf
arf1,PWNet(),4.201330155923115,arf
arf1,RANet(),4.377102885213461,arf
arf1,DRNet(),3.660631575605047,arf
arf2,TNet(),4.98554821537077,arf
arf2,PWNet(),8.22347677960819,arf
arf2,RANet(),4.953496990034486,arf
arf2,DRNet(),4.003972265164371,arf
nflow2,TNet(),4.3164931927087515,nflow
nflow2,PWNet(),5.20929011811415,nflow
nflow2,RANet(),4.505899869589534,nflow
nflow2,DRNet(),4.499397049958345,nflow
tvae2,TNet(),4.158893357285648,tvae
tvae2,PWNet(),5.007447658557755,tvae
tvae2,RANet(),4.020586435416296,tvae
tvae2,DRNet(),4.127188918660051,tvae
ctgan4,TNet(),5.785769865550313,ctgan
ctgan4,PWNet(),5.1294880665261955,ctgan
ctgan4,RANet(),5.159988735617148,ctgan
ctgan4,DRNet(),5.662689281346911,ctgan
ddpm2,TNet(),4.755318848618977,ddpm
ddpm2,PWNet(),5.593679300283877,ddpm
ddpm2,RANet(),8.299287595576718,ddpm
ddpm2,DRNet(),4.15875083307613,ddpm
ctgan1,TNet(),4.471327995908207,ctgan
ctgan1,PWNet(),4.009770258868298,ctgan
ctgan1,RANet(),4.308535433229862,ctgan
ctgan1,DRNet(),4.015670322175891,ctgan
arf0,TNet(),3.9915456158316007,arf
arf0,PWNet(),7.018792933344479,arf
arf0,RANet(),3.935218448800526,arf
arf0,DRNet(),4.419536069097745,arf
arf4,TNet(),4.4880185888461614,arf
arf4,PWNet(),8.668993783040012,arf
arf4,RANet(),4.431745520378805,arf
arf4,DRNet(),4.23138393525073,arf
ctgan3,TNet(),5.202788426084667,ctgan
ctgan3,PWNet(),6.956811657863326,ctgan
ctgan3,RANet(),4.489901209300917,ctgan
ctgan3,DRNet(),4.420281978422819,ctgan
tvae1,TNet(),4.301409315251194,tvae
tvae1,PWNet(),4.526139367515111,tvae
tvae1,RANet(),4.022830486817767,tvae
tvae1,DRNet(),4.173254315620049,tvae
ctgan0,TNet(),5.082554872769926,ctgan
ctgan0,PWNet(),4.15776158635512,ctgan
ctgan0,RANet(),4.839066837391505,ctgan
ctgan0,DRNet(),4.131993836087857,ctgan
ddpm1,TNet(),7.558723737711462,ddpm
ddpm1,PWNet(),6.499802199154576,ddpm
ddpm1,RANet(),7.324562013839284,ddpm
ddpm1,DRNet(),4.38392812680386,ddpm
ddpm3,TNet(),16.131071664051227,ddpm
ddpm3,PWNet(),6.6136013971405445,ddpm
ddpm3,RANet(),6.539402848759702,ddpm
ddpm3,DRNet(),11.149541957645784,ddpm
tvae3,TNet(),3.991337477109678,tvae
tvae3,PWNet(),5.601980469989889,tvae
tvae3,RANet(),4.380314186539633,tvae
tvae3,DRNet(),4.191957275276149,tvae
tvae4,TNet(),5.218942576892411,tvae
tvae4,PWNet(),8.197931544892425,tvae
tvae4,RANet(),4.72135062298724,tvae
tvae4,DRNet(),4.305349853787577,tvae
ddpm4,TNet(),7.060825424135911,ddpm
ddpm4,PWNet(),3.9046678177029435,ddpm
ddpm4,RANet(),8.015348529949035,ddpm
ddpm4,DRNet(),6.274371249525285,ddpm
nflow1,TNet(),5.077227330380606,nflow
nflow1,PWNet(),5.869328472128881,nflow
nflow1,RANet(),5.450203825735094,nflow
nflow1,DRNet(),4.045734931581812,nflow
nflow3,TNet(),5.3209960164080154,nflow
nflow3,PWNet(),5.979703490488566,nflow
nflow3,RANet(),4.965665196944795,nflow
nflow3,DRNet(),4.749010035966804,nflow
real,TNet(),2.032769873698642,real
real,PWNet(),5.083846525106129,real
real,RANet(),1.823575225168504,real
real,DRNet(),2.4449495670165633,real
