method,f,c,d,u_pehe,u_policy,u_int
standard,0.9094821602110232,0.3930167985561571,0.8663317215019324,4.211362361907959,0.5822916666666667,-0.1365002401261744
seq_new,0.8479522421213384,0.4446202970984313,0.9736306568629092,1.9398030489683151,0.975,-0.3461049517492856
standard,0.9361999549995932,0.4430515063168124,0.9338362617902556,4.878974378108978,0.4770833333333333,0.1946586961558326
seq_new,0.8836318200749688,0.4452866861030126,0.9612811352922088,1.82769387960434,0.9666666666666668,0.5924066909476038
standard,0.845703179230876,0.4695821185617104,0.9130233979792296,4.514324963092804,0.584375,-0.2075717156401999
seq_new,0.852950159655699,0.4033597112314314,0.9643680200566672,2.9505225121974945,0.971875,0.6042343367073456
standard,0.8401499375260308,0.4478272941829793,0.8904401244632526,3.8265049755573273,0.634375,0.157461933400672
seq_new,0.8377759266972095,0.4488129945855893,0.9712873886756788,2.131212800741196,0.9604166666666668,0.1656786463656
standard,0.8580567483854906,0.414369012911287,0.9291221965116048,4.823316752910614,0.515625,0.1848838999029506
seq_new,0.9241819739859348,0.4423295848951826,0.965323920554004,2.59641695022583,0.9614583333333332,-0.0208208857368685
standard,0.8957240038872691,0.4345689296126614,0.9387799833450626,4.73582649230957,0.684375,-0.1619750048105483
seq_new,0.8599194779952797,0.434277384423157,0.9613071234879024,2.506086438894272,0.9395833333333332,-0.4086387254216794
standard,0.9101763154241288,0.3935998889351658,0.928622437896328,4.0173231065273285,0.6364583333333333,-0.2206491631137648
seq_new,0.8449534916007219,0.4423295848951826,0.9644595747075472,1.734939455986023,0.975,0.3803709084377948
standard,0.8478967097042899,0.4200610856587533,0.8986435940329552,3.99492621421814,0.6541666666666667,0.1788775598524242
seq_new,0.8429404414827155,0.4053588782451757,0.9731578821193814,2.8714256286621094,0.89375,-0.2840845567374309
standard,0.8791126302737844,0.3791892267110925,0.9338348830007398,5.04658305644989,0.5260416666666666,0.1080682852493094
seq_new,0.9252232068055934,0.4005692072747465,0.9594501839999556,2.296977967023849,0.890625,-0.0921059849271701
standard,0.8392197695404693,0.4581563237539914,0.928413801043176,4.650623917579651,0.6427083333333333,0.1212503085605914
seq_new,0.8539147960380493,0.355393586005831,0.9684617140655324,2.4192525148391724,0.9645833333333332,-0.5991503446365913
