method,f,c,d,u_pehe,u_policy,u_int
standard,0.8957240038872691,0.43456892961266147,0.9387799833450626,4.73582649230957,0.684375,-0.1619750048105483
seq_new,0.8599194779952797,0.434277384423157,0.9613071234879023,2.506086438894272,0.9395833333333333,-0.4086387254216794
standard,0.9101763154241288,0.39359988893516584,0.9286224378963281,4.0173231065273285,0.6364583333333333,-0.22064916311376487
seq_new,0.8449534916007219,0.4423295848951826,0.9644595747075473,1.734939455986023,0.975,0.3803709084377948
standard,0.8478967097042899,0.42006108565875333,0.8986435940329552,3.9949262142181396,0.6541666666666667,0.17887755985242423
seq_new,0.8429404414827155,0.4053588782451757,0.9731578821193814,2.8714256286621094,0.89375,-0.28408455673743094
standard,0.8791126302737844,0.37918922671109256,0.9338348830007398,5.04658305644989,0.5260416666666666,0.1080682852493094
seq_new,0.9252232068055934,0.40056920727474654,0.9594501839999555,2.2969779670238495,0.890625,-0.09210598492717013
standard,0.8392197695404693,0.4581563237539914,0.928413801043176,4.650623917579651,0.6427083333333333,0.12125030856059149
seq_new,0.8539147960380493,0.35539358600583104,0.9684617140655325,2.4192525148391724,0.9645833333333333,-0.5991503446365913
