method,f,c,d,u_pehe,u_policy,u_int
standard,0.302457309454394,2.7766208524182545e-05,0.8495423099242134,10.059625506401062,0.284375,0.1286902519641055
seq_new,0.1977925864223239,0.0017631542412883,0.963522937570194,4.514094978570938,0.7020833333333333,0.3427991147017894
standard,0.3621130084686935,0.000499791753436,0.8182357692699587,11.17281460762024,0.15,-0.4580709288602568
seq_new,0.3095376926280716,0.0007635707344161,0.9303560825028464,5.137454092502594,0.5677083333333334,0.0654745185345668
standard,0.501582673885881,0.0014993752603083,0.8059840414542662,13.223625600337982,0.4958333333333333,-0.0433559091867658
seq_new,0.3509093433291685,0.0001388310426211,0.9764827204740844,5.721179783344269,0.5927083333333333,-0.4356939335665911
standard,0.2973205608774124,0.0004997917534359,0.8015307436119873,7.604206800460815,0.4916666666666666,0.1890979861521038
seq_new,0.3818131334166318,0.0015410245730945,0.9764252597371212,5.697022378444672,0.3989583333333333,-0.2681141063165369
standard,0.1712758572816882,0.0013744273219491,0.8310426520609739,11.974551916122437,0.1583333333333333,-0.3584819480616018
seq_new,0.2341107871720116,0.0017076218242398,0.8686026112106133,5.241723835468292,0.821875,-0.5973529393449631
standard,0.2869498819936137,0.0013466611134249,0.7987844891393033,13.904716312885284,0.14375,-0.3003331727362174
seq_new,0.2776204359294739,0.0006247396917949,0.9735398443013256,5.362803339958191,0.615625,0.1749092796313517
standard,0.0838817159516868,0.0008191031514647,0.3826635965527829,8.506798326969147,0.584375,0.1681015246639157
seq_new,0.3681938081354992,0.0010412328196586,0.9794035530659118,8.202105402946472,0.3083333333333333,-0.1385636760043486
standard,0.3521727058170205,0.000999583506872,0.8046673400912878,9.576930463314056,0.4635416666666667,0.1620667324463008
seq_new,0.3100652505900318,0.0013605442176871,0.8998592627261557,4.891816556453705,0.771875,0.2582153030274164
standard,0.1533805358878245,0.001485492156046,0.8000019614841015,8.723419964313507,0.2854166666666666,-0.2223483547900225
seq_new,0.3294182979314173,0.0005969734832708,0.8745609015747927,8.348170757293701,0.246875,0.5642373438243263
standard,0.1813688740802442,0.0017492711370262,0.8144098971530197,5.656677544116974,0.4489583333333333,0.1068686761064887
seq_new,0.2558656115507427,0.0003748438150771,0.9136486795832384,4.5098932683467865,0.7010416666666667,-0.1631574869294955
