method,f,c,d,u_pehe,u_policy,u_int
standard,0.2869498819936137,0.0013466611134249629,0.7987844891393033,13.904716312885284,0.14375,-0.3003331727362174
seq_new,0.27762043592947394,0.0006247396917949954,0.9735398443013257,5.362803339958191,0.615625,0.17490927963135175
standard,0.08388171595168681,0.0008191031514647173,0.3826635965527829,8.506798326969147,0.584375,0.16810152466391576
seq_new,0.3681938081354992,0.0010412328196586218,0.9794035530659118,8.202105402946472,0.30833333333333335,-0.13856367600434863
standard,0.35217270581702054,0.000999583506872015,0.8046673400912878,9.576930463314056,0.4635416666666667,0.1620667324463008
seq_new,0.31006525059003187,0.0013605442176871652,0.8998592627261557,4.891816556453705,0.771875,0.2582153030274164
standard,0.15338053588782452,0.0014854921560460976,0.8000019614841015,8.723419964313507,0.28541666666666665,-0.2223483547900225
seq_new,0.3294182979314173,0.0005969734832708129,0.8745609015747927,8.348170757293701,0.246875,0.5642373438243263
standard,0.18136887408024427,0.001749271137026276,0.8144098971530197,5.656677544116974,0.44895833333333335,0.1068686761064887
seq_new,0.2558656115507427,0.0003748438150771305,0.9136486795832384,4.5098932683467865,0.7010416666666667,-0.16315748692949555
