method,f,c,d,u_pehe,u_policy,u_int
standard,0.8237262251839511,0.5112730806608357,0.9327095071176682,4.159683108329773,0.5979166666666667,-0.0963670454815709
seq_new,0.7584201027349715,0.5125364431486881,0.966915297040005,2.616428166627884,0.9583333333333334,0.0769506493289191
standard,0.7591836734693878,0.5430237401082882,0.9112471443954122,3.878401815891266,0.6885416666666667,-0.2759377130406575
seq_new,0.7476468138275718,0.5053449951409135,0.967327161260098,1.8462442457675927,0.9729166666666668,-0.368083495164745
standard,0.7799666805497709,0.5185200610856588,0.9264810266471436,4.1386469304561615,0.546875,0.0284369256698575
seq_new,0.7714285714285714,0.5124670276273775,0.9620865224330988,2.045010834932328,0.9645833333333332,-0.1284489099838631
standard,0.7862279605719839,0.5129529362765515,0.9308533709134617,4.015797436237335,0.7541666666666667,0.229587814506967
seq_new,0.7779119811189782,0.520394280161044,0.9524219591452974,2.085596293210984,0.9635416666666666,-0.1037586692599075
standard,0.7604053866444537,0.5084964598084132,0.9100540874825036,4.0468510389328,0.578125,-0.039123629491832
seq_new,0.7380952380952381,0.5284464806330695,0.9670657967756684,2.2205227613449097,0.9645833333333332,-0.2602175976801053
standard,0.7558656115507427,0.5111203665139525,0.9222834580974592,4.331243455410004,0.5760416666666667,0.4955458083557815
seq_new,0.7829654310703873,0.5102179647369152,0.9679202799622731,1.8314078450202944,0.9677083333333332,0.179419131625834
standard,0.8015549076773566,0.5143828960155491,0.9230469692058906,4.66885244846344,0.70625,-0.1477600965184526
seq_new,0.7904761904761904,0.5243926141885326,0.9675664588226688,1.6922437995672226,0.9708333333333332,-0.1140609034430238
standard,0.7165764264889629,0.5199639039289186,0.9328748994995733,4.469172805547714,0.7354166666666667,0.4056137565495905
seq_new,0.7827849507149799,0.5022212966819382,0.9575793886076132,1.8004641085863111,0.9614583333333332,0.1816877589291443
standard,0.7175204775787867,0.5082465639316951,0.9152832254113384,4.265284150838852,0.5854166666666667,-0.0965835182598203
seq_new,0.7724003887269193,0.510065250590032,0.9689268482111189,1.8482116609811785,0.9625,-0.3030255908232598
standard,0.7555463001527141,0.4960571983895598,0.9352239660858388,3.940599739551544,0.6916666666666667,0.5003215829255356
seq_new,0.7842010273497154,0.5146050256837429,0.9659074826078906,1.8754581958055496,0.9697916666666668,-0.4240647407644879
standard,0.7717895321393864,0.5060252672497569,0.9152314530795144,4.223521858453751,0.6916666666666667,-0.2618732552770777
seq_new,0.7539913924753575,0.5233097320560878,0.955241124779002,1.8426881805062287,0.9625,-0.0145250854012083
standard,0.7424684159378037,0.5145078439539081,0.907284859110467,3.6363759338855743,0.646875,0.2647471562200486
seq_new,0.7858114674441206,0.4976537553797029,0.9637083260654976,2.2548178136348724,0.9583333333333334,-0.1959902557924445
standard,0.7759822296265444,0.5233930306816605,0.9224649520180884,4.258071273565292,0.6583333333333333,0.2071467592282851
seq_new,0.7371373039011522,0.5172844648063306,0.9708816148543103,2.453997910022736,0.9395833333333332,0.0094830980247867
standard,0.7481188393724837,0.4959183673469388,0.9068787723035836,4.773675441741943,0.3739583333333333,0.025587836680704
seq_new,0.7697903651256421,0.5103845619880606,0.956322034345086,2.0686790347099304,0.9666666666666668,0.0333866023361233
standard,0.760197140080522,0.5221296681938081,0.9210898634445724,4.371173769235611,0.5270833333333333,-0.0728823143007889
seq_new,0.7268221574344024,0.5132028321532695,0.9601756301091704,2.376480832695961,0.9697916666666668,-0.0654477962810644
standard,0.732680827433014,0.5310287380258225,0.9254474611526688,3.956268161535263,0.6770833333333334,-0.2485698874331018
seq_new,0.7640288768568652,0.5059697348327086,0.9668318125209628,1.754455491900444,0.965625,0.3684136540942579
standard,0.7600305428293765,0.5249895876718035,0.9181762295417072,3.6867299675941463,0.65625,0.0945507979852103
seq_new,0.7698597806469527,0.524323198667222,0.953061343251314,1.9222894757986069,0.9729166666666668,0.023285249518531
standard,0.7677217825905872,0.52161599333611,0.9018386853789044,4.15770360827446,0.596875,0.0175362310445259
seq_new,0.798403443009857,0.513619325281133,0.9492407536551598,2.0141464173793797,0.9635416666666666,-0.1746891855381673
standard,0.7616270998195196,0.5291822851589616,0.9182814525782554,4.4941063821315765,0.60625,-0.3732553285424237
seq_new,0.7736776343190337,0.5184645286686103,0.9638698432425712,1.9870794415473936,0.9614583333333332,0.3974879868425529
standard,0.7762598917117868,0.4916284881299458,0.9068921521111458,4.565302282571793,0.5447916666666667,0.1782853806264825
seq_new,0.7494238511731224,0.522101901985284,0.9693234850692934,1.7300266325473783,0.9666666666666668,0.5603714978587956
