method,f,c,d,u_pehe,u_policy,u_int
standard,0.7558656115507427,0.5111203665139525,0.9222834580974593,4.331243455410004,0.5760416666666667,0.4955458083557815
seq_new,0.7829654310703873,0.5102179647369152,0.9679202799622731,1.8314078450202942,0.9677083333333333,0.179419131625834
standard,0.8015549076773566,0.5143828960155491,0.9230469692058906,4.66885244846344,0.70625,-0.14776009651845265
seq_new,0.7904761904761904,0.5243926141885326,0.9675664588226689,1.6922437995672226,0.9708333333333333,-0.11406090344302382
standard,0.7165764264889629,0.5199639039289186,0.9328748994995731,4.469172805547714,0.7354166666666667,0.4056137565495905
seq_new,0.7827849507149799,0.5022212966819382,0.9575793886076133,1.8004641085863113,0.9614583333333333,0.18168775892914432
standard,0.7175204775787867,0.5082465639316951,0.9152832254113383,4.265284150838852,0.5854166666666667,-0.09658351825982034
seq_new,0.7724003887269193,0.510065250590032,0.9689268482111187,1.8482116609811783,0.9625,-0.30302559082325986
standard,0.7555463001527141,0.49605719838955986,0.9352239660858387,3.940599739551544,0.6916666666666667,0.5003215829255356
seq_new,0.7842010273497154,0.5146050256837429,0.9659074826078906,1.8754581958055496,0.9697916666666667,-0.42406474076448797
