method,f,c,d,u_pehe,u_policy,u_int
standard,0.8237262251839511,0.5112730806608357,0.9327095071176682,4.159683108329773,0.5979166666666667,-0.09636704548157098
seq_new,0.7584201027349715,0.5125364431486881,0.966915297040005,2.616428166627884,0.9583333333333334,0.07695064932891911
standard,0.7591836734693878,0.5430237401082882,0.9112471443954122,3.878401815891266,0.6885416666666667,-0.2759377130406575
seq_new,0.7476468138275718,0.5053449951409135,0.9673271612600979,1.8462442457675934,0.9729166666666667,-0.36808349516474503
standard,0.7799666805497709,0.5185200610856588,0.9264810266471437,4.1386469304561615,0.546875,0.028436925669857574
seq_new,0.7714285714285714,0.5124670276273775,0.9620865224330987,2.0450108349323273,0.9645833333333333,-0.1284489099838631
standard,0.7862279605719839,0.5129529362765515,0.9308533709134615,4.015797436237335,0.7541666666666667,0.229587814506967
seq_new,0.7779119811189782,0.520394280161044,0.9524219591452974,2.0855962932109833,0.9635416666666666,-0.10375866925990757
standard,0.7604053866444537,0.5084964598084132,0.9100540874825037,4.0468510389328,0.578125,-0.039123629491832
seq_new,0.7380952380952381,0.5284464806330695,0.9670657967756683,2.2205227613449097,0.9645833333333333,-0.2602175976801053
