dataset,metric,result
nflow_acic_0.csv,marginal,0.9201621566562381
nflow_acic_0.csv,delta_precision_alpha_OC,0.6756333333333334
nflow_acic_0.csv,delta_coverage_beta_OC,0.32223333333333326
nflow_acic_0.csv,authenticity_OC,0.616
nflow_acic_0.csv,delta_precision_alpha_naive,0.4824166666666668
nflow_acic_0.csv,delta_coverage_beta_naive,0.028916666666666813
nflow_acic_0.csv,authenticity_naive,0.855
arf_acic_3.csv,marginal,0.9837409064656054
arf_acic_3.csv,delta_precision_alpha_OC,0.7713
arf_acic_3.csv,delta_coverage_beta_OC,0.43156666666666665
arf_acic_3.csv,authenticity_OC,0.547
arf_acic_3.csv,delta_precision_alpha_naive,0.7728902298850575
arf_acic_3.csv,delta_coverage_beta_naive,0.15983333333333316
arf_acic_3.csv,authenticity_naive,0.614
nflow_acic_4.csv,marginal,0.9237881615049249
nflow_acic_4.csv,delta_precision_alpha_OC,0.7277333333333333
nflow_acic_4.csv,delta_coverage_beta_OC,0.33263333333333334
nflow_acic_4.csv,authenticity_OC,0.5865
nflow_acic_4.csv,delta_precision_alpha_naive,0.5283666666666667
nflow_acic_4.csv,delta_coverage_beta_naive,0.03938333333333355
nflow_acic_4.csv,authenticity_naive,0.73925
ctgan_acic_2.csv,marginal,0.9754087869570673
ctgan_acic_2.csv,delta_precision_alpha_OC,0.9029499999999999
ctgan_acic_2.csv,delta_coverage_beta_OC,0.4434000000000001
ctgan_acic_2.csv,authenticity_OC,0.5295
ctgan_acic_2.csv,delta_precision_alpha_naive,0.8086333333333333
ctgan_acic_2.csv,delta_coverage_beta_naive,0.21256666666666668
ctgan_acic_2.csv,authenticity_naive,0.5725
tvae_acic_0.csv,marginal,0.9160472849936564
tvae_acic_0.csv,delta_precision_alpha_OC,0.9599672413793103
tvae_acic_0.csv,delta_coverage_beta_OC,0.49360000000000004
tvae_acic_0.csv,authenticity_OC,0.50725
tvae_acic_0.csv,delta_precision_alpha_naive,0.8571
tvae_acic_0.csv,delta_coverage_beta_naive,0.36788333333333345
tvae_acic_0.csv,authenticity_naive,0.554
ddpm_acic_0.csv,marginal,0.6160855093960789
ddpm_acic_0.csv,delta_precision_alpha_OC,0.12348333333333328
ddpm_acic_0.csv,delta_coverage_beta_OC,0.0050000000000002265
ddpm_acic_0.csv,authenticity_OC,1.0
ddpm_acic_0.csv,delta_precision_alpha_naive,0.0017333333333333645
ddpm_acic_0.csv,delta_coverage_beta_naive,0.0
ddpm_acic_0.csv,authenticity_naive,1.0
arf_acic_1.csv,marginal,0.9844814106170187
arf_acic_1.csv,delta_precision_alpha_OC,0.796
arf_acic_1.csv,delta_coverage_beta_OC,0.43556666666666666
arf_acic_1.csv,authenticity_OC,0.555
arf_acic_1.csv,delta_precision_alpha_naive,0.7683902298850575
arf_acic_1.csv,delta_coverage_beta_naive,0.15218333333333334
arf_acic_1.csv,authenticity_naive,0.60925
arf_acic_2.csv,marginal,0.983305137732345
arf_acic_2.csv,delta_precision_alpha_OC,0.7776500000000001
arf_acic_2.csv,delta_coverage_beta_OC,0.43345
arf_acic_2.csv,authenticity_OC,0.55775
arf_acic_2.csv,delta_precision_alpha_naive,0.7678568965517242
arf_acic_2.csv,delta_coverage_beta_naive,0.14451666666666674
arf_acic_2.csv,authenticity_naive,0.61725
nflow_acic_2.csv,marginal,0.924823532532576
nflow_acic_2.csv,delta_precision_alpha_OC,0.6509666666666666
nflow_acic_2.csv,delta_coverage_beta_OC,0.2964
nflow_acic_2.csv,authenticity_OC,0.62775
nflow_acic_2.csv,delta_precision_alpha_naive,0.47768333333333335
nflow_acic_2.csv,delta_coverage_beta_naive,0.027516666666666856
nflow_acic_2.csv,authenticity_naive,0.827
tvae_acic_2.csv,marginal,0.9199041161268673
tvae_acic_2.csv,delta_precision_alpha_OC,0.966367816091954
tvae_acic_2.csv,delta_coverage_beta_OC,0.4920000000000001
tvae_acic_2.csv,authenticity_OC,0.512
tvae_acic_2.csv,delta_precision_alpha_naive,0.8628
tvae_acic_2.csv,delta_coverage_beta_naive,0.3686166666666667
tvae_acic_2.csv,authenticity_naive,0.54625
ctgan_acic_4.csv,marginal,0.9706769213738037
ctgan_acic_4.csv,delta_precision_alpha_OC,0.8818666666666667
