mu,n_cov,alpha_precision,f
3.0,10.0,0.005599999999999938,0.0
3.0,10.0,6.666666666665932e-05,0.0
3.0,10.0,0.08776666666666677,0.0023333333333332984
3.0,10.0,0.20740000000000014,6.666666666665932e-05
3.0,10.0,0.012566666666666615,0.00046666666666661527
3.0,10.0,0.0033333333333332993,0.0
3.0,10.0,0.0,0.0
3.0,10.0,0.011333333333333306,0.0
3.0,10.0,0.0001666666666666483,0.0
3.0,10.0,0.00869999999999993,0.0
3.0,20.0,0.5717333333333333,6.666666666665932e-05
3.0,20.0,3.333333333332966e-05,0.0
3.0,20.0,0.8438666666666667,0.0
3.0,20.0,0.8818333333333334,0.0
3.0,20.0,0.13136666666666663,0.0
3.0,20.0,0.002166666666666761,0.0
3.0,20.0,0.0010999999999998789,0.0
3.0,20.0,0.0006333333333332636,0.0
3.0,20.0,0.0006666666666667043,0.010266666666666757
3.0,20.0,0.9355333333333333,0.0
3.0,30.0,0.6276666666666666,0.0
3.0,30.0,0.8874333333333334,0.0
3.0,30.0,0.8548,0.0
3.0,30.0,0.7328666666666666,0.0
3.0,30.0,0.9266333333333333,0.0
3.0,30.0,0.18656666666666688,0.0
3.0,30.0,0.8761666666666668,0.0
3.0,30.0,0.6410333333333333,0.0
3.0,30.0,0.8945666666666667,0.0
3.0,30.0,0.47783333333333333,0.0
3.0,40.0,0.9062666666666667,0.0
3.0,40.0,0.7982666666666667,0.0
3.0,40.0,0.9531264367816092,0.0
3.0,40.0,0.8806,0.0
3.0,40.0,0.9501000000000001,0.0
3.0,40.0,0.9119666666666667,0.0
3.0,40.0,0.8779666666666667,0.0
3.0,40.0,0.8655333333333334,0.0
3.0,40.0,0.9505333333333333,0.0
3.0,40.0,0.7756333333333334,0.0
3.0,50.0,0.9465,0.0
3.0,50.0,0.4222999999999999,0.0
3.0,50.0,0.9620172413793103,0.0
3.0,50.0,0.9587988505747127,0.0
3.0,50.0,0.8992310344827587,0.0
3.0,50.0,0.9426977011494253,0.0
3.0,50.0,0.9214666666666667,0.0
3.0,50.0,0.8857666666666667,0.0
3.0,50.0,0.9681666666666667,0.0
3.0,50.0,0.9410436781609196,0.0
3.0,60.0,0.9328000000000001,0.0
3.0,60.0,0.9239666666666667,0.0
3.0,60.0,0.9387103448275862,0.0
3.0,60.0,0.9575241379310345,0.0
3.0,60.0,0.9437666666666666,0.0
3.0,60.0,0.9433666666666667,0.0
3.0,60.0,0.9351333333333334,0.0
3.0,60.0,0.9548,0.0
3.0,60.0,0.9523977011494253,0.0
3.0,60.0,0.9140333333333334,0.0
3.0,70.0,0.6205666666666667,0.0
3.0,70.0,0.9793275862068965,0.0
3.0,70.0,0.9138666666666667,0.0
3.0,70.0,0.9330666666666667,0.0
3.0,70.0,0.9235666666666666,0.0
3.0,70.0,0.9460666666666667,0.0
3.0,70.0,0.9516977011494253,0.0
3.0,70.0,0.9690333333333334,0.0
3.0,70.0,0.9369666666666667,0.0
3.0,70.0,0.9610333333333334,0.0
3.0,80.0,0.9399666666666667,0.0
3.0,80.0,0.9270333333333334,0.0
3.0,80.0,0.9683022988505747,0.0
3.0,80.0,0.9153666666666667,0.0
3.0,80.0,0.9403264367816092,0.0
3.0,80.0,0.9657988505747127,0.0
3.0,80.0,0.9354517241379311,0.0
3.0,80.0,0.9331,0.0
3.0,80.0,0.8268,0.0
3.0,80.0,0.8365333333333334,0.0
3.0,90.0,0.9021,0.0
3.0,90.0,0.9102666666666667,0.0
3.0,90.0,0.9462333333333334,0.0
3.0,90.0,0.9289000000000001,0.0
3.0,90.0,0.9486264367816092,0.0
3.0,90.0,0.9386310344827586,0.0
3.0,90.0,0.9716862068965517,0.0
3.0,90.0,0.9121666666666667,0.0
3.0,90.0,0.9488459770114943,0.0
3.0,90.0,0.9414310344827587,0.0
3.0,100.0,0.8866666666666667,0.0
3.0,100.0,0.9249,0.0
3.0,100.0,0.9004,0.0
3.0,100.0,0.9437264367816092,0.0
3.0,100.0,0.9135264367816093,0.0
3.0,100.0,0.9494333333333334,0.0
3.0,100.0,0.9268333333333334,0.0
3.0,100.0,0.9276666666666666,0.0
3.0,100.0,0.9365931034482758,0.0
3.0,100.0,0.9699850574712644,0.0
