method,f,d,u_pehe,u_policy,u_int,n_c
standard,0.21487308225252194,0.9168373731726747,4.4114304,0.95,0.8585903437179252,0
seq_new,0.3225168010077254,0.8741873372344813,1.2614146,0.98,0.9658824080219923,0
standard,0.2005842128542752,0.9272318741971004,4.578391,0.95,0.7762457029105517,0
seq_new,0.37723536947141323,0.8999116988845847,1.41496,0.99,0.9774919571732859,0
standard,0.2533342706703532,0.8710791054489735,3.872479,0.975,0.8260557945970973,0
seq_new,0.3251544797465216,0.8951376620289926,1.2993184,0.975,0.9825565488096124,0
standard,0.15716940601690388,0.8742906542705104,5.2702413,1.0,0.8819772694097306,1
seq_new,0.3234096183882321,0.9155263983461074,1.3846487,0.98,0.9498233952118619,1
standard,0.1958847592737668,0.861008343535993,5.6300015,0.995,0.741281835349678,1
seq_new,0.3012257232020758,0.9335633946400612,1.237418,0.99,0.9659959250070933,1
standard,0.14986835443037994,0.903688049942863,5.23524,0.965,0.7493331152324065,1
seq_new,0.3255099330955545,0.9349084931307763,1.3574303,0.99,0.9597812864649793,1
standard,0.14734758779332152,0.8735376302849586,9.467143,0.99,0.6103230583147959,2
seq_new,0.27116803068018547,0.9562049592708323,1.1949492,0.99,0.9661864253740937,2
standard,0.13639682539682538,0.858479729638345,8.55996,0.99,0.7977899704994874,2
seq_new,0.3888491752272764,0.9597804811591143,1.2557385,0.99,0.9559709909958142,2
standard,0.11237908835051677,0.8602417929466205,9.225936,0.99,0.6861204881602506,2
seq_new,0.37525656914920713,0.9550020908722091,1.6164534,0.995,0.9647705178877191,2
standard,0.08251461039285682,0.8081745029470448,12.871249,0.995,0.5303937627601023,3
seq_new,0.3679060333863273,0.8911413911686121,1.6375948,0.985,0.9814274147003192,3
standard,0.10667794443430897,0.7974929344395296,8.337786,1.0,0.8177467233970304,3
seq_new,0.3754750195573726,0.9037720939764857,1.5203234,0.975,0.9645930550484114,3
standard,0.101296914251713,0.7874486114289916,9.448034,1.0,0.5277922953747219,3
seq_new,0.3686627804274864,0.9076730293145987,1.5341609,0.98,0.959429136632779,3
standard,0.1151392743520117,0.8296315421622293,9.703448,1.0,0.8360243918111916,4
seq_new,0.31790959037337646,0.9051490674520778,1.8429645,0.995,0.9077930601134439,4
standard,0.10595655629684542,0.8138764334520718,10.426529,1.0,0.6894427478391071,4
seq_new,0.342313427230047,0.9092707838572586,1.6764331,0.995,0.9695655608965731,4
standard,0.13393242914275777,0.8287100392858429,9.822878,1.0,0.8419027853995147,4
seq_new,0.3383209145943198,0.9189331808244197,1.7521863,0.995,0.9532544270392711,4
standard,0.07686913029627271,0.8069844773595941,11.444932,1.0,0.37561632082104096,5
seq_new,0.30856378407762375,0.9286624000535753,1.6909009,1.0,0.9522172897321113,5
standard,0.11724278410028027,0.895017248983483,7.3544774,0.99,0.7309342694220536,5
seq_new,0.32939728682170544,0.9291607009695149,1.590399,1.0,0.9498052194564054,5
standard,0.09392026074700494,0.8243712516266362,8.738035,1.0,0.333683229634269,5
seq_new,0.28013405235366806,0.9293594524476951,1.5398386,0.995,0.9502192063761743,5
