method,f,c,d,u_pehe,u_policy,u_int,n_c
standard,0.42166666666666663,0.3337333333333333,0.8534948643819394,4.491332,0.96,0.8004874020949995,0
seq_new,0.7222666666666667,0.3963333333333332,0.8689494355015817,1.1754897,0.96,0.9512392647134703,0
standard,0.4044,0.35953333333333337,0.8299649292797965,4.901105,0.97,0.844965000756908,0
seq_new,0.7078666666666666,0.4248666666666667,0.8828221225726227,1.0139956,0.96,0.982398558476528,0
standard,0.4689333333333334,0.3200666666666667,0.9009483517736696,3.7046444,0.96,0.7917725261693701,0
seq_new,0.717,0.4442666666666667,0.8982319051213595,1.045463,0.95,0.9974785294165375,0
standard,0.47986666666666655,0.36640000000000006,0.8700620941286449,4.703503,0.93,0.6826435905878685,0
seq_new,0.7161333333333333,0.4150666666666666,0.8696340157124028,0.941007,0.965,0.9854118731610126,0
standard,0.41833333333333333,0.3159333333333334,0.8940536935633099,5.0423784,0.97,0.8139201251608171,0
seq_new,0.7064,0.41813333333333325,0.9165055966107627,1.0007725,0.965,0.9820731678685266,0
standard,0.45786666666666653,0.3484666666666668,0.8645610695625793,3.885025,0.935,0.8117542506982008,0
seq_new,0.7131333333333332,0.39926666666666655,0.8615353964790495,1.0298896,0.955,0.9845202499614232,0
standard,0.5005333333333333,0.36386666666666667,0.9162667948853094,3.8951201,0.97,0.8192705107250204,0
seq_new,0.7109333333333333,0.40093333333333325,0.8888694943101773,1.0575374,0.97,0.9785204014010077,0
standard,0.44266666666666654,0.3089333333333335,0.8563186918573541,4.596743,0.96,0.818377619231095,0
seq_new,0.7148000000000001,0.4094000000000001,0.8656014484701783,1.1213161,0.965,0.9775490479264943,0
standard,0.46606666666666663,0.34399999999999986,0.893101555358539,4.486564,0.92,0.7847255335003523,0
seq_new,0.7095333333333335,0.40113333333333334,0.8879610653387051,0.9445987,0.96,0.980132314638245,0
standard,0.4888666666666668,0.36486666666666656,0.8612721261064046,4.154893,0.885,0.732485507259922,0
seq_new,0.7106666666666667,0.3940666666666668,0.8822489938343041,0.9005524,0.965,0.9890349544557544,0
standard,0.4217333333333334,0.32699999999999996,0.9099696731071137,5.579914,0.99,0.6528509669824504,1
seq_new,0.6820666666666666,0.38693333333333335,0.9308432368077274,1.6137091,0.985,0.9672199901113375,1
standard,0.4508000000000002,0.35686666666666667,0.8607520608176095,5.3752103,1.0,0.8057510839750928,1
seq_new,0.6808666666666667,0.3970666666666667,0.9137048757007213,1.5264406,0.99,0.9806501996695881,1
standard,0.4172,0.35086666666666666,0.9196870839545108,5.019753,0.98,0.8723033201085172,1
seq_new,0.687,0.42346666666666666,0.9324566519890426,1.449876,0.985,0.9717562261860885,1
standard,0.4095333333333334,0.31679999999999997,0.8796162809877309,5.547291,0.92,0.8590357409765326,1
seq_new,0.6746666666666667,0.40513333333333346,0.9347987666710491,1.4833646,0.99,0.9898390582349811,1
standard,0.38906666666666656,0.33786666666666665,0.9015116595544568,7.1007996,0.98,0.7613829021445019,1
seq_new,0.6908666666666667,0.41566666666666685,0.9327410495540143,1.464991,0.99,0.9890242899678763,1
standard,0.40746666666666664,0.31886666666666674,0.8528312033285378,5.5942273,0.975,0.7487798081899758,1
seq_new,0.6843333333333332,0.39059999999999995,0.9378103877214976,1.4668705,0.98,0.9858922872821485,1
standard,0.3976666666666666,0.3240666666666667,0.9110184492911101,6.1235456,0.995,0.8237419595638641,1
seq_new,0.6758666666666666,0.3791333333333333,0.9414131152707093,1.7667092,0.985,0.9854887988890052,1
standard,0.4187333333333334,0.29400000000000004,0.8937609059857767,5.651957,1.0,0.8198559596887656,1
seq_new,0.6864666666666668,0.41633333333333344,0.9318798750577091,1.4128915,0.99,0.9888539717672767,1
standard,0.4045333333333333,0.2911999999999999,0.9106600660682397,5.9954557,0.99,0.8559667280952407,1
seq_new,0.6852,0.393,0.9358385812135825,1.4322993,0.985,0.98197997667375,1
standard,0.3820000000000001,0.3261333333333334,0.895895058275844,5.7905526,0.95,0.5834252842084013,1
seq_new,0.6716,0.3954000000000001,0.9348085732656652,1.5382744,0.995,0.9805194729579663,1
standard,0.39993333333333336,0.31566666666666676,0.8548387732898798,8.951189,0.99,0.7743486307799705,2
seq_new,0.6727333333333334,0.36673333333333347,0.9467066026586911,1.5143362,1.0,0.9409632215337141,2
standard,0.4147333333333335,0.31720000000000004,0.8446462476178508,8.996259,0.99,0.6292129281759465,2
seq_new,0.6622666666666666,0.3472666666666666,0.9440463576122509,1.4034111,0.98,0.9515385175257456,2
standard,0.3808666666666667,0.2972,0.8300283360769397,10.771731,0.985,0.5999214893929146,2
seq_new,0.66,0.3536,0.9494813190358777,1.2501495,0.995,0.9648690060606977,2
standard,0.4208666666666666,0.3276,0.8661274947696874,8.295886,0.99,0.8917411989921394,2
seq_new,0.6634,0.369,0.9538516642799673,1.4048998,0.985,0.9430277518759335,2
standard,0.42246666666666666,0.3175333333333332,0.8601209064180798,8.100197,0.92,0.7659853821904263,2
seq_new,0.6658666666666666,0.3710000000000001,0.9542050290494182,1.3198799,0.98,0.9462829898053002,2
standard,0.4475333333333332,0.3383333333333334,0.847541445970504,8.644207,0.99,0.7382693702626696,2
seq_new,0.6662666666666668,0.38460000000000005,0.9298296356257744,1.3750577,0.985,0.9793535817912705,2
standard,0.4005333333333333,0.32286666666666664,0.8706460767316461,8.159237,0.98,0.46345467503453985,2
seq_new,0.6726000000000001,0.3526666666666666,0.9581814236812087,1.4569042,0.985,0.9528674508438049,2
standard,0.3836666666666667,0.2742,0.8624322344978572,9.529166,0.995,0.8516927274073978,2
seq_new,0.6664,0.3833333333333332,0.9349602053013741,1.4841691,0.99,0.9342988416322267,2
standard,0.41080000000000005,0.3200666666666667,0.8383833374905035,9.227889,0.99,0.641227445359654,2
seq_new,0.6756666666666666,0.3701333333333333,0.9113341139429756,1.4182843,0.99,0.9479097353272022,2
standard,0.3896666666666666,0.2720666666666667,0.8333207150950431,8.399779,0.985,0.44791091129806565,2
seq_new,0.6784,0.36219999999999997,0.9504942827248165,1.1905096,0.98,0.9634367836623919,2
standard,0.4316,0.3240666666666667,0.8080638139320231,7.852906,1.0,0.6961048442409036,3
seq_new,0.6808666666666666,0.4095333333333334,0.9081844667049105,1.7040632,0.98,0.9644746398446632,3
standard,0.38613333333333333,0.3250666666666667,0.7909488484627424,9.22626,0.995,0.7280473572603967,3
seq_new,0.6741333333333334,0.39846666666666664,0.9088090644506853,1.682546,0.99,0.9434021883588848,3
standard,0.42000000000000004,0.3394666666666668,0.7993464485560828,7.8012056,1.0,0.6199257658178015,3
seq_new,0.6859999999999999,0.38160000000000005,0.9017373221195675,1.7618772,0.98,0.9263387434813666,3
standard,0.3476,0.3025333333333333,0.8204674694661969,10.532468,1.0,0.48807890682767907,3
seq_new,0.6772666666666667,0.3945333333333334,0.9082318649646619,1.7242088,0.995,0.9324525627223131,3
standard,0.3874000000000001,0.2998666666666666,0.8059989807631367,6.0983253,0.995,0.43818598386638985,3
seq_new,0.6771333333333334,0.4197333333333332,0.8793408126589091,1.7720404,0.99,0.8896663952938765,3
standard,0.3866666666666666,0.3146000000000001,0.8341644059263491,10.221997,0.995,0.5509214469792254,3
seq_new,0.673,0.3815333333333333,0.8938347488391861,1.9820863,0.975,0.9084507267371641,3
standard,0.3574666666666667,0.28066666666666673,0.8099860319582554,9.50592,1.0,0.7608437097088748,3
seq_new,0.6806666666666668,0.38359999999999994,0.9091762433520761,1.6109146,0.985,0.9415240867861706,3
standard,0.364,0.29246666666666665,0.8304798893747878,9.40497,0.99,0.5640082794018914,3
seq_new,0.6689333333333334,0.35093333333333343,0.9029989684895203,1.5849404,0.98,0.9488684602098523,3
standard,0.33366666666666656,0.2914,0.7961485440071597,9.014084,1.0,0.6396940750892969,3
seq_new,0.6696,0.36119999999999997,0.9037487092851806,1.7457914,0.98,0.9283558472938088,3
standard,0.3765333333333334,0.3089333333333333,0.7535712445140391,10.800102,1.0,0.8562589015086113,3
seq_new,0.6827333333333334,0.4056666666666666,0.9036702246517305,1.613591,0.99,0.9074370539850621,3
standard,0.28259999999999996,0.265,0.7598231496762351,12.77177,1.0,0.8283237920723286,4
seq_new,0.6201333333333333,0.3564666666666667,0.9059324027463237,1.5340068,1.0,0.9322580344443778,4
standard,0.347,0.28413333333333335,0.853517237032099,8.104151,1.0,0.5913891070128654,4
seq_new,0.6034,0.3684666666666666,0.9083361887946998,1.4550996,1.0,0.92708458130724,4
standard,0.30566666666666664,0.2988666666666667,0.8243638030134598,9.85174,0.98,0.6542036367774229,4
seq_new,0.6270666666666667,0.39893333333333336,0.9291719459404011,1.3362933,0.995,0.9131267779687615,4
standard,0.3102666666666667,0.2627999999999998,0.8195044052309051,8.514288,1.0,0.39651549352445803,4
seq_new,0.6028666666666667,0.3541333333333333,0.9117241459939001,1.5064642,1.0,0.8847093938567109,4
standard,0.2966,0.26933333333333354,0.8081730374381163,11.131118,1.0,0.5578096372953427,4
seq_new,0.6341333333333334,0.3615333333333335,0.9231777699299694,1.5403218,1.0,0.9158591568476862,4
standard,0.3027333333333334,0.27446666666666675,0.8343334037235499,9.233639,1.0,0.6594012831217556,4
seq_new,0.6281333333333334,0.3752,0.9102905447961466,1.4770883,0.995,0.9083735754370639,4
standard,0.36793333333333345,0.2903333333333332,0.8210362747105914,6.3135986,0.995,0.6139587847354924,4
seq_new,0.6129333333333333,0.3483333333333334,0.8965194688853924,1.5878611,1.0,0.9030420438236294,4
standard,0.3721333333333334,0.3204666666666668,0.8419104460871575,7.376858,0.985,0.68844146766669,4
seq_new,0.6188666666666667,0.3544666666666667,0.9117073231482395,1.5178617,1.0,0.9037683982507553,4
standard,0.3351333333333333,0.2870666666666667,0.8339036595341098,9.610482,1.0,0.9409686025041347,4
seq_new,0.6270666666666668,0.33566666666666667,0.909658108441415,1.4996146,1.0,0.8964708960360319,4
standard,0.3618000000000001,0.2720666666666667,0.8447535053733235,10.637738,0.995,0.7540848991614688,4
seq_new,0.6037333333333332,0.35993333333333344,0.9062699126954319,1.5695881,1.0,0.8711484724804277,4
standard,0.3646666666666667,0.27046666666666674,0.8049259479504074,12.005148,1.0,0.6528575111433195,5
seq_new,0.7016666666666667,0.42599999999999993,0.9335665621748493,1.8012592,1.0,0.966417178847155,5
standard,0.3415999999999999,0.27726666666666666,0.8075794555807737,10.465301,1.0,0.4183975120518214,5
seq_new,0.7216,0.38260000000000005,0.9449538284692895,2.0337417,1.0,0.9510526494797755,5
standard,0.3872,0.34306666666666663,0.8587901084031115,9.08208,1.0,0.44057265030481463,5
seq_new,0.6994666666666667,0.41426666666666656,0.9368288733441468,1.5286094,1.0,0.96559455330939,5
standard,0.3954000000000001,0.3242666666666666,0.8460073355453757,11.135208,1.0,0.5027402925131046,5
seq_new,0.7002666666666666,0.37473333333333325,0.9228049188021513,1.951164,1.0,0.9688566358848754,5
standard,0.33186666666666664,0.31499999999999995,0.8060417277078502,14.301308,1.0,0.5623098174501024,5
seq_new,0.7077333333333333,0.4164,0.9586280683620008,1.677516,1.0,0.9271254907969024,5
standard,0.34660000000000013,0.3044,0.7797218420845922,10.600382,0.995,0.5955587418242488,5
seq_new,0.7087333333333333,0.3949999999999999,0.9269005834966422,1.7087711,1.0,0.9724934360956802,5
standard,0.31766666666666665,0.30746666666666655,0.786633032987288,13.9703,1.0,0.7258504316546436,5
seq_new,0.7148000000000001,0.4037333333333334,0.940387032124595,1.9766173,1.0,0.9800811235315436,5
standard,0.34486666666666665,0.2817333333333333,0.8152276038231608,10.704234,1.0,0.7230873376798269,5
seq_new,0.7307333333333333,0.42646666666666666,0.9549294227993049,1.4948572,1.0,0.9633861699461682,5
standard,0.34953333333333336,0.29346666666666665,0.7743837919423788,14.790638,1.0,0.5956105379061478,5
seq_new,0.716,0.42193333333333327,0.9336251381414542,1.6670277,1.0,0.9330793216964999,5
standard,0.38326666666666687,0.3234666666666667,0.8381349150779545,10.104229,1.0,0.4324006432852121,5
seq_new,0.7058,0.4115333333333334,0.9332327929142185,1.5542032,1.0,0.9568526396793438,5
