,generator,learner,rmse,gen_type
0,tvae0,TNet(),2.9900502823229846,tvae
1,tvae0,SNet(),3.1568242399048314,tvae
2,tvae0,PWNet(),4.7055037222277,tvae
3,tvae0,RANet(),2.8939409813880177,tvae
4,tvae0,DRNet(),3.188355051307303,tvae
5,ctgan4,TNet(),2.1266518091769373,ctgan
6,ctgan4,SNet(),2.4839705604614593,ctgan
7,ctgan4,PWNet(),4.3593314597089625,ctgan
8,ctgan4,RANet(),2.121773102777483,ctgan
9,ctgan4,DRNet(),2.129448345641502,ctgan
10,ddpm1,TNet(),1.781795009229894,ddpm
11,ddpm1,SNet(),1.796611447782821,ddpm
12,ddpm1,PWNet(),3.5128278109351596,ddpm
13,ddpm1,RANet(),1.6726807953823195,ddpm
14,ddpm1,DRNet(),1.8930409445195346,ddpm
15,ctgan0,TNet(),1.060224483276912,ctgan
16,ctgan0,SNet(),1.5379259585921514,ctgan
17,ctgan0,PWNet(),2.3056757014578406,ctgan
18,ctgan0,RANet(),1.021686417849014,ctgan
19,ctgan0,DRNet(),0.931751774088624,ctgan
20,arf3,TNet(),2.20239333717686,arf
21,arf3,SNet(),4.1300406532824665,arf
22,arf3,PWNet(),3.2725248548619827,arf
23,arf3,RANet(),2.343938808303354,arf
24,arf3,DRNet(),3.025786892259355,arf
25,ddpm2,TNet(),2.042362796944954,ddpm
26,ddpm2,SNet(),2.7323587843289556,ddpm
27,ddpm2,PWNet(),3.398243593420013,ddpm
28,ddpm2,RANet(),2.0935716415249774,ddpm
29,ddpm2,DRNet(),1.4631359954685572,ddpm
30,tvae4,TNet(),2.9678496511783803,tvae
31,tvae4,SNet(),3.393872314540728,tvae
32,tvae4,PWNet(),3.210718126298105,tvae
33,tvae4,RANet(),3.0281939565409837,tvae
34,tvae4,DRNet(),2.8757555277194347,tvae
35,ddpm3,TNet(),2.406443627538503,ddpm
36,ddpm3,SNet(),2.213178421170318,ddpm
37,ddpm3,PWNet(),2.595408061458844,ddpm
38,ddpm3,RANet(),2.3279599322494886,ddpm
39,ddpm3,DRNet(),1.9862930863693573,ddpm
40,tvae3,TNet(),2.5118337641040442,tvae
41,tvae3,SNet(),3.7690171084137023,tvae
42,tvae3,PWNet(),2.664582739728309,tvae
43,tvae3,RANet(),2.5082109461335196,tvae
44,tvae3,DRNet(),2.6677083038894756,tvae
45,nflow3,TNet(),3.103393487725009,nflow
46,nflow3,SNet(),4.735056624357178,nflow
47,nflow3,PWNet(),5.063463270612876,nflow
48,nflow3,RANet(),3.1836779102625816,nflow
49,nflow3,DRNet(),3.766032716950444,nflow
50,ddpm0,TNet(),2.054230773610984,ddpm
51,ddpm0,SNet(),1.78123437652383,ddpm
52,ddpm0,PWNet(),3.0660822641410523,ddpm
53,ddpm0,RANet(),2.0529818808642535,ddpm
54,ddpm0,DRNet(),1.7691883952613758,ddpm
55,arf1,TNet(),3.2243729602053657,arf
56,arf1,SNet(),3.986354605875788,arf
57,arf1,PWNet(),3.621686887628618,arf
58,arf1,RANet(),3.335320827809034,arf
59,arf1,DRNet(),3.379125385304495,arf
60,arf4,TNet(),2.193223067925615,arf
61,arf4,SNet(),2.926189713674082,arf
62,arf4,PWNet(),3.2921493800465154,arf
63,arf4,RANet(),2.1657812873802866,arf
64,arf4,DRNet(),2.012814586265938,arf
65,arf0,TNet(),2.7346256040735066,arf
66,arf0,SNet(),3.507156257881084,arf
67,arf0,PWNet(),2.9819000509320586,arf
68,arf0,RANet(),2.545222235104428,arf
69,arf0,DRNet(),2.5613497673765995,arf
70,tvae2,TNet(),3.655341967028441,tvae
71,tvae2,SNet(),4.8232616305500935,tvae
72,tvae2,PWNet(),4.7761683957706165,tvae
73,tvae2,RANet(),3.5649822899965393,tvae
74,tvae2,DRNet(),3.81448211578401,tvae
75,nflow1,TNet(),4.4042602472955865,nflow
76,nflow1,SNet(),4.417727122357638,nflow
77,nflow1,PWNet(),4.785896639014772,nflow
78,nflow1,RANet(),4.317658288333524,nflow
79,nflow1,DRNet(),3.7489217503533547,nflow
80,arf2,TNet(),2.7067177723901006,arf
81,arf2,SNet(),3.6453104859790773,arf
82,arf2,PWNet(),3.2647248340235993,arf
83,arf2,RANet(),2.618650419082443,arf
84,arf2,DRNet(),2.68462542923895,arf
85,nflow4,TNet(),4.03014277599169,nflow
86,nflow4,SNet(),4.6724918138891605,nflow
87,nflow4,PWNet(),4.194510790442586,nflow
88,nflow4,RANet(),4.00673202493357,nflow
89,nflow4,DRNet(),3.168463126698264,nflow
90,ctgan3,TNet(),1.5412456730275366,ctgan
91,ctgan3,SNet(),1.6637165875081998,ctgan
92,ctgan3,PWNet(),2.6740821930536973,ctgan
93,ctgan3,RANet(),1.518743338871795,ctgan
94,ctgan3,DRNet(),1.9561873328764068,ctgan
95,nflow0,TNet(),3.487749411297989,nflow
96,nflow0,SNet(),5.158858697611141,nflow
97,nflow0,PWNet(),4.452630466477623,nflow
98,nflow0,RANet(),3.6427648416620433,nflow
99,nflow0,DRNet(),3.758329964649403,nflow
100,ddpm4,TNet(),1.898845050786171,ddpm
101,ddpm4,SNet(),2.3041202132951213,ddpm
102,ddpm4,PWNet(),2.9841178563167783,ddpm
103,ddpm4,RANet(),1.9817927548434204,ddpm
104,ddpm4,DRNet(),2.216976110038103,ddpm
105,ctgan2,TNet(),1.1179293303238766,ctgan
106,ctgan2,SNet(),1.9987027244524782,ctgan
107,ctgan2,PWNet(),3.5551584360439117,ctgan
108,ctgan2,RANet(),0.9710640358894316,ctgan
109,ctgan2,DRNet(),1.299879084326092,ctgan
110,tvae1,TNet(),2.7690775499717186,tvae
111,tvae1,SNet(),4.28431573796436,tvae
112,tvae1,PWNet(),4.953129677639569,tvae
113,tvae1,RANet(),2.887874055687476,tvae
114,tvae1,DRNet(),3.665141573994132,tvae
115,nflow2,TNet(),3.7906882361890504,nflow
116,nflow2,SNet(),5.555306508585485,nflow
117,nflow2,PWNet(),5.468756784039624,nflow
118,nflow2,RANet(),3.420933391116365,nflow
119,nflow2,DRNet(),3.8142641066963647,nflow
120,ctgan1,TNet(),1.3626234102809263,ctgan
121,ctgan1,SNet(),2.1571099383267924,ctgan
122,ctgan1,PWNet(),3.2531952332290497,ctgan
123,ctgan1,RANet(),1.429859980875581,ctgan
124,ctgan1,DRNet(),1.4960448521599379,ctgan
