method,f,c,d,u_pehe,u_policy,u_int
standard,0.6806782686300759,0.46550647032574743,0.8281749066137912,2.6831656098365784,0.8322147651006712,0.28320841876153646
seq_new,0.7349397590361446,0.4717536813922355,0.8971490180400365,1.5924481973052025,0.9328859060402684,0.5088247524074369
standard,0.6158857652833556,0.3684069611780455,0.8025451455426611,3.349716603755951,0.8187919463087249,0.23706428697680543
seq_new,0.6712182061579651,0.40865684962070503,0.9113308305611989,1.8136795908212662,0.9328859060402684,0.41571377954665
standard,0.6491744756804998,0.45122713074520304,0.8249204025188449,2.316674530506134,0.7315436241610739,-0.047784104013948975
seq_new,0.6901383311021866,0.44167782240071396,0.8390169591921046,1.603666365146637,0.9328859060402684,-0.034133463400329134
standard,0.634359660865685,0.40080321285140563,0.8835515367207554,2.2640229761600494,0.7919463087248322,0.28894400734758624
seq_new,0.6813029897367247,0.42989736724676486,0.8844322805187494,1.781727522611618,0.9463087248322147,0.13956716589549245
standard,0.6175814368585453,0.40651494868362337,0.8032188795614469,2.833358585834503,0.8322147651006712,0.009613180030974517
seq_new,0.7017402945113789,0.4378402498884426,0.8994767141037276,1.7893716096878052,0.9530201342281879,0.5582106530644811
standard,0.6481927710843374,0.4066041945560017,0.8356951139454041,2.3446097671985626,0.6778523489932886,0.359652638267356
seq_new,0.628380187416332,0.3799196787148593,0.8973804052274983,1.7347978204488754,0.959731543624161,0.32884679945420364
standard,0.5649263721552878,0.3407407407407407,0.8210403337431698,2.210402399301529,0.8456375838926175,0.220851207190864
seq_new,0.6381972333779562,0.42472110664881746,0.8812005553865043,1.6544737368822098,0.959731543624161,0.46356990788311614
standard,0.6875502008032128,0.45533244087460967,0.7799850788102161,3.0390663146972656,0.6778523489932886,0.31736510510105187
seq_new,0.643908969210174,0.3969656403391343,0.8992489501991647,1.8489272445440292,0.9261744966442953,-0.10518006460563052
standard,0.7415439535921464,0.4409638554216868,0.8090164574039986,2.260698050260544,0.8657718120805369,0.3450244698514708
seq_new,0.6617581436858545,0.40116019634091926,0.8939826123391423,1.7783051133155823,0.9194630872483222,0.7115987566855191
standard,0.6398036590807675,0.4343596608656849,0.8572058279120149,2.776912659406662,0.7114093959731543,0.6390524468607562
seq_new,0.6863900044622937,0.4450691655510933,0.906125310173407,1.5549619048833847,0.9530201342281879,0.3268405782960798
standard,0.6590807675145024,0.4308790718429273,0.8663224332580368,2.6771049201488495,0.8053691275167785,0.05992825805779289
seq_new,0.6800535475234271,0.42186523873270865,0.9042684118936835,1.797935962677002,0.9664429530201343,-0.006750880277862879
standard,0.6309683177153058,0.3870593485051316,0.8413687612537568,2.8246272206306458,0.7919463087248322,0.18589830975952726
seq_new,0.609995537706381,0.452119589468987,0.9151378919387585,1.6716927289962769,0.9463087248322147,0.3060011792198464
standard,0.661401160196341,0.420437304774654,0.8412580595192779,2.5731406807899475,0.4161073825503356,0.2447218628397508
seq_new,0.7085229808121374,0.4164212405176261,0.918309474666654,1.5296491086483002,0.9530201342281879,0.12040297587753038
standard,0.7128067826863007,0.426149040606872,0.847979144733678,1.9036864638328552,0.8791946308724832,0.13560578293951905
seq_new,0.6888888888888889,0.38920124944221324,0.8695296090177307,1.7439848333597183,0.9530201342281879,0.11654934609938904
standard,0.6854082998661313,0.42739848282016957,0.882176545228701,2.502679854631424,0.6442953020134228,0.188884038007835
seq_new,0.6433734939759036,0.4062472110664881,0.868704200834763,1.7430314123630524,0.9395973154362416,0.39651924139735445
standard,0.6639000446229362,0.42989736724676486,0.8551174828014113,2.132173001766205,0.8322147651006712,-0.016707645562801722
seq_new,0.6912092815707274,0.4389112003569835,0.9203995206781128,1.9456829875707626,0.9463087248322147,-0.07002989226643927
standard,0.6857652833556448,0.4155287817938421,0.8578067812944078,2.0765713453292847,0.87248322147651,0.2938995374220441
seq_new,0.689156626506024,0.45345827755466306,0.8573311150195598,1.6555219441652298,0.959731543624161,0.17448167537439851
standard,0.6859437751004016,0.43694779116465865,0.8834221418497965,2.288322329521179,0.825503355704698,0.3702884354701523
seq_new,0.6538152610441766,0.4157072735385988,0.8999049897232834,1.4951884299516678,0.9395973154362416,0.29833138861474834
standard,0.6604194556001786,0.4035698348951361,0.8555419155906396,2.9650913774967194,0.6778523489932886,0.5145084722543178
seq_new,0.6521195894689871,0.4541722445336903,0.9078987097155075,1.8290444016456604,0.9530201342281879,0.2743249511162866
standard,0.7260151717983043,0.43444890673806347,0.8478168225053403,2.393025904893875,0.7718120805369127,-0.35146793467869775
seq_new,0.7266398929049531,0.40160642570281124,0.8776219921995231,1.6126940995454788,0.9328859060402684,0.41410279994631605
