method,f,d,u_pehe,u_policy,u_int
standard,0.10709066917826116,0.7973134336645955,4.093799,0.5167785234899329,0.08973089784784086
seq_new,0.2166064516405663,0.8555482163487147,2.7001915,0.8053691275167785,0.1804263191509
standard,0.13219902025254995,0.8565491102510405,3.8055627,0.6510067114093959,0.28531326107492205
seq_new,0.23265200535970854,0.9143259298026286,2.6205404,0.8926174496644296,0.18084848337733586
standard,0.12948528051515096,0.8404312985865653,3.360182,0.8859060402684564,0.20312672983120228
seq_new,0.12233243504086909,0.8884832403307111,3.3903975,0.7516778523489933,0.49749808817588287
standard,0.1470347173962374,0.861419809114195,4.1347375,0.8389261744966443,0.024080137263595834
seq_new,0.2004869137457145,0.9005439800567653,2.3110168,0.9060402684563759,0.5346963851177615
standard,0.17322483531313615,0.8129168940709927,3.7061229,0.8187919463087249,0.0022570828420540104
seq_new,0.23163575189265162,0.9137934547474128,2.5077698,0.8926174496644296,0.45511671168300166
