method,f,c,d,u_pehe,u_policy,u_int
standard,0.4244533690316824,0.3270861222668451,0.7809065172495906,3.9912162,0.7315436241610739,-0.22148885694695603
seq_new,0.48451584114234725,0.36769299419901824,0.906140463230873,2.7814689,0.8590604026845637,-0.410985262194573
standard,0.5577867023650156,0.3698348951360999,0.8423393434981388,4.588297,0.6912751677852349,0.38333274746574125
seq_new,0.591343150379295,0.38937974118697005,0.9158692813032198,2.565286,0.8791946308724832,-0.280326528151293
standard,0.5790272199910753,0.38670236501561794,0.7968664920822753,2.7332854,0.9261744966442953,0.2739087089736506
seq_new,0.680946006247211,0.4180276662204373,0.8666548975244096,2.6085243,0.8926174496644296,-0.07435521162465555
standard,0.4998661311914324,0.33253012048192765,0.8248136225742552,4.070147,0.8993288590604027,0.46003793849947583
seq_new,0.48451584114234714,0.3314591700133869,0.900482884021977,2.7845995,0.8053691275167785,-0.16460356538926302
standard,0.5590361445783133,0.37242302543507355,0.8073639412708454,3.6368089,0.825503355704698,0.4811976865333549
seq_new,0.6355198572066042,0.43052208835341366,0.8714733628402065,2.885342,0.8657718120805369,0.1382959307156814
standard,0.3647478804105311,0.28023203926818374,0.8323319313669253,3.7803776,0.912751677852349,0.07556736639354873
seq_new,0.5244979919678716,0.4116019634091923,0.9138275034224309,3.8162951,0.6711409395973155,-0.1599254546621563
standard,0.5360999553770638,0.3833110218652388,0.8485263226346558,2.9742358,0.87248322147651,0.25565706019271517
seq_new,0.5484158857652833,0.3644801427933957,0.915489169503622,2.5617323,0.8859060402684564,-0.087356789920274
standard,0.5273538598839804,0.34618473895582325,0.8342410663327703,3.8112972,0.7785234899328859,0.2276312527249071
seq_new,0.4750557786702365,0.3619812583668005,0.9096886052109094,2.438826,0.8926174496644296,-0.1787065496071058
standard,0.4472110664881749,0.32628290941543947,0.8097468592593504,4.5064473,0.87248322147651,0.49124980619977693
seq_new,0.4424810352521197,0.3434181169120928,0.9106379096766999,2.8680177,0.8791946308724832,-0.2851255755328119
standard,0.506202588130299,0.34618473895582325,0.7939195810367238,3.4263802,0.7516778523489933,0.44364232477873855
seq_new,0.6208835341365462,0.41936635430611335,0.9087956581233124,2.9623432,0.9060402684563759,-0.07257565099041458
