method,f,c,d,u_pehe,u_policy,u_int
standard,0.5796519410977243,0.37161981258366805,0.8498436380453371,3.873419,0.5838926174496645,0.04434760099162893
seq_new,0.6577420794288265,0.4174029451137885,0.8875508105788068,2.1016836,0.8926174496644296,0.21394350809234947
standard,0.6411423471664435,0.400446229361892,0.8289076113330158,3.9549325,0.10067114093959731,-0.14205422745389304
seq_new,0.6500669344042838,0.4221329763498438,0.8952666201701096,2.175446,0.8389261744966443,0.4366204406198897
standard,0.6519410977242301,0.4370370370370371,0.8374694233794528,3.8370664,0.785234899328859,0.0683088374662641
seq_new,0.6972780008924587,0.4184738955823293,0.8965414999363039,2.4198055,0.8322147651006712,0.46388356890494853
standard,0.6367692994199018,0.40285586791610883,0.8608142791331779,3.259571,0.6778523489932886,0.14266965591333966
seq_new,0.6127621597501116,0.3795626952253458,0.87421996561976,2.790076,0.8926174496644296,0.32633892980560647
standard,0.6041053101294065,0.4117804551539491,0.8604966803234708,3.7949235,0.6375838926174496,-0.33382638754489574
seq_new,0.6439982150825525,0.381615350290049,0.9158234443475306,2.5273857,0.8859060402684564,-0.023893257493916818
standard,0.6429272646140116,0.39473449352967416,0.8707914030956372,4.2181363,0.6375838926174496,0.14547810050153656
seq_new,0.5774207942882642,0.35109326193663526,0.9033821228297391,2.4437435,0.8456375838926175,0.2712019885080313
standard,0.6639892904953146,0.434359660865685,0.8425378980044638,3.2284756,0.6308724832214765,0.2441488972613387
seq_new,0.635698348951361,0.3996430165104864,0.9190977554629234,2.533313,0.87248322147651,0.47704327163986404
standard,0.5775100401606426,0.37492190986166896,0.8248289441239531,5.165411,0.18791946308724833,0.01919289869756837
seq_new,0.5143239625167336,0.35153949129852746,0.8749711416240008,2.170054,0.8389261744966443,0.5584369190885972
standard,0.7071842927264614,0.4401606425702812,0.8417138754880332,3.9822242,0.5033557046979866,-0.2732149637620176
seq_new,0.6024988844265953,0.4,0.88371218050545,2.2982087,0.825503355704698,0.18215728121099048
standard,0.6158857652833556,0.43837572512271306,0.8794070609031197,3.478761,0.7181208053691275,-0.3134691566947098
seq_new,0.6022311468094601,0.3905399375278893,0.8687674762854507,2.3828068,0.8523489932885906,0.08649976222697685
