method,epsilon,f,c,d,avg_u_pehe
standard,5,0.09538319482917834,0.0645429362880886,0.35696973722118486,3.6449395567178726
sequential,5,0.06343490304709143,0.04376731301939063,0.5087092158301465,0.6312046647071838
standard,5,0.07359187442289938,0.04413665743305617,0.7004680499500452,1.4503762423992157
sequential,5,0.13056325023084014,0.07008310249307459,0.5806138144017221,0.6971573233604431
standard,5,0.08171745152354559,0.06786703601108035,0.12159315134537974,2.7787326723337173
sequential,5,0.022807017543859498,0.027700831024930594,0.7285282498025937,0.6044756099581718
standard,5,0.030470914127423865,0.04903047091412749,0.5836298575416159,8.117194473743439
sequential,5,0.0306555863342568,0.02871652816251158,0.5518149512084418,0.512386828660965
standard,5,0.03582640812557725,0.05032317636195727,0.4504990651648484,3.433799833059311
sequential,5,0.04136657433056323,0.053647276084949125,0.6486372868548373,0.5234143286943436
standard,5,0.05133887349953836,0.049215143120960314,0.3911689733811895,3.32992684841156
sequential,5,0.028993536472760706,0.0048938134810710965,0.576922135725658,0.5176241919398308
standard,5,0.13194829178208678,0.10120036934441368,0.6165674101714194,2.706817328929901
sequential,5,0.0657433056325023,0.06989843028624187,0.48367952558223437,0.5651935860514641
standard,5,0.06306555863342578,0.04044321329639877,0.31305491309241296,1.2214164435863495
sequential,5,0.08651892890120039,0.08559556786703593,0.3653226443914189,0.5114234611392021
standard,5,0.017451523545706338,0.029362880886426468,0.7711010834815357,1.9451507925987244
sequential,5,0.19418282548476462,0.0780240073868883,0.4362702913794041,0.8222637474536896
standard,5,0.07626962142197591,0.05577100646352706,0.32424964354587116,2.721634194254875
sequential,5,0.0497691597414589,0.05410895660203141,0.6991486958591822,0.5197047479450703
standard,10,0.07811634349030483,0.06389658356417371,0.5260297205781548,2.064157709479332
sequential,10,0.12936288088642656,0.08356417359187451,0.6021824345105966,0.5617284327745438
standard,10,0.04293628808864269,0.06952908587257611,0.01538300504010015,1.9936297833919525
sequential,10,0.06481994459833795,0.08208679593721158,0.8666398278600533,0.5491266027092934
standard,10,0.0509695290858726,0.04718374884579879,0.17385864730458556,1.5861819386482239
sequential,10,0.06352723915050784,0.03093259464450604,0.8561662189730472,0.5657752677798271
standard,10,0.0479224376731302,0.04441366574330574,0.046759780221283576,0.9697209894657135
sequential,10,0.06805170821791329,0.04589104339796857,0.8128704945369387,0.5206793993711472
standard,10,0.07008310249307492,0.05466297322253022,0.1854601473770212,3.914753645658493
sequential,10,0.08273314866112647,0.08051708217913223,0.7968493877608818,0.6149798035621643
standard,10,0.05854108956602033,0.07119113573407188,0.18091245950199664,1.9378966391086578
sequential,10,0.07137580794090503,0.06546629732225306,0.7875076805790974,1.0421118661761284
standard,10,0.14219759926131104,0.0768236380424746,0.09720846755562285,1.8078511655330658
sequential,10,0.07820867959372124,0.06371191135734067,0.7477186393488697,0.49405714869499207
standard,10,0.06583564173591883,0.05743305632502316,0.5788574233309822,2.3180895000696182
sequential,10,0.05660203139427511,0.06417359187442295,0.7246577990137499,0.49244413524866104
standard,10,0.1350877192982457,0.07756232686980613,0.4528053897956754,3.9226393699645996
sequential,10,0.02160664819944602,0.03314866112650039,0.6338354092742625,0.54226204007864
standard,10,0.045798707294552043,0.053924284395198585,0.34239241477935123,1.578361451625824
sequential,10,0.09778393351800563,0.11034164358264076,0.6270822839781514,0.6054195128381252
