method,epsilon,f,c,d,avg_u_pehe
standard,50,0.07950138504155124,0.054293628808864125,0.2011404899148319,3.3793539702892303
sequential,50,0.1085872576177288,0.0447830101569715,0.7182116739216919,0.48185715079307556
standard,50,0.024746075715604943,0.04404432132963998,0.34239847551234237,1.7277051657438278
sequential,50,0.16445060018467228,0.10997229916897511,0.5451182355796362,0.53928542137146
standard,50,0.039335180055401486,0.05096952908587249,0.9323090813288949,1.42934650182724
sequential,50,0.07728531855955678,0.03970452446906747,0.37937353795195317,1.0665367469191551
standard,50,0.0337950138504155,0.024561403508771895,0.41030566230045085,3.331551730632782
sequential,50,0.06980609418282535,0.058264081255771094,0.7064586148483158,0.5495007038116455
standard,50,0.1284395198522622,0.05752539242843946,0.5490048796510043,1.8698032349348068
sequential,50,0.1585410895660201,0.06075715604801479,0.4379447019717606,0.5867918878793716
standard,50,0.08144044321329624,0.030378578024007452,0.4496690971514694,3.0129747092723846
sequential,50,0.06306555863342567,0.044875346260387916,0.7213191148095461,0.5560202188789845
