epsilon,f,c,d,avg_u_pehe
10.0,0.661865189289012,0.15891043397968607,0.47314524934747937,27.255592167377472
10.0,0.48725761772853193,0.2419205909510619,0.5398312780346146,4.633561737835407
10.0,0.6095106186518928,0.18217913204062808,0.12888280627244475,5.574117593467236
15.0,0.7039513484255102,0.2541089566020316,0.2872028511298703,3.118796154856682
15.0,0.5890120036934442,0.28097876269621425,0.5822491836773166,5.8185319900512695
15.0,0.20230840258541094,0.2881809787626961,0.480716847220376,4.436523903161287
20.0,0.6866112650046168,0.14099722991689745,0.08116464768418408,5.368766967207193
20.0,0.47285318559556777,0.3342566943674977,0.20712321913659038,5.178458854556084
20.0,0.6081255771006464,0.18513388734995384,0.5944209185364868,2.9885059893131256
25.0,0.6961218836565097,0.16223453370267793,0.6679573501923675,4.948512710630894
25.0,0.45438596491228067,0.3481071098799631,0.6726158477325932,14.538053095340729
25.0,0.577100646352724,0.3587257617728532,0.10629730496207146,5.977179065346718
30.0,0.521606648199446,0.25032317636195744,0.8611747922393505,3.003061331808567
30.0,0.79067405355494,0.2849492151431209,0.13428101084161548,4.977292135357857
30.0,0.27682363804247456,0.13065558633425645,0.4330514396659936,6.762790370732546
