method,f,c,d,u_pehe,u_policy,u_int
standard,0.7218836565096953,0.4145891043397969,0.9044797156771613,2.200123965740204,0.8194444444444444,-0.5966160840102708
seq_new,0.8540898525806349,0.46223453370267764,0.8476905630306079,149.07784748077393,0.3194444444444444,-0.9974965335256231
standard,0.8162511542012927,0.4403508771929824,0.8981605562332706,2.413110550493002,0.7777777777777778,0.22759724196589431
seq_new,0.8480147737765467,0.4945521698984303,0.9066981895963533,94.70050871372223,0.2847222222222222,0.3563024370581694
standard,0.7755309325946446,0.3869806094182825,0.9090553297168558,3.8070659786462784,0.5069444444444444,0.20749690127642506
seq_new,0.8823988282866877,0.49335180055401673,0.9010558057326108,48.74046039581299,0.2847222222222222,-0.7139407015874848
standard,0.7986149584487535,0.43277931671283476,0.9054890884698579,2.875862829387188,0.7638888888888888,0.9101016966684128
seq_new,0.8007386888273315,0.45974145891043394,0.9012206779825708,95.8862007856369,0.24305555555555555,0.2742344563289963
standard,0.8030470914127423,0.44081255771006456,0.9346413424918418,2.637281745672226,0.6388888888888888,-0.20322913862006758
seq_new,0.855309325946445,0.4650046168051709,0.8961206601269643,98.28723108768463,0.25,0.40825405349833244
standard,0.7753462603878116,0.3966759002770084,0.9170266782531797,2.029072195291519,0.9097222222222222,-0.5005478578806024
seq_new,0.8494921514312097,0.49593721144967684,0.8730652385322626,112.55382019281387,0.3055555555555556,-0.965112625488473
standard,0.7588180978762696,0.4488457987072946,0.9106238996336726,3.318406194448471,0.7847222222222222,0.9910572647409366
seq_new,0.8414589104339797,0.5001846722068329,0.8945958188238472,149.1426886320114,0.4444444444444444,0.2108355363347637
standard,0.8176361957525393,0.4353647276084949,0.8861700443956566,2.690670534968376,0.8611111111111112,0.1822605359101399
seq_new,0.8275161588180979,0.48919667590027704,0.8982053868739237,88.11575531959534,0.3472222222222222,-0.9272692390510158
standard,0.7963065558633425,0.40341643582640807,0.9301386548669953,2.2118844762444496,0.9236111111111112,0.9649394377017088
seq_new,0.8413474703091668,0.4606648199445984,0.8924475830046201,104.7915587425232,0.25,-0.7457949253212655
standard,0.7983379501385042,0.39713758079409045,0.9256316798752878,3.3830293342471123,0.7083333333333334,-0.051429454818951725
seq_new,0.8351800554016621,0.4894736842105263,0.9065449892629711,103.71815520524979,0.2152777777777778,0.9818932693152549
standard,0.819482917820868,0.42465373961218833,0.9306026812619714,3.440179228782654,0.3402777777777778,0.5753002336425401
seq_new,0.8686057248384118,0.47322253000923353,0.8922279541846186,150.992302775383,0.2638888888888889,-0.921495677357699
standard,0.8223453370267775,0.43444136657433063,0.8985811627629622,2.6466938480734825,0.8541666666666666,0.9639595301372939
seq_new,0.8534243958353234,0.43961218836565097,0.9230651036657951,93.22922742366791,0.2013888888888889,0.49090892705475164
standard,0.8221606648199447,0.37423822714681443,0.9041439170518635,2.8362479768693447,0.7430555555555556,-0.6825851509529925
seq_new,0.8405355493998153,0.43702677746999075,0.9032679238314281,79.61310404539108,0.3541666666666667,-0.9646785725232211
standard,0.8213837679498202,0.41505078485687896,0.8922020633140474,2.369125135242939,0.8333333333333334,-0.9602320669338109
seq_new,0.8254847645429363,0.45798707294552166,0.8968043363356504,134.5773966908455,0.2916666666666667,-0.9892556575399868
standard,0.8004616805170822,0.4300092336103416,0.8844453413410376,2.857987493276596,0.09722222222222222,0.9268291661898798
seq_new,0.8456140350877193,0.47137580794090495,0.8902921782480778,188.39387214183807,0.3125,-0.17836584181742793
standard,0.8284395198522623,0.4656509695290859,0.9451701610832938,2.2848145477473736,0.5555555555555556,-0.35059093897994714
seq_new,0.8452446906740536,0.5445983379501386,0.9015111178895259,138.66991209983826,0.3402777777777778,0.06908257444903582
standard,0.803601108033241,0.36195752539242854,0.9101575649825794,2.4568531531840563,0.6388888888888888,0.7186708949287821
seq_new,0.8767313019390582,0.5070175438596491,0.885136439639845,120.1835198700428,0.13194444444444445,0.8400844635216788
standard,0.8113573407202216,0.3982456140350876,0.9279898375832075,2.616913452744484,0.7152777777777778,0.9069957308092327
seq_new,0.8263157894736842,0.4963065558633425,0.8922212262898009,129.58843970298767,0.3333333333333333,-0.029869703964873984
standard,0.8231763619575254,0.43444136657433063,0.9072064975944739,3.3668349534273148,0.8125,0.35653109805308314
seq_new,0.8556786703601108,0.5120960295475532,0.8787364273185243,117.29305577278137,0.2361111111111111,0.889756676394975
standard,0.8173400834208935,0.3997229916897508,0.886046537020643,2.3790377490222454,0.8680555555555556,0.8210388856899862
seq_new,0.8701754385964913,0.5102493074792245,0.9044641190508201,116.09465509653091,0.3472222222222222,-0.0020806089351550414
