method,f,d,u_pehe,u_policy,u_int
standard,0.8543054342691178,0.8813068983993915,3.1472108,0.4722222222222222,0.3268611127293977
seq_new,0.5081090996141782,0.8751558462379225,1.7294558,0.9236111111111112,0.8013178222646982
standard,0.5882768595697832,0.7966213785321662,5.042214,0.4305555555555556,-0.5989032394555772
seq_new,0.7749926115678586,0.7962190462430193,2.0067182,0.8472222222222222,0.8745441172297799
standard,0.7938062046933393,0.913597746291486,8.196824,0.1111111111111111,-0.5207109720368379
seq_new,0.8815241113138761,0.8784489210524418,2.0155277,0.9305555555555556,0.709034910648904
standard,0.8226108934349341,0.8706043666582329,2.955774,0.16666666666666666,0.1229564070936763
seq_new,0.7030695732259806,0.8793990706024538,0.63701284,0.9444444444444444,0.7163145297599856
standard,0.8826866930052831,0.874596357456314,2.3956845,0.9375,0.73451664892532
seq_new,0.7801199768590545,0.8796840048174536,1.4179916,0.8958333333333334,0.7910162628665172
