method,f,c,d,u_pehe,u_policy,u_int
standard,0.7418282548476454,0.3121883656509695,0.8957175884783379,7.669886,0.1111111111111111,0.6757310648466073
seq_new,0.690027700831025,0.2721144967682364,0.8618306781211327,2.823691,0.9305555555555556,0.39473008878492855
standard,0.8689177571878881,0.2587257617728531,0.8253623496627543,5.660298,0.2777777777777778,-0.8893007055980102
seq_new,0.8344413665743305,0.33462603878116337,0.8325754707009848,1.8005983,0.9583333333333334,0.4356679758138632
standard,0.8404432132963989,0.2759926131117266,0.8252191994380267,6.704773,0.4652777777777778,0.5790268192312498
seq_new,0.41615881809787614,0.37553093259464454,0.8502195126280002,2.587018,0.9305555555555556,-0.8355215852414881
standard,0.7961218836565097,0.2506001846722069,0.8216208111259097,8.554331,0.08333333333333333,0.033817386340433214
seq_new,0.7945712739198267,0.22696214219759936,0.8053022484984379,2.3803062,0.8819444444444444,-0.28542899513814024
standard,0.8571560480147739,0.33564173591874424,0.8845322808419038,3.9151328,0.8055555555555556,-0.5610923841732193
seq_new,0.8759957971152927,0.2087719298245614,0.8731167870385541,2.0926588,0.8541666666666666,0.14402035472355812
standard,0.8932594644506002,0.3807940904893814,0.8011924450313866,5.0347157,0.2152777777777778,0.7220658531553196
seq_new,0.7858725761772853,0.31061865189289006,0.8826070936536731,2.0747468,0.9305555555555556,-0.256775201766374
standard,0.830932594644506,0.3794090489381349,0.8536599686579257,8.147442,0.5625,0.7527902566226783
seq_new,0.7718597764829497,0.19870729455216984,0.8647908613614318,2.4621282,0.6527777777777778,0.38875524685974
standard,0.9321552520138823,0.24469067405355494,0.4532335064851498,3.949927,0.5902777777777778,-0.952698274431329
seq_new,0.7948291782086796,0.2082179132040628,0.8754349200231534,1.4959738,0.9305555555555556,-0.5034389684315143
standard,0.40554016620498623,0.3140350877192982,0.4828730422288434,20.717243,0.4305555555555556,-0.3027869197987599
seq_new,0.581994459833795,0.3076638965835642,0.8754335534855946,2.3104386,0.9305555555555556,0.5377716940422069
standard,0.8971057407584296,0.11652816251154219,0.6666708407858604,5.013205,0.3402777777777778,-0.560684782959601
seq_new,0.8688827331486612,0.30313942751615885,0.8304278187434475,2.1551812,0.9097222222222222,-0.37742881195837497
