method,f,c,d,u_pehe,u_policy,u_int
standard,0.9258636609673003,0.4827331486611265,0.8541447873545644,5.7087927,0.3680555555555556,0.6560884964607964
seq_new,0.9598751870602095,0.4820867959372114,0.8877828134681738,2.8795838,0.8055555555555556,0.8762212763438935
standard,0.8908364377368103,0.47867036011080344,0.8740279087790779,3.533506,0.2777777777777778,0.7258096830861869
seq_new,0.937755914286624,0.47645429362880887,0.9036352710398641,2.7374406,0.9027777777777778,0.8940628819723307
standard,0.933091349062311,0.5123730378578024,0.8037495140546163,5.395643,0.6875,-0.9046316659558573
seq_new,0.9757219728086096,0.5108956602031395,0.9131040100950739,2.9490054,0.8958333333333334,0.7860603607732604
standard,0.9068869997134397,0.45909510618651894,0.8402012117194373,3.6807666,0.7430555555555556,0.12726055230755345
seq_new,0.945983379501385,0.5126500461680518,0.9109971458946255,2.7485492,0.8333333333333334,0.01853280429330928
standard,0.8795013850415513,0.49409048938134803,0.8589075887405394,13.340284,0.05555555555555555,0.9895597105467824
seq_new,0.8877925303276339,0.483471837488458,0.8977726611730218,2.6939907,0.8472222222222222,-0.4370332873310847
standard,0.9045594931066323,0.5091412742382271,0.9361856161908848,4.266003,0.6944444444444444,-0.25168977021232264
seq_new,0.9245964275479989,0.49843028624192065,0.901978282648928,2.4103816,0.9027777777777778,-0.498884532978309
standard,0.8838411819021238,0.5005540166204987,0.8775124951731834,8.201638,0.11805555555555555,0.882330467154065
seq_new,0.9471837488457987,0.4803324099722992,0.9019520029070122,2.3093019,0.8333333333333334,0.520749737618505
standard,0.916378514343936,0.45475530932594643,0.8596053944789618,8.301778,0.10416666666666667,-0.5523984225174515
seq_new,0.9155474894131882,0.48993536472760857,0.8721285113958936,3.4886892,0.8888888888888888,-0.923011435835734
standard,0.8710064635272392,0.4728531855955679,0.8828699941076159,5.855202,0.4375,-0.8741143892192023
seq_new,0.9288820963479479,0.512280701754386,0.8849161615324126,2.3353062,0.8263888888888888,0.4967133642880813
standard,0.8895660203139428,0.5052631578947369,0.9346717813032034,4.8663464,0.5347222222222222,-0.49786561246618183
seq_new,0.9639061355748718,0.4759926131117267,0.9014406435878713,3.378916,0.7777777777777778,-0.4395776639579052
