method,f,c,d,u_pehe,u_policy,u_int
standard,0.9265927977839336,0.26445060018467215,0.8500308118231911,4.183217026293278,0.6041666666666666,0.8809319177431775
seq_new,0.8624192059095106,0.253185595567867,0.864950916326998,1.3251401521265507,0.9097222222222222,0.7725380132694621
standard,0.8745152354570638,0.2802400738688827,0.8520646322845836,6.097871378064156,0.7777777777777778,0.7507455352566301
seq_new,0.8473684210526317,0.3169898430286243,0.8442223662590207,1.5484517887234688,0.6805555555555556,-0.1946499738526648
standard,0.8267774699907664,0.2701754385964913,0.8400487226780717,4.417534906417131,0.2777777777777778,-0.37432358254976306
seq_new,0.9005540166204986,0.23748845798707308,0.8980911965170627,1.347470685839653,0.8125,0.914419213200836
standard,0.9143120960295475,0.2739612188365652,0.88506829298289,4.557236813008785,0.3263888888888889,0.8402254473359521
seq_new,0.918836565096953,0.31301939058171746,0.911273637731543,1.6093125697225332,0.8055555555555556,-0.3503711519733106
standard,0.8815327793167129,0.3099722991689753,0.9016663788428355,4.716451108455658,0.8263888888888888,-0.9151601558887459
seq_new,0.8769159741458911,0.3016620498614958,0.8915059660348438,2.4167055636644363,0.8958333333333334,0.06899646868484041
standard,0.92668513388735,0.281994459833795,0.8517313576179968,5.3791733756661415,0.05555555555555555,0.4046398893938986
seq_new,0.9041551246537396,0.29953831948291787,0.896862120188414,1.8657420109957457,0.9236111111111112,-0.703504210571507
standard,0.8348107109879963,0.2966759002770083,0.8871595379034493,4.772932820022106,0.1111111111111111,0.7858697111907287
seq_new,0.8601108033240997,0.3003693444136658,0.8715010011063047,1.0892197079956532,0.8888888888888888,0.6648244717484348
standard,0.8153277931671283,0.3051708217913204,0.9028862516669451,3.2804689407348633,0.13194444444444445,-0.43596785343480726
seq_new,0.8481071098799631,0.32456140350877205,0.8870688689504866,1.8097474426031113,0.8819444444444444,0.5077755891575572
standard,0.8959372114496769,0.3040627885503232,0.8182756211449584,3.466134786605835,0.2222222222222222,0.8708723541922876
seq_new,0.9115420129270545,0.28301015697137566,0.9141984170987885,1.0697387754917145,0.9513888888888888,0.15872245761983517
standard,0.9442289935364728,0.2586334256694368,0.9015936571755012,5.361598078161478,0.5972222222222222,0.7889006496398054
seq_new,0.8502308402585411,0.33471837488458,0.8813861247090313,1.6856143809854984,0.8611111111111112,0.5098076390052952
standard,0.8522622345337028,0.33619575253924294,0.9261281139620184,4.920813605189323,0.1111111111111111,0.0027036185759778397
seq_new,0.9286241920590952,0.3369344413665746,0.8461886747993363,2.3367265835404396,0.8194444444444444,-0.047473617549001035
standard,0.8637119113573407,0.2614958448753464,0.9225363340250683,3.784903407096863,0.0625,0.5568141947564499
seq_new,0.8325023084025854,0.2774699907663898,0.8765877053264539,1.451776146888733,0.9305555555555556,0.13450278004179195
standard,0.8429362880886426,0.29150507848568796,0.7925098921145906,4.423551499843597,0.13194444444444445,0.6062048388146886
seq_new,0.9120036934441367,0.3087719298245616,0.855202660241343,1.2445740550756454,0.9027777777777778,0.46265239097212213
standard,0.8994459833795014,0.28337950138504164,0.8765508831256223,3.6604463160037994,0.08333333333333333,0.46275939095374485
seq_new,0.8823638042474607,0.3137580794090489,0.8090259298573064,1.8029422890394926,0.8402777777777778,0.6042791937552233
standard,0.8710987996306556,0.286888273314866,0.8775351202935375,4.296162277460098,0.3472222222222222,0.5426295641359442
seq_new,0.8403508771929824,0.3254847645429363,0.8373686397935869,1.2904305011034012,0.9375,-0.2753008187199396
standard,0.9616200210144236,0.2794090489381348,0.9363213701343801,4.511871047317982,0.8125,-0.9888640657708526
seq_new,0.8880886426592798,0.30932594644505995,0.928302253257579,1.2887781336903572,0.8888888888888888,0.6552624899396636
standard,0.8987072945521699,0.264819944598338,0.7923633429617524,5.462434828281403,0.9444444444444444,0.18053691031620758
seq_new,0.9210717356003438,0.3093259464450603,0.8840574436654366,1.743478275835514,0.8402777777777778,-0.10607332275293102
standard,0.8838411819021237,0.31911357340720226,0.809622555190135,3.609662726521492,0.2013888888888889,0.9720429586365851
seq_new,0.8958448753462603,0.31606648199445986,0.8578497847177121,1.124038565903902,0.8472222222222222,-0.8690233693175438
standard,0.9059095106186519,0.30313942751615885,0.8616054624014998,3.5410953164100647,0.7986111111111112,-0.17904947178090241
seq_new,0.9211449676823638,0.26260387811634334,0.8876645071026001,1.1757173612713814,0.9305555555555556,0.8929757072534589
standard,0.9087719298245615,0.2953831948291782,0.8724187847313247,4.977490626275539,0.7777777777777778,-0.6210083787028052
seq_new,0.9322253000923362,0.28541089566020306,0.8982757886467281,1.5698510985821486,0.8680555555555556,-0.8689052795682747
