gen,naive_f,naive_c,f,c,d,avg_u_pehe,true_pehe
ddpm,0.1592,0.16099999999999992,0.3478000000000001,0.3151999999999998,0.8275962340250216,5.019044578075409,6.180080734243597
ddpm,0.19326666666666648,0.16293333333333337,0.43853333333333333,0.3488,0.8725517769223256,4.872703850269318,6.107315634048653
ddpm,0.1879333333333334,0.18099999999999994,0.37606666666666666,0.31586666666666663,0.840064889637998,4.847493052482605,4.411336464038047
ddpm,0.15639999999999987,0.10833333333333317,0.3584666666666668,0.3124,0.8103495650668234,5.646578431129456,10.316340156421623
ddpm,0.15200000000000002,0.13626666666666654,0.3407333333333332,0.2948666666666665,0.8647121039676151,4.725068271160126,5.301072568563199
tvae,0.19753333333333356,0.278,0.39193333333333336,0.39746666666666663,0.8599630804360344,4.561421751976013,4.646987120531611
tvae,0.21233333333333348,0.2755333333333334,0.6116666666666667,0.4561333333333334,0.7920236312196307,5.628002226352692,4.371593015945499
tvae,0.20113333333333328,0.24353333333333338,0.3532666666666666,0.4017333333333334,0.8792682727637515,4.2668792605400085,4.128671510642747
tvae,0.1508666666666666,0.26106666666666656,0.26459999999999995,0.35439999999999994,0.8523418424030021,4.254685819149017,4.494902773219884
tvae,0.20813333333333317,0.2812666666666668,0.4661333333333334,0.4527333333333332,0.8712812641731339,4.470029234886169,4.272576971780571
ctgan,0.22426666666666661,0.25506666666666666,0.7158000000000001,0.4384,0.8236403636107198,4.139482140541077,3.334362215724307
ctgan,0.22426666666666661,0.15006666666666668,0.7211333333333334,0.3862,0.7419058934414875,4.681582152843475,3.302676852286354
ctgan,0.24080000000000013,0.2354666666666667,0.7208000000000001,0.46020000000000005,0.8408961523225894,3.885065972805023,3.2551112740470467
ctgan,0.2099333333333333,0.1919333333333334,0.6947333333333334,0.4072,0.8451888063836336,3.7856141328811646,3.4165190632568185
ctgan,0.20406666666666662,0.23686666666666656,0.7085999999999999,0.4541333333333333,0.8898615905538854,4.1600950956344604,3.418485192801331
