method,alpha,beta,f,c,d,u_pehe,oracle_pehe
standard,0.16780000000000006,0.16253333333333353,0.22980000000000012,0.1807333333333333,0.7548673787513331,7.228769302368164,8.268527729247214
seq,0.20533333333333337,0.20553333333333335,0.23673333333333324,0.21686666666666665,0.8405197761798481,4.392458587884903,4.576260356832851
standard,0.20440000000000003,0.17446666666666688,0.21233333333333326,0.21140000000000003,0.8011031209374777,7.026567459106445,8.28413331370913
seq,0.2022666666666667,0.19879999999999998,0.21753333333333336,0.18020000000000003,0.7949888233031845,4.734453588724136,4.6635161371456055
standard,0.15013333333333334,0.15566666666666673,0.21006666666666662,0.1989333333333333,0.8023396578511358,7.004448771476746,8.489151174129917
seq,0.19853333333333345,0.18619999999999992,0.21879999999999988,0.15313333333333334,0.811817084919909,4.041092813014984,4.513813251196059
standard,0.17633333333333334,0.19340000000000013,0.2158,0.17733333333333323,0.7581141699973916,7.199002027511597,8.642098411387462
seq,0.19459999999999988,0.1528666666666666,0.2203999999999997,0.17200000000000004,0.8308348510272395,4.147204428911209,4.652169961880343
standard,0.19013333333333315,0.19619999999999993,0.2108,0.19113333333333338,0.7992070003436857,7.415226578712463,8.307607864977152
seq,0.16813333333333336,0.11406666666666665,0.21186666666666665,0.16246666666666676,0.8313424140857671,4.4873150289058685,4.697236656156159
