dataset,naive_f,naive_c,f,c,d,u_pehe,oracle_pehe
adv,0.22419999999999995,0.21286666666666665,0.5035333333333333,0.3354666666666667,0.16691445198791965,9.24534261226654,6.097098333702398
good,0.30366666666666653,0.22460000000000013,0.5552666666666667,0.35073333333333345,0.832728999797049,3.9195041954517365,2.984623487596201
adv,0.31633333333333324,0.2876000000000001,0.39479999999999993,0.28446666666666653,0.13924135359746748,9.94581162929535,5.407685042282962
good,0.38480000000000003,0.25406666666666666,0.3858666666666666,0.2597999999999999,0.8195103422508858,4.295753240585327,2.9043343808662767
adv,0.27713333333333334,0.2750666666666668,0.5442666666666667,0.34353333333333347,0.2035613084257104,9.038010835647583,5.5056667431428465
good,0.37093333333333334,0.246,0.5651333333333334,0.34206666666666663,0.789072110700071,4.127093881368637,3.155815025435884
adv,0.2275999999999999,0.24226666666666652,0.45986666666666665,0.3172666666666667,0.18784463589357392,8.56659209728241,6.490214326714742
good,0.3067333333333333,0.2321333333333333,0.45420000000000005,0.28246666666666664,0.8561022283656837,3.895069718360901,3.0442960522292757
adv,0.20306666666666662,0.23486666666666667,0.6222000000000001,0.38426666666666665,0.15900032896762462,10.765227675437927,6.174079485564833
good,0.26273333333333315,0.19340000000000002,0.6200666666666668,0.3736666666666666,0.8302411896171428,3.9889484643936157,2.9863841170011316
