method,f,c,d,u_pehe,u_policy,u_int
standard,0.8977509371095377,0.3926697209496044,0.9105931908608369,5.616363197565079,0.540625,0.17272821963828527
seq_new,0.9423204890682522,0.3412605858669998,0.9589457796561677,1.9013510644435883,0.96875,0.44896146227594586
standard,0.8584062196307094,0.3571428571428571,0.9263684607061506,4.509028524160385,0.5479166666666667,0.24238828547178448
seq_new,0.8485630987088713,0.4518256282104679,0.9771446105163483,1.8867250680923462,0.975,0.0981857382128823
standard,0.8838123004303762,0.44829931972789117,0.9300234946395032,4.3335612416267395,0.5958333333333333,-0.1695150921777949
seq_new,0.9061339384451881,0.4268638067471887,0.9587214879685918,2.7682994306087494,0.94375,-0.03269249368868021
standard,0.8702485075662918,0.4349298903234763,0.8943204818393659,4.501240313053131,0.6197916666666666,-0.24077465493292408
seq_new,0.8425655976676385,0.4393447174788283,0.971074401658224,2.019960105419159,0.975,-0.35781158257440443
standard,0.8693044564764681,0.4376232125503262,0.9283456384499558,3.8340704441070557,0.6864583333333333,0.03196544550503248
seq_new,0.8458558933777592,0.394960433152853,0.962414409003411,2.5381271839141846,0.9677083333333333,-0.42528397927237616
