method,f,c,d,u_pehe,u_policy,u_int
standard,0.8968461416938345,0.41686797167846734,0.9167008870238721,4.636472284793854,0.6739583333333333,-0.0036961405265117306
seq_new,0.8717062335138137,0.4514230181868666,0.9554096183809655,2.3682756423950195,0.9541666666666667,-0.10875846162428593
standard,0.874205192280994,0.38093849784811884,0.9338682971314156,4.432622104883194,0.640625,0.14625811991982068
seq_new,0.9058170206858254,0.4133416631958906,0.9622428370145535,2.1216659545898438,0.9447916666666667,-0.34510052093429655
standard,0.8624184367624601,0.4242954324586977,0.9246322837448302,4.5288068652153015,0.6010416666666667,0.22025819762809512
seq_new,0.8611550742746078,0.44028876856865196,0.9679516015301882,2.108765721321106,0.9739583333333334,0.5346947521221366
standard,0.9925782839525676,0.43100097181729835,0.9083689558835158,4.658118784427643,0.5572916666666666,0.49692450694185786
seq_new,0.8932250451200888,0.43816465361654866,0.9706438857855229,2.1909599602222443,0.95625,0.03586131577584023
standard,0.8418159100374843,0.4450506733305567,0.9238860886733158,4.603679120540619,0.61875,-0.10120593593786353
seq_new,0.8653061224489795,0.4570595585172845,0.9637213252892536,2.173077642917633,0.98125,0.402929187544099
