method,f,c,d,u_pehe,u_policy,u_int
standard,0.7717895321393864,0.5060252672497569,0.9152314530795144,4.223521858453751,0.6916666666666667,-0.2618732552770777
seq_new,0.7539913924753575,0.5233097320560878,0.955241124779002,1.8426881805062294,0.9625,-0.01452508540120839
standard,0.7424684159378037,0.5145078439539081,0.907284859110467,3.6363759338855743,0.646875,0.2647471562200486
seq_new,0.7858114674441206,0.4976537553797029,0.9637083260654977,2.2548178136348724,0.9583333333333334,-0.1959902557924445
standard,0.7759822296265444,0.5233930306816605,0.9224649520180883,4.258071273565292,0.6583333333333333,0.2071467592282851
seq_new,0.7371373039011522,0.5172844648063306,0.9708816148543105,2.4539979100227356,0.9395833333333333,0.00948309802478674
standard,0.7481188393724837,0.49591836734693884,0.9068787723035837,4.773675441741943,0.37395833333333334,0.025587836680704055
seq_new,0.7697903651256421,0.5103845619880606,0.9563220343450859,2.0686790347099304,0.9666666666666667,0.033386602336123374
standard,0.760197140080522,0.5221296681938081,0.9210898634445724,4.371173769235611,0.5270833333333333,-0.0728823143007889
seq_new,0.7268221574344024,0.5132028321532695,0.9601756301091703,2.376480832695961,0.9697916666666667,-0.0654477962810644
