method,f,c,d,u_pehe,u_policy,u_int
standard,0.732680827433014,0.5310287380258225,0.9254474611526688,3.956268161535263,0.6770833333333334,-0.24856988743310185
seq_new,0.7640288768568652,0.5059697348327086,0.9668318125209628,1.754455491900444,0.965625,0.3684136540942579
standard,0.7600305428293765,0.5249895876718035,0.9181762295417072,3.6867299675941467,0.65625,0.09455079798521038
seq_new,0.7698597806469527,0.524323198667222,0.9530613432513139,1.9222894757986069,0.9729166666666667,0.02328524951853107
standard,0.7677217825905872,0.52161599333611,0.9018386853789044,4.15770360827446,0.596875,0.017536231044525983
seq_new,0.798403443009857,0.513619325281133,0.9492407536551598,2.0141464173793793,0.9635416666666666,-0.17468918553816734
standard,0.7616270998195196,0.5291822851589616,0.9182814525782554,4.4941063821315765,0.60625,-0.37325532854242377
seq_new,0.7736776343190337,0.5184645286686103,0.9638698432425713,1.9870794415473938,0.9614583333333333,0.39748798684255293
standard,0.7762598917117868,0.49162848812994586,0.9068921521111458,4.565302282571793,0.5447916666666667,0.17828538062648255
seq_new,0.7494238511731224,0.522101901985284,0.9693234850692934,1.7300266325473785,0.9666666666666667,0.5603714978587956
