mu,n_cov,alpha_precision,f
1.0,20.0,0.0010999999999999899,0.15366666666666667
1.0,20.0,0.0001666666666666483,0.19343333333333346
1.0,20.0,3.333333333332966e-05,0.09516666666666673
1.0,20.0,3.333333333332966e-05,0.1452666666666666
1.0,20.0,0.00013333333333342967,0.11453333333333338
1.0,20.0,0.00029999999999996696,0.16566666666666663
1.0,20.0,0.0023999999999999577,0.12343333333333334
1.0,20.0,0.0020999999999999908,0.1791333333333333
1.0,20.0,0.008066666666666555,0.1270333333333334
1.0,20.0,0.001866666666666572,0.12919999999999998
2.0,20.0,0.0031333333333333213,0.00020000000000003348
2.0,20.0,0.0,0.010300000000000031
2.0,20.0,0.0,0.00016666666666670382
2.0,20.0,0.08820000000000006,3.333333333332966e-05
2.0,20.0,0.0001666666666666483,0.08520000000000011
2.0,20.0,0.06170000000000009,0.0
2.0,20.0,0.00426666666666653,0.0
2.0,20.0,0.0,0.1102333333333334
2.0,20.0,0.0,0.004466666666666619
2.0,20.0,3.333333333332966e-05,0.014166666666666716
3.0,20.0,0.0367666666666665,0.0
3.0,20.0,0.8137666666666666,0.0
3.0,20.0,0.6043333333333334,0.0
3.0,20.0,0.026999999999999802,0.0
3.0,20.0,0.8156666666666667,0.0
3.0,20.0,0.7825333333333333,0.0
3.0,20.0,0.03810000000000002,0.0
3.0,20.0,0.002566666666666606,0.0
3.0,20.0,0.00880000000000003,0.0
3.0,20.0,0.7066,0.0
4.0,20.0,0.6041666666666665,0.0
4.0,20.0,0.4084,0.0
4.0,20.0,0.4293666666666667,0.0
4.0,20.0,0.9237666666666666,0.0
4.0,20.0,0.9238,0.0
4.0,20.0,0.7876333333333334,0.0
4.0,20.0,0.7886,0.0
4.0,20.0,0.045533333333333315,0.0
4.0,20.0,0.06523333333333348,0.0
4.0,20.0,0.8103333333333333,0.0
5.0,20.0,0.5865,0.0
5.0,20.0,0.9005666666666667,0.0
5.0,20.0,0.9199333333333334,0.0
5.0,20.0,0.8483333333333334,0.0
5.0,20.0,0.8818666666666667,0.0
5.0,20.0,0.4569,0.0
5.0,20.0,0.9167310344827586,0.0
5.0,20.0,0.9857137931034483,0.0
5.0,20.0,0.9444954022988505,0.0
5.0,20.0,0.6035333333333333,0.0
