mu,covariates,alpha precision,kl divergence,wrong assignment
1.0,10.0,0.8793597701149426,0.9863691515792014,0.007000000000000006
1.0,20.0,0.7919,0.9821687396730273,0.0030000000000000027
1.0,30.0,0.8395310344827587,0.9758219427277612,0.0044999999999999485
1.0,40.0,0.7415333333333334,0.9080541876605591,0.009000000000000008
1.0,50.0,0.01963333333333328,0.07006463514075043,0.35050000000000003
2.0,10.0,0.8659333333333333,0.9732395219245853,0.0030000000000000027
2.0,20.0,0.8806666666666667,0.9701954251098663,0.005499999999999949
2.0,30.0,0.8415666666666667,0.976609363685888,0.007000000000000006
2.0,40.0,0.724,0.8649659930673802,0.010499999999999954
2.0,50.0,0.052000000000000046,0.15487545255172638,0.009000000000000008
3.0,10.0,0.7664,0.9817143094982037,0.0020000000000000018
3.0,20.0,0.7685333333333333,0.9778091037918073,0.010000000000000009
3.0,30.0,0.5620333333333333,0.9719398626685525,0.008499999999999952
3.0,40.0,0.4087666666666666,0.9317107524760525,0.007499999999999951
3.0,50.0,0.1497666666666666,0.0929570535244173,0.09999999999999998
4.0,10.0,0.6869666666666667,0.9823615031839776,0.0020000000000000018
4.0,20.0,0.5081,0.9694058758825591,0.0040000000000000036
4.0,30.0,0.3319,0.9639699670712796,0.009499999999999953
4.0,40.0,0.20373333333333343,0.7797424267092656,0.007499999999999951
4.0,50.0,0.036800000000000055,0.0906608470602109,0.11150000000000004
5.0,10.0,0.5135000000000001,0.9757633497551518,0.0024999999999999467
5.0,20.0,0.38006666666666666,0.976113088906009,0.008499999999999952
5.0,30.0,0.24850000000000005,0.9467790759821639,0.0044999999999999485
5.0,40.0,0.14356666666666662,0.9334466455015551,0.014499999999999957
5.0,50.0,0.07170000000000021,0.1202549158517028,0.005499999999999949
