method,f,d,u_pehe,u_policy,u_int
standard,0.2716089232178014,0.9194109579583888,3.3107512,0.4429530201342282,0.51245829365707
seq_new,0.27326771958041257,0.9322832486530099,2.1605976,0.8859060402684564,-0.07959733333634679
standard,0.24613271627963534,0.9014590223754239,2.9862177,0.6040268456375839,0.1384518791594794
seq_new,0.22958443806064344,0.8690263615333558,2.3078454,0.8926174496644296,0.03149773330062465
standard,0.19630153865252165,0.8824390200799652,3.098301,0.6375838926174496,-0.029507889593149754
seq_new,0.23395982036016905,0.8865280489775715,2.722437,0.8859060402684564,0.41098338064790707
standard,0.2206359757485027,0.8984087403886585,3.7836432,0.6845637583892618,0.21882530221661628
seq_new,0.24771873344166245,0.9055015877170719,2.4247801,0.8523489932885906,0.3843576642521881
standard,0.22902079782490836,0.9116855662764303,3.469113,0.6845637583892618,0.26669895481643385
seq_new,0.21199392067166178,0.8746639100008329,2.4512374,0.7651006711409396,0.3643770820698007
