method,f,d,u_pehe,u_policy,u_int
standard,0.20661102511033214,0.8317253161943435,2.8884182,0.7718120805369127,-0.2742210663949505
seq_new,0.27790181752858506,0.8886212460310913,2.2011569,0.9194630872483222,0.19521300247290033
standard,0.2069748869659036,0.8742953755387346,3.1876035,0.7718120805369127,0.37376477750781967
seq_new,0.24517722342884557,0.9016753680583524,1.7338237,0.8791946308724832,-0.1402275503964216
standard,0.1877047325604712,0.8035220861500529,3.69769,0.6912751677852349,0.11915704141152265
seq_new,0.23813346538298139,0.8968965555089932,2.0157964,0.9060402684563759,-0.17897148682219044
standard,0.21550609893427153,0.7392640246119409,4.2261915,0.610738255033557,-0.42044542525278356
seq_new,0.24647451039936524,0.8899549679159654,2.5428977,0.7583892617449665,0.3916643656043892
standard,0.2702178967523557,0.8491644607115929,2.9943724,0.7248322147651006,0.5674378133181792
seq_new,0.21098467150879194,0.8985150132765078,2.2071478,0.8389261744966443,0.5545837642536701
