method,f,d,u_pehe,u_policy,u_int
standard,0.2917034384474341,0.8226328547820355,4.4550233,0.3959731543624161,-0.23588181595451016
seq_new,0.2603993913303093,0.907461433468084,2.4204726,0.8791946308724832,0.023891457822656004
standard,0.1663313096440343,0.8861454225267491,4.0363603,0.5771812080536913,0.1983702571559388
seq_new,0.341023687140765,0.8947472054388292,2.345041,0.8523489932885906,0.28050386105506153
standard,0.1393690258108457,0.7703196377653433,5.6407723,0.2953020134228188,-0.2894219096591066
seq_new,0.30680912332994026,0.8978061072331337,2.518397,0.8590604026845637,0.23969321414454114
standard,0.17168347156378233,0.8760507108679227,3.786474,0.4966442953020134,-0.1320552582228942
seq_new,0.2700439659126927,0.9037072409816765,2.384292,0.8590604026845637,0.1972985176112142
standard,0.2509775177416669,0.8619946394518487,3.808976,0.2684563758389262,-0.16676637856515936
seq_new,0.25630793669392915,0.8943454460504396,2.6154704,0.87248322147651,0.16967800790597937
