,dataset,metric,result
0,tvae_ihdp_0.csv,marginal,0.899093774681316
1,tvae_ihdp_0.csv,delta_precision_alpha_OC,0.44900000000000007
2,tvae_ihdp_0.csv,delta_coverage_beta_OC,0.33333333333333337
3,tvae_ihdp_0.csv,authenticity_OC,0.6066666666666667
4,tvae_ihdp_0.csv,delta_precision_alpha_naive,0.6852222222222222
5,tvae_ihdp_0.csv,delta_coverage_beta_naive,0.37788888888888883
6,tvae_ihdp_0.csv,authenticity_naive,0.5916666666666667
7,ctgan_ihdp_4.csv,marginal,0.9448798749311504
8,ctgan_ihdp_4.csv,delta_precision_alpha_OC,0.39411111111111097
9,ctgan_ihdp_4.csv,delta_coverage_beta_OC,0.2573333333333334
10,ctgan_ihdp_4.csv,authenticity_OC,0.66
11,ctgan_ihdp_4.csv,delta_precision_alpha_naive,0.923095785440613
12,ctgan_ihdp_4.csv,delta_coverage_beta_naive,0.37555555555555553
13,ctgan_ihdp_4.csv,authenticity_naive,0.6116666666666667
14,ddpm_ihdp_1.csv,marginal,0.9131096977870259
15,ddpm_ihdp_1.csv,delta_precision_alpha_OC,0.5052222222222222
16,ddpm_ihdp_1.csv,delta_coverage_beta_OC,0.333111111111111
17,ddpm_ihdp_1.csv,authenticity_OC,0.5983333333333334
18,ddpm_ihdp_1.csv,delta_precision_alpha_naive,0.7636666666666667
19,ddpm_ihdp_1.csv,delta_coverage_beta_naive,0.36844444444444446
20,ddpm_ihdp_1.csv,authenticity_naive,0.5683333333333334
21,ctgan_ihdp_0.csv,marginal,0.9467767191082124
22,ctgan_ihdp_0.csv,delta_precision_alpha_OC,0.4536666666666668
23,ctgan_ihdp_0.csv,delta_coverage_beta_OC,0.2977777777777777
24,ctgan_ihdp_0.csv,authenticity_OC,0.6266666666666667
25,ctgan_ihdp_0.csv,delta_precision_alpha_naive,0.9287586206896552
26,ctgan_ihdp_0.csv,delta_coverage_beta_naive,0.4044444444444444
27,ctgan_ihdp_0.csv,authenticity_naive,0.5783333333333334
28,arf_ihdp_3.csv,marginal,0.9885218286082554
29,arf_ihdp_3.csv,delta_precision_alpha_OC,0.38011111111111107
30,arf_ihdp_3.csv,delta_coverage_beta_OC,0.24111111111111116
31,arf_ihdp_3.csv,authenticity_OC,0.6483333333333333
32,arf_ihdp_3.csv,delta_precision_alpha_naive,0.9018429118773946
33,arf_ihdp_3.csv,delta_coverage_beta_naive,0.3794444444444445
34,arf_ihdp_3.csv,authenticity_naive,0.585
35,ddpm_ihdp_2.csv,marginal,0.909155172708313
36,ddpm_ihdp_2.csv,delta_precision_alpha_OC,0.5261111111111111
37,ddpm_ihdp_2.csv,delta_coverage_beta_OC,0.321888888888889
