method,f,d,u_pehe,u_policy,u_int
standard,0.8013622738983363,0.9069961866453827,1.4948119,0.8611111111111112,0.4810530683281916
seq_new,0.8137154258335357,0.9002124802766056,2.7079506,0.9791666666666666,0.3114720326819916
standard,0.8076166797498775,0.8891471978510384,3.357557,0.625,-0.5893998329112433
seq_new,0.8216277950960844,0.8958087970020022,2.1462762,0.9375,0.11627679979833877
standard,0.8160990548398901,0.9696615264757574,6.382295,0.6319444444444444,0.9526104361056796
seq_new,0.83138634436029,0.9041401768978053,1.999953,0.8263888888888888,-0.9742248259108031
standard,0.7982049948006028,0.9493246904127147,4.672752,0.6041666666666666,-0.3753626400118793
seq_new,0.802796956592369,0.9026938053786774,3.9129877,0.6805555555555556,-0.14531821392272326
standard,0.847886394666173,0.8797584163261453,3.6964788,0.3333333333333333,0.945253540477261
seq_new,0.8551261745695509,0.8944692316983689,1.9088159,0.8125,-0.22430171719200453
