method,f,d,u_pehe,u_policy,u_int
standard,0.8714243097401076,0.843862799937475,9.182941,0.2152777777777778,-0.8559472260162827
seq_new,0.9246903490792757,0.9047899097449905,3.3245876,0.7361111111111112,0.980700673450715
standard,0.9093301653272376,0.8587064629754857,3.3969028,0.7708333333333334,0.8878432853950694
seq_new,0.9328372869102439,0.894844672958644,2.7008252,0.7916666666666666,0.8166408354174741
standard,0.8875628887527883,0.8817338582712992,6.2725525,0.5694444444444444,-0.45016454670623884
seq_new,0.9307706589531879,0.9397538357659502,2.6809018,0.8125,0.9424959626458236
standard,0.9229354030430915,0.8498427132843704,7.358294,0.4236111111111111,-0.8328973692407121
seq_new,0.9032918753036888,0.8478695801027991,3.0485973,0.7708333333333334,0.9570917957103682
standard,0.8936820764412365,0.8816369032092142,3.40252,0.8333333333333334,0.25299687880408434
seq_new,0.8788543352737992,0.9046972355078354,3.2775438,0.7430555555555556,0.9818908210686152
