method,f,d,u_pehe,u_policy,u_int
standard,0.7185208335759338,0.8547463129294665,7.733797,0.9513888888888888,0.7361020392672372
seq_new,0.7405071801424525,0.8566925327724848,1.7920183,0.8888888888888888,0.4569370764022722
standard,0.8678134543147662,0.8274546652183374,5.7167287,0.7361111111111112,0.29446099196299896
seq_new,0.8399223527837709,0.8819425901463219,2.8077786,0.9236111111111112,0.759742779447198
standard,0.7467736224877539,0.8386502697400992,3.8949807,0.0625,0.9049316443098553
seq_new,0.7097711517123355,0.9052362759696645,1.8478751,0.9652777777777778,0.26009459725598383
standard,0.844842202100178,0.8672653844590897,5.370221,0.3888888888888889,0.5914608284619699
seq_new,0.7740800651234631,0.9043575752342259,1.3776677,0.9722222222222222,-0.10646407214597664
standard,0.8695469038259989,0.9043945712264012,6.062275,0.7777777777777778,0.7208525328290221
seq_new,0.7623806302058161,0.8834078002048485,1.7983017,0.9097222222222222,0.17120591774263405
