method,f,c,d,u_pehe,u_policy,u_int
standard,0.8668513388734995,0.2999076638965835,0.8540971521897356,6.4483366,0.1875,-0.7177336394794104
seq_new,0.9009233610341644,0.29270544783010166,0.8463352085494527,3.2787256,0.8402777777777778,0.6521130118760745
standard,0.9097143948801223,0.2598337950138505,0.90228444807015,5.2868824,0.9166666666666666,-0.2661247273928199
seq_new,0.8078485687903971,0.28411819021237317,0.8994445916965393,2.5684693,0.8402777777777778,-0.7639622910198498
standard,0.9088642659279779,0.2929824561403508,0.8089222212991518,3.3541794,0.7430555555555556,0.6155271617745961
seq_new,0.827331486611265,0.2678670360110804,0.9039500637200968,4.1415935,0.9722222222222222,0.9944256816125109
standard,0.9190212373037858,0.27248384118190216,0.8868813772797302,4.9849234,0.7013888888888888,-0.9020468105429952
seq_new,0.935180055401662,0.29381348107109895,0.9062402557203436,3.1929126,0.9305555555555556,-0.7941409759374397
standard,0.8422899353647276,0.29095106186518926,0.8077834740234302,2.2850773,0.125,0.9678709183716551
seq_new,0.8603878116343491,0.30193905817174527,0.8829066681829887,2.7059453,0.9305555555555556,0.8897422579958975
standard,0.9558283185277168,0.2549399815327792,0.8789809317364896,4.479458,0.1527777777777778,0.8204369685882863
seq_new,0.944690674053555,0.33601108033241,0.8250521886048852,2.325835,0.9791666666666666,-0.730605236516515
standard,0.9167128347183748,0.2867959372114497,0.9311831096822597,2.234206,0.22916666666666666,-0.37517637424968503
seq_new,0.8577100646352724,0.27257617728531847,0.9005267604805753,1.9542333,0.9305555555555556,0.9913931967638883
standard,0.8634349030470915,0.26140350877192975,0.8480325701527909,4.7427015,0.22916666666666666,0.27905318455751105
seq_new,0.8808864265927978,0.2776546629732225,0.8857051118912345,2.915694,0.9027777777777778,0.9206983974727109
standard,0.8686057248384118,0.28541089566020306,0.9004779024172598,4.075841,0.7638888888888888,-0.989539998569785
seq_new,0.8903970452446907,0.29307479224376753,0.8626738010061152,1.4579991,0.9166666666666666,0.937659235796276
standard,0.9303785780240074,0.25281625115420125,0.8820405485486873,4.009785,0.7916666666666666,0.9780185544125529
seq_new,0.8910433979686058,0.30683287165281614,0.8682955405166053,5.23557,0.9861111111111112,-0.8055350685000987
