method,f,d,u_pehe,u_policy,u_int,n_t
standard,0.28488111498354207,0.914862561012241,4.0127797,0.51,-0.10372227420887667,0
seq_new,0.3292393651449424,0.8841557931606454,1.634404,0.575,-0.2183564897177619,0
standard,0.22950861464299732,0.9193218578737403,4.436083,0.525,0.0827924175589211,0
seq_new,0.3216578664897787,0.8867664557693132,1.6029552,0.655,0.17356385052828677,0
standard,0.2558626285829866,0.9274225461594768,3.604957,0.47,-0.07528508321027218,0
seq_new,0.3483910118068647,0.8830445305101277,1.5443665,0.595,0.003264718681184081,0
standard,0.1685531926618144,0.8297472498086245,5.204867,0.675,0.525779443156577,1
seq_new,0.3850814904656021,0.921199141676702,1.8464885,0.625,0.7095129281782354,1
standard,0.14756772202407137,0.8137569382055951,8.250641,0.715,0.030114115580701664,1
seq_new,0.3895535139834807,0.9202205384148383,1.5279794,0.67,0.831525584904208,1
standard,0.1551366648662613,0.860788213843702,5.8214,0.635,0.354240221668376,1
seq_new,0.27938563373703,0.9217780378937269,1.7455449,0.6,0.6805763608766954,1
standard,0.2058863033480704,0.8023442525033879,5.103952,0.595,-0.29800380981514485,2
seq_new,0.45176002732411835,0.8879022402274128,1.9155122,0.87,0.8448790424006904,2
standard,0.2204714380384361,0.8839112539520702,3.776454,0.685,0.057941174939921694,2
seq_new,0.3696600932523262,0.901507894857249,1.4672713,0.805,0.8507293776989365,2
standard,0.19036754546891216,0.8376977633167696,6.3498125,0.495,0.5247760574734649,2
seq_new,0.41744082691550194,0.9053797694032237,1.420659,0.855,0.7432982701464051,2
standard,0.12350030479023064,0.8411604010725893,6.6836476,0.675,0.091535052984827,3
seq_new,0.3193508139817419,0.9095180013003379,1.8128343,0.89,0.8707991823980716,3
standard,0.13174815722650787,0.7841376246872933,7.2549314,0.89,0.18409167011615277,3
seq_new,0.3772738596243469,0.9075201364009483,2.0108578,0.88,0.7935977109486453,3
standard,0.1272987209879266,0.754364938990409,7.3113117,0.915,0.39153096143709143,3
seq_new,0.37817091034791267,0.914196363287664,1.9162016,0.875,0.8348527758234926,3
standard,0.17094828390819225,0.8597118001683323,6.443475,0.895,0.44066068755889065,4
seq_new,0.36059832457512664,0.9156201732738501,1.614859,0.955,0.8851170576079948,4
standard,0.17803298076493965,0.8053576080764864,7.4524345,0.97,0.5068511089447376,4
seq_new,0.33153435614362636,0.9228038771439836,1.878814,0.925,0.879615821614283,4
standard,0.22826702855578876,0.8225288898316669,5.1946363,0.875,0.18097175433218882,4
seq_new,0.3309116532271784,0.9112780779550526,1.5177106,0.935,0.9094786137191866,4
standard,0.12279180407419513,0.7450548348497654,10.919701,0.98,0.3941152272960802,5
seq_new,0.34759126547225827,0.8733728516631527,2.1990495,0.97,0.9341364837711377,5
standard,0.12148911059379974,0.7690244485856099,8.223712,0.975,0.5526909095573909,5
seq_new,0.34513016343719116,0.8992944661876663,1.8806618,0.9,0.9116511251108504,5
standard,0.1592305312008222,0.8233167327529108,6.827244,0.885,0.14639243441776723,5
seq_new,0.3289436674261239,0.8814771923037289,2.188207,0.97,0.9039417506568925,5
