type,gen,alpha precision,beta recall,kl,f,d,u_pehe,u_policy,u_int
standard,ctgan,0.6290941543953592,0.3435966086568496,0.9334892962178698,0.26933811985588,0.13739175098591094,2.4736307,0.8456375838926175,-0.061002039613367205
sequential,ctgan,0.702454261490406,0.4179384203480587,0.9031716160520363,0.23214901712111607,0.06466909572290092,3.5921543,0.697986577181208,-0.21541445344002438
standard,ctgan,0.6061579651941098,0.3863453815261043,0.9319998567411895,0.3061560525582798,0.1886710945196385,3.2651665,0.6711409395973155,-0.04060642053573511
sequential,ctgan,0.6891566265060242,0.3809906291834003,0.9035320787721238,0.3000772372796774,0.08023601267143587,2.3925345,0.8791946308724832,0.14653325857660882
standard,ctgan,0.6704149933065595,0.4059794734493529,0.942954876270101,0.1769914453134174,0.1120176329317902,2.8432682,0.8523489932885906,0.35348163050974085
sequential,ctgan,0.6791610887996429,0.44301651048639,0.9230740058367439,0.26750566617647453,0.10169295590617645,2.0561638,0.8389261744966443,0.06901707005751033
standard,ctgan,0.6419455600178492,0.4327532351628738,0.9604764427956968,0.24786428299500102,0.15550127140659828,2.304531,0.825503355704698,0.18259349963782806
sequential,ctgan,0.692458723784025,0.4103525211958947,0.9257217224403166,0.21373887143231202,0.07707995518125851,2.58575,0.8322147651006712,0.15729454005556082
standard,ctgan,0.7105756358768407,0.4302543507362785,0.9572128170703899,0.2713037022037731,0.16037838349997757,3.2133012,0.7046979865771812,0.34086780765211777
sequential,ctgan,0.7431503792949576,0.40178491744756806,0.9048750567817909,0.2934294751491022,0.09115916970478595,2.3961573,0.87248322147651,0.2707054839102795
standard,ctgan,0.7060240963855422,0.4646140116019635,0.9472601914116895,0.25608384774714765,0.13210681297734994,2.5724676,0.7718120805369127,-0.1746614168019532
sequential,ctgan,0.7444890673806337,0.4268630075858991,0.9225784500110814,0.2271491957551985,0.10264180393541417,2.4705307,0.785234899328859,0.028043534046786348
standard,ctgan,0.6500669344042839,0.4364123159303882,0.9547584941205409,0.27502426687071324,0.12584786880245113,3.2695076,0.8120805369127517,0.15509413394679047
sequential,ctgan,0.7203034359660865,0.38438197233377946,0.9092348364781117,0.2570806167638492,0.10893374471865448,2.9996321,0.9060402684563759,0.5872171165187966
standard,ctgan,0.6995091477019189,0.41561802766622036,0.9796799741082124,0.30026679382603694,0.14814332285400728,2.827136,0.8053691275167785,0.326769924111347
sequential,ctgan,0.7828647925033467,0.41936635430611335,0.9151467263076367,0.31144876989091597,0.06732737334287751,2.5583694,0.912751677852349,0.4677246346824146
standard,ctgan,0.6988844265952701,0.4136546184738956,0.9624833956256262,0.18066951040027546,0.10887202876101557,2.7735107,0.8120805369127517,0.09399267817023393
sequential,ctgan,0.7468987059348504,0.4428380187416333,0.9116652650173312,0.302545062661914,0.10623680553252678,2.6758325,0.8523489932885906,0.08374185869686233
standard,ctgan,0.6953145917001339,0.4182061579651941,0.9585374113706101,0.2438139900433294,0.1355481711170184,2.802016,0.7315436241610739,-0.0013972236664240942
sequential,ctgan,0.7019187862561358,0.4190986166889782,0.914319927357539,0.28168947773508096,0.09419981077419944,2.644161,0.8120805369127517,-0.06062358002997477
standard,tvae,0.7959839357429719,0.4275769745649264,0.894902603977061,0.19237109255736384,0.11137878922142216,3.3784273,0.7046979865771812,-0.05820642690240239
sequential,tvae,0.8514056224899599,0.404640785363677,0.8205823940585595,0.29843345753554085,0.17870551482088862,2.311922,0.8859060402684564,0.27068009266620363
standard,tvae,0.7959839357429719,0.4275769745649264,0.894902603977061,0.19237109255736384,0.11137878922142216,3.3784273,0.7046979865771812,-0.05820642690240239
sequential,tvae,0.8514056224899599,0.404640785363677,0.8205823940585595,0.29843345753554085,0.17870551482088862,2.311922,0.8859060402684564,0.27068009266620363
standard,tvae,0.7959839357429719,0.4275769745649264,0.894902603977061,0.19237109255736384,0.11137878922142216,3.3784273,0.7046979865771812,-0.05820642690240239
sequential,tvae,0.8514056224899599,0.404640785363677,0.8205823940585595,0.29843345753554085,0.17870551482088862,2.311922,0.8859060402684564,0.27068009266620363
standard,tvae,0.7959839357429719,0.4275769745649264,0.894902603977061,0.19237109255736384,0.11137878922142216,3.3784273,0.7046979865771812,-0.05820642690240239
sequential,tvae,0.8514056224899599,0.404640785363677,0.8205823940585595,0.29843345753554085,0.17870551482088862,2.311922,0.8859060402684564,0.27068009266620363
standard,tvae,0.7959839357429719,0.4275769745649264,0.894902603977061,0.19237109255736384,0.11137878922142216,3.3784273,0.7046979865771812,-0.05820642690240239
