method,epsilon,f,c,d,avg_u_pehe
standard,2,0.5020666666666668,0.4562666666666666,0.06362281757650479,5.6242154240608215
sequential,2,0.7398,0.4297333333333333,0.5669320611514627,3.526558041572571
standard,2,0.8104666666666667,0.4179999999999999,0.6867869388279104,3.938272178173065
sequential,2,0.5224000000000001,0.34453333333333336,0.5230342623012962,3.815915882587433
standard,2,0.8874,0.4576,0.36839516708554143,7.0656110644340515
sequential,2,0.6448,0.3172666666666668,0.5402809851121344,3.8074121475219727
standard,2,0.49226666666666663,0.3057333333333333,0.7923011843341339,4.834876179695129
sequential,2,0.7644,0.3843333333333334,0.5517462670597126,3.833198070526123
standard,3,0.9414551724137932,0.3954666666666665,0.5355079010978981,6.399913430213928
sequential,3,0.738735632183908,0.46640000000000004,0.7536584747005347,3.5279919505119324
standard,3,0.965367816091954,0.48506666666666665,0.7512753343016414,4.489467978477478
sequential,3,0.9303333333333333,0.4504,0.6856413991639196,3.7726550102233887
standard,3,0.5700000000000001,0.4190666666666668,0.048679104854526756,4.548553049564362
sequential,3,0.7103999999999999,0.42446666666666666,0.6691660249550297,3.5212461948394775
standard,3,0.7832,0.3436666666666667,0.6693222997973594,4.375668942928314
sequential,3,0.7970666666666667,0.47506666666666664,0.6996574217189593,3.6887924671173096
standard,4,0.6746666666666667,0.3196,0.6691023759680941,3.7861595153808594
sequential,4,0.5508,0.4983333333333334,0.7725912575625428,2.585273653268814
standard,4,0.5556666666666666,0.40026666666666666,0.7693118274019273,5.63768458366394
sequential,4,0.7098022988505748,0.5068666666666666,0.7437813210198496,2.678179144859314
standard,4,0.8832666666666666,0.32833333333333325,0.31094547328266486,4.41910856962204
sequential,4,0.9031333333333333,0.44733333333333325,0.8139781397761535,2.905789762735367
standard,4,0.7524000000000001,0.37973333333333337,0.10812281901988319,4.751624047756195
sequential,4,0.8743333333333333,0.40193333333333336,0.6963538210515321,3.015877217054367
