,dataset,pehe
0,nflow_acic_0.csv,5.3281374
1,arf_acic_3.csv,5.947232
2,nflow_acic_4.csv,5.4992185
3,ctgan_acic_2.csv,6.2993946
4,tvae_acic_0.csv,5.8257837
5,ddpm_acic_0.csv,14.465256
6,arf_acic_1.csv,5.700826
7,arf_acic_2.csv,5.69232
8,nflow_acic_2.csv,5.486164
9,tvae_acic_2.csv,5.540481
10,ctgan_acic_4.csv,5.734583
11,ddpm_acic_2.csv,12.459739
12,ctgan_acic_1.csv,5.4439273
13,arf_acic_0.csv,5.2103977
14,arf_acic_4.csv,5.818433
15,ctgan_acic_3.csv,5.8798456
16,tvae_acic_1.csv,5.362241
17,ctgan_acic_0.csv,6.020234
18,ddpm_acic_1.csv,9.98494
19,ddpm_acic_3.csv,12.768282
20,tvae_acic_3.csv,5.8155947
21,tvae_acic_4.csv,5.6115565
22,ddpm_acic_4.csv,10.941139
23,nflow_acic_1.csv,5.731307
24,nflow_acic_3.csv,5.758297
