method,f,c,d,u_pehe,u_policy,u_int,n_t
standard,0.48706666666666665,0.361,0.9012527756546801,2.445995718240738,0.555,-0.10952482154893875,0
seq_new,0.7114,0.38693333333333335,0.8808291765596208,1.3404501527547836,0.505,0.307978353597391,0
standard,0.4784666666666666,0.3722,0.9081609606314232,2.4208052158355713,0.505,-0.538708103727975,0
seq_new,0.7307333333333332,0.42213333333333325,0.9087882967091856,1.2401404902338982,0.52,0.27298103687820263,0
standard,0.4838,0.3318000000000001,0.8478932474895681,2.670987531542778,0.55,0.3060898915904333,0
seq_new,0.7256,0.40866666666666673,0.8950782223505959,1.227184809744358,0.56,0.6071830812726483,0
standard,0.4648000000000001,0.37139999999999995,0.8644763466009031,2.6114656776189804,0.415,-0.07838248088021525,0
seq_new,0.7014,0.42300000000000004,0.864068890156725,1.3648575618863106,0.54,0.8086755472708305,0
standard,0.4768,0.3658000000000001,0.8544588612520408,2.1068306118249893,0.545,-0.09331635112184228,0
seq_new,0.7104,0.38493333333333335,0.8858995622993147,1.2889260649681091,0.58,0.530395272688533,0
standard,0.4631333333333334,0.34826666666666684,0.9073509041449178,2.2769589126110077,0.585,0.7825516584176732,0
seq_new,0.7164666666666666,0.3733333333333333,0.8795478243068049,1.2879608944058418,0.505,0.049917061669228976,0
standard,0.4786,0.3584666666666667,0.8892297971105158,2.3098772168159485,0.49,0.17035856865339535,0
seq_new,0.7091333333333333,0.3943333333333333,0.8888768840427753,1.2819843292236328,0.48,0.5743597351459714,0
standard,0.47506666666666675,0.36419999999999997,0.8669822081956495,2.4370155185461044,0.52,-0.4187425842147354,0
seq_new,0.7026,0.40113333333333334,0.8603095369520262,1.2625688910484314,0.45,0.00880901058408716,0
standard,0.5092000000000001,0.35640000000000016,0.8893536429130823,2.0686437487602234,0.56,-0.3741468695356831,0
seq_new,0.6958666666666666,0.40446666666666664,0.8822888279949084,1.3161434531211853,0.44,0.6361150089063848,0
standard,0.4842666666666666,0.3671333333333332,0.8776255195728431,2.1590258330106735,0.55,0.08486353157537503,0
seq_new,0.7177333333333333,0.4094,0.8664601265617673,1.294443279504776,0.52,0.6383868719590187,0
standard,0.37826666666666664,0.27979999999999994,0.86621706931531,2.6324356496334076,0.725,-0.0019544799750852784,1
seq_new,0.6766666666666667,0.4045333333333333,0.9253685164445009,1.3790130764245987,0.6,0.6406899284671317,1
standard,0.37706666666666677,0.31500000000000006,0.8704144136815969,2.361772298812866,0.475,0.27819158765906665,1
seq_new,0.6875333333333333,0.37593333333333345,0.9278584313665434,1.3411482870578766,0.695,0.39601771466149677,1
standard,0.3285999999999999,0.2776666666666666,0.8309740301828594,3.0835107266902924,0.675,0.2734292772466779,1
seq_new,0.6768000000000001,0.41526666666666656,0.9213763314042167,1.3656051456928253,0.71,0.42954520561052306,1
standard,0.34919999999999995,0.27880000000000016,0.7995645931644675,3.6620898842811584,0.775,0.4034867684924006,1
seq_new,0.6846666666666666,0.4204,0.9308553042560352,1.296579122543335,0.67,0.7466913561952737,1
standard,0.4048666666666666,0.31866666666666676,0.8139626836314741,2.8325102627277374,0.72,0.07633459590611213,1
seq_new,0.6857333333333333,0.4247333333333334,0.9220761980851487,1.305661141872406,0.715,0.5501097069728189,1
standard,0.39293333333333336,0.3090666666666667,0.818726335690132,2.9742173552513123,0.765,0.6316232371541359,1
seq_new,0.6822666666666668,0.3963333333333333,0.918201577917638,1.2639225274324417,0.695,0.7274620873798843,1
standard,0.36386666666666656,0.3103999999999999,0.7797010325451196,3.7101018130779266,0.715,0.556799506673882,1
seq_new,0.6702,0.41566666666666663,0.9287362160308583,1.420525386929512,0.685,0.4088298800715475,1
standard,0.3518000000000001,0.2890666666666668,0.8977294759672705,2.5251351594924927,0.435,0.24750852288400893,1
seq_new,0.6790666666666667,0.40713333333333324,0.9044850599421392,1.3418951034545898,0.675,0.5159234102132456,1
standard,0.34206666666666663,0.2841999999999999,0.8132613767738767,2.7782799899578094,0.735,0.5800328558223722,1
seq_new,0.6796,0.43779999999999997,0.9242965873774376,1.3828303068876266,0.62,0.4190880602496052,1
standard,0.3744666666666667,0.3007333333333333,0.8266840546067175,2.5304642021656036,0.685,-0.0790725205206821,1
seq_new,0.6542,0.387,0.9288567907839054,1.3216813653707504,0.695,0.6809681086097964,1
standard,0.3584666666666668,0.3141333333333335,0.7879682599620444,3.3586403131484985,0.48,0.0014420245038059797,2
seq_new,0.6211333333333333,0.4038666666666667,0.8926930439847189,1.5886492729187012,0.855,0.7933639485895516,2
standard,0.35919999999999996,0.3311333333333334,0.7880132512086634,3.5672837495803833,0.38,0.21613872749905533,2
seq_new,0.6273333333333333,0.40993333333333326,0.9164882441531534,1.5678730756044388,0.79,0.7548702924819494,2
standard,0.34053333333333347,0.3055333333333332,0.855544491639143,3.1290283203125,0.845,0.4076519479570767,2
seq_new,0.6306666666666667,0.39126666666666665,0.8801519161599484,1.595252901315689,0.87,0.805732539006066,2
