method,f,c,d,u_pehe,u_policy,u_int,n_t
standard,0.4712666666666666,0.3486,0.8770063946025399,4.2696223,0.605,-0.16753243887951982,0
seq_new,0.7140666666666666,0.4004,0.8734123691825163,1.2689333,0.455,0.2036261507932012,0
standard,0.4786666666666667,0.38046666666666673,0.8850739483408607,3.6933608,0.45,0.3026682268834884,0
seq_new,0.7195333333333334,0.4182,0.8826502627112269,1.3049643,0.49,-0.10760992165149236,0
standard,0.45119999999999993,0.3192666666666668,0.8754830716857491,3.725332,0.505,0.25238619455893585,0
seq_new,0.6974666666666667,0.3694666666666666,0.8872489459287681,1.3524247,0.485,0.5646488701945688,0
standard,0.47186666666666666,0.3463333333333334,0.9027077708291947,4.5959177,0.605,-0.23057341204860282,0
seq_new,0.7144,0.4058666666666667,0.8877108493863864,1.6398137,0.515,0.37429803629122926,0
standard,0.4734666666666666,0.34760000000000013,0.8795995631365229,4.0152917,0.37,0.17931944559740393,0
seq_new,0.7065999999999999,0.41200000000000003,0.8880277226241251,1.3835832,0.485,0.40095493330213866,0
standard,0.4689333333333334,0.34973333333333323,0.9016541113705724,3.3542216,0.43,0.27731685923463484,0
seq_new,0.7112666666666667,0.4206000000000001,0.8755223552422232,1.2117662,0.44,-0.13149948449659665,0
standard,0.47186666666666666,0.3329333333333334,0.877298787707379,4.068728,0.525,0.06684619131420658,0
seq_new,0.7160666666666666,0.3853333333333333,0.8683458076984426,1.3820204,0.48,0.25306280412142934,0
standard,0.41966666666666663,0.3336,0.8849185271795683,5.2828574,0.51,0.3323711454336345,0
seq_new,0.7033333333333334,0.41093333333333326,0.856000078334807,1.2961978,0.5,-0.12107686450646825,0
standard,0.4574666666666667,0.3506666666666668,0.8740687002103105,4.54312,0.375,0.35677927627038125,0
seq_new,0.7160666666666666,0.40113333333333334,0.9076798771127099,1.4031001,0.465,0.12387738931132045,0
standard,0.47953333333333326,0.3571333333333334,0.8762293597661102,3.5762947,0.52,0.3092563493554239,0
seq_new,0.6959333333333333,0.4096666666666666,0.9025026315975425,1.3727826,0.505,0.5776161504263494,0
standard,0.3824000000000001,0.2928666666666667,0.8401059886187426,7.194311,0.69,0.5951147133204379,1
seq_new,0.6768,0.41046666666666665,0.9121902293179251,1.9083015,0.525,0.6354892490384811,1
standard,0.40446666666666664,0.32606666666666684,0.8741087243211121,5.85004,0.755,0.42742147206115283,1
