method,f,c,d,u_pehe,u_policy,u_int
standard,0.9449740768932485,0.39673747049840347,0.9345525502451438,5.1355321407318115,0.5,-0.007565945906509471
seq_new,0.9490973588590961,0.39651534083020956,0.9744408867942407,2.2275070250034332,0.9458333333333333,0.46097245701454775
standard,0.9407952625103525,0.3814521727058171,0.932253316108104,4.831240475177765,0.325,0.1810835062151351
seq_new,0.9469780311843246,0.3896709704289879,0.9642685867465517,2.7101117968559265,0.9520833333333333,0.34643455187257716
standard,0.9393375365628306,0.3907399694571706,0.9397559110934816,4.568307608366013,0.5447916666666667,-0.03205009020872847
seq_new,0.9462235562768386,0.3767596834652227,0.9651107811960216,2.016517072916031,0.96875,0.015731365238985714
standard,0.9460569590256933,0.4040538664445369,0.9289108056580044,4.751561939716339,0.465625,0.30886616337816974
seq_new,0.9356795779536304,0.3906844370401221,0.9707274075107595,2.167309194803238,0.9760416666666667,-0.7635345305392551
standard,0.9300961764015951,0.4019297514924337,0.941003449062225,5.686343252658844,0.49375,-0.32149665869812644
seq_new,0.9406841976762556,0.3899625156184924,0.9624523953958578,2.4653628170490265,0.9333333333333333,-0.264913647453298
standard,0.9268752962127849,0.3868943495765653,0.9378681176911126,4.782469868659973,0.3885416666666667,-0.12143616212143739
seq_new,0.9188254893794252,0.3905178397889769,0.9613690751895563,2.066835343837738,0.965625,0.27614311553216514
standard,0.940302651672914,0.38793558239622383,0.938105892923318,4.758028119802475,0.5,-0.02718115764089021
seq_new,0.9296332466836137,0.40695543523531863,0.9664555064141251,2.103327840566635,0.9697916666666667,-0.151787626379101
standard,0.9424152771594211,0.3988060530334584,0.9328728349614646,4.467832237482071,0.46875,0.44514098005520064
seq_new,0.938439922063125,0.39343329168402064,0.9631840597855931,2.050873100757599,0.915625,0.0675136747529886
standard,0.9341730217773245,0.3940857975843399,0.939586709186792,4.855854094028473,0.47708333333333336,0.16231800670290278
seq_new,0.940302651672914,0.4036373733166736,0.9708378711563975,1.5086293071508408,0.9833333333333333,0.5002234999573151
standard,0.9316281051477593,0.4013466611134251,0.932625788837822,4.942507803440094,0.51875,-0.35828809681169177
seq_new,0.9240177703734554,0.39275301957517705,0.9680119909408893,2.1968516409397125,0.9677083333333333,-0.3708703729453273
standard,0.9296610128921379,0.40034707760655275,0.9262773180340821,5.228925406932831,0.440625,-0.1736125715517585
seq_new,0.9538176143082144,0.39568235457448286,0.9679836709844087,1.6102325320243835,0.9791666666666666,0.039824964120346695
standard,0.9271342879164333,0.3992225461613217,0.9334513285266904,4.295999705791473,0.5020833333333333,0.0813236270045017
seq_new,0.9277245592114396,0.40016659725114523,0.9727640247836308,2.048986777663231,0.9364583333333333,0.20943473169909652
standard,0.9267594441013562,0.41152297653755376,0.9284706241187793,4.709336876869202,0.46979166666666666,0.05501040259695896
seq_new,0.9380928444565722,0.38788004997917536,0.9754603611457785,2.459975004196167,0.9833333333333333,-0.4684501794310212
standard,0.9309846950743703,0.38475635152020005,0.944240688555975,4.40453565120697,0.4708333333333333,0.31599607693002363
seq_new,0.9481973507207246,0.39868110509509935,0.9670226398511949,2.58894807100296,0.7895833333333333,0.34306630414769274
standard,0.9364431486880467,0.4047202554491184,0.9416345304552929,4.510338991880417,0.5552083333333333,-0.07067896447096202
seq_new,0.9315931580232375,0.3847980008329862,0.9714773878775705,1.9668937027454376,0.959375,-0.037215208030874365
standard,0.9353813305758616,0.39087880049979173,0.9323706685807397,5.213030636310577,0.4979166666666667,0.6736518884464083
seq_new,0.9525729222019561,0.37781479938914353,0.9739144940227492,2.1091488003730774,0.946875,0.36893417248705096
standard,0.9318823095740759,0.39130917673191723,0.915036016633955,4.0976287722587585,0.4354166666666667,0.13572054570210423
seq_new,0.9274746633347216,0.3913369429404415,0.9693148991810213,2.7110971808433533,0.9791666666666666,0.2452983870599185
standard,0.949181136212402,0.3937526030820492,0.9265034725223484,4.34285694360733,0.4041666666666667,-0.3775460175154631
seq_new,0.9439376313509218,0.38425655976676387,0.9654390429933052,2.405141830444336,0.953125,0.06650752817676538
standard,0.9395180169182381,0.4022074135776761,0.9340373463087197,4.460134863853455,0.425,0.057582564014153216
seq_new,0.9413228204723127,0.39927807857837017,0.9709980242586393,2.2658558189868927,0.9614583333333333,0.2537045019288691
standard,0.9277776979898222,0.3968763015410246,0.940377931388567,4.8010483384132385,0.5291666666666667,-0.5535123619420597
seq_new,0.9357973449759918,0.402207413577676,0.970720595740963,1.8461935818195343,0.94375,-0.3151528684216856
