method,f,c,d,u_pehe,u_policy,u_int
standard,0.302457309454394,2.7766208524182545e-05,0.8495423099242134,10.059625506401062,0.284375,0.1286902519641055
seq_new,0.1977925864223239,0.0017631542412883,0.963522937570194,4.514094978570938,0.7020833333333333,0.3427991147017894
standard,0.3621130084686935,0.000499791753436,0.8182357692699587,11.17281460762024,0.15,-0.4580709288602568
seq_new,0.3095376926280716,0.0007635707344161,0.9303560825028464,5.137454092502594,0.5677083333333334,0.0654745185345668
standard,0.501582673885881,0.0014993752603083,0.8059840414542662,13.223625600337982,0.4958333333333333,-0.0433559091867658
seq_new,0.3509093433291685,0.0001388310426211,0.9764827204740844,5.721179783344269,0.5927083333333333,-0.4356939335665911
standard,0.2973205608774124,0.0004997917534359,0.8015307436119873,7.604206800460815,0.4916666666666666,0.1890979861521038
seq_new,0.3818131334166318,0.0015410245730945,0.9764252597371212,5.697022378444672,0.3989583333333333,-0.2681141063165369
standard,0.1712758572816882,0.0013744273219491,0.8310426520609739,11.974551916122437,0.1583333333333333,-0.3584819480616018
seq_new,0.2341107871720116,0.0017076218242398,0.8686026112106133,5.241723835468292,0.821875,-0.5973529393449631
standard,0.2869498819936137,0.0013466611134249,0.7987844891393033,13.904716312885284,0.14375,-0.3003331727362174
seq_new,0.2776204359294739,0.0006247396917949,0.9735398443013256,5.362803339958191,0.615625,0.1749092796313517
standard,0.0838817159516868,0.0008191031514647,0.3826635965527829,8.506798326969147,0.584375,0.1681015246639157
seq_new,0.3681938081354992,0.0010412328196586,0.9794035530659118,8.202105402946472,0.3083333333333333,-0.1385636760043486
standard,0.3521727058170205,0.000999583506872,0.8046673400912878,9.576930463314056,0.4635416666666667,0.1620667324463008
seq_new,0.3100652505900318,0.0013605442176871,0.8998592627261557,4.891816556453705,0.771875,0.2582153030274164
standard,0.1533805358878245,0.001485492156046,0.8000019614841015,8.723419964313507,0.2854166666666666,-0.2223483547900225
seq_new,0.3294182979314173,0.0005969734832708,0.8745609015747927,8.348170757293701,0.246875,0.5642373438243263
standard,0.1813688740802442,0.0017492711370262,0.8144098971530197,5.656677544116974,0.4489583333333333,0.1068686761064887
seq_new,0.2558656115507427,0.0003748438150771,0.9136486795832384,4.5098932683467865,0.7010416666666667,-0.1631574869294955
standard,0.303915035401916,0.0016243231986671,0.8069142396467575,8.857951164245605,0.7666666666666667,-0.3965449604931926
seq_new,0.2164514785506039,0.0009024017770371,0.9790665686608966,8.846258044242859,0.6614583333333334,-0.4370969148580398
standard,0.187963348604748,0.000735804525892,0.816257028671634,10.356969833374023,0.3760416666666666,-0.026908066992067
seq_new,0.3098292378175761,0.0007913369429405,0.9772038536107102,5.640170991420746,0.7552083333333334,-0.1219606760517684
standard,0.1773288907399693,0.0014438428432598,0.8543807113260551,9.61774617433548,0.6604166666666667,-0.6489315449224681
seq_new,0.2044009440510896,0.0005830903790086,0.9794493660240452,4.227870970964432,0.7739583333333333,0.4309634204258016
standard,0.1640982923781757,0.0010134666111341,0.805492389899157,12.413969457149506,0.4260416666666666,0.4742193124587447
seq_new,0.1673469387755102,0.0006941552131056,0.961805963549672,5.422353982925415,0.48125,0.4229487510069804
standard,0.1973344439816744,0.0018603359711232,0.8036910920737331,10.731516420841215,0.1822916666666666,0.1238631036077541
seq_new,0.2404553658197972,0.0004581424406497,0.9785420280341594,6.706622511148453,0.9,0.6548942047550017
standard,0.255407469110093,0.0008191031514646,0.813581822917895,16.18407553434372,0.25,0.1465200748457492
seq_new,0.2132722476745799,0.0026933222268499,0.91713468879328,5.542797207832336,0.5697916666666667,0.2280680176519901
standard,0.2939330834374565,0.0011939469665418,0.8103243768457585,7.2900195717811584,0.515625,-0.0337896385847044
seq_new,0.2339303068166042,9.718172983474992e-05,0.9627637600322816,7.066565155982971,0.30625,0.0372081193988482
standard,0.2643343051506316,0.0013327780091628,0.806039784706855,6.449570059776306,0.6604166666666667,-0.3433374528218107
seq_new,0.2986255726780509,0.0008607524642509,0.9240726032794652,7.611618995666504,0.3239583333333333,-0.2178784578464439
standard,0.3775510204081631,0.0009440510898236,0.7985843112076794,12.894525110721588,0.3333333333333333,-0.4309122292814728
seq_new,0.1198528390948215,0.0015271414688323,0.9549014400125808,6.990100026130676,0.6583333333333333,-0.0556603225829967
standard,0.2761071775649034,0.000638622796057,0.9090611718323112,6.886279463768005,0.371875,-0.4130772223519339
seq_new,0.4493683187560737,0.0018186866583369,0.9654691708135308,7.869480669498444,0.9,0.1372555110204145
