method,f,c,d,u_pehe,u_policy,u_int
standard,0.5209281570727354,0.4139223560910307,0.8719178701104368,2.9104549288749695,0.7114093959731543,0.5926858218600157
seq_new,0.5922356091030789,0.36804997768853176,0.8866426136973152,1.6363149732351303,0.9328859060402684,0.0016193100125186
standard,0.5366354306113342,0.39312806782686294,0.8692225246112916,2.6465016901493073,0.6644295302013423,0.1141096962005128
seq_new,0.5747434181169121,0.377867023650156,0.9149570939316498,1.9191604405641556,0.9060402684563759,-0.04675865205945582
standard,0.4862115127175368,0.4033913431503794,0.8218040695400926,2.9334003925323486,0.6308724832214765,0.4769663629751982
seq_new,0.5603748326639895,0.40160642570281113,0.9208061643584105,1.8168971836566925,0.9530201342281879,0.346422397934492
standard,0.5490406068719321,0.3845604640785364,0.9059937067058513,3.196614146232605,0.5838926174496645,0.1871744994413523
seq_new,0.5351182507809014,0.404640785363677,0.9262136604727065,1.4623376280069351,0.9463087248322147,0.12723534061269337
standard,0.5564480142793395,0.40098170459616245,0.8773367726893935,2.68234646320343,0.7449664429530202,0.3254186538411679
seq_new,0.5593038821954486,0.4126729138777331,0.9178998240258873,1.7397340685129166,0.9194630872483222,0.14805892097737694
standard,0.5532351628737171,0.37099509147701903,0.8953566497450545,2.9068419337272644,0.5234899328859061,0.05990401258510928
seq_new,0.5427933958054441,0.34413208389111993,0.9031083796817775,1.596264436841011,0.9194630872483222,0.2030839009634881
standard,0.5466309683177153,0.38170459616242736,0.8787921722912192,3.1831348836421967,0.5704697986577181,0.31637935912381804
seq_new,0.5539491298527444,0.40267737617135213,0.8888443245805818,1.6611832827329636,0.9395973154362416,0.09943036239908255
standard,0.52904953145917,0.4076751450245426,0.8986143141618209,2.704366981983185,0.6644295302013423,0.5640873873991087
seq_new,0.5497545738509595,0.37349397590361444,0.8816274245901519,1.6458210349082947,0.959731543624161,0.4415998506016964
standard,0.48737170905845606,0.351004016064257,0.9194332598561977,2.9811224341392517,0.738255033557047,0.27873145873104876
seq_new,0.5872378402498883,0.39892904953145913,0.879534655778943,1.372480794787407,0.9194630872483222,0.4413833162730569
standard,0.5149486836233824,0.3985720660419455,0.9083702417684835,3.0082627534866333,0.5033557046979866,0.25459392690783994
seq_new,0.5801874163319947,0.4304328424810353,0.8961441255923729,1.5718474239110947,0.912751677852349,0.4620685447782486
standard,0.533065595716198,0.3927710843373494,0.8880066482026314,3.1415804028511047,0.5838926174496645,0.017056115324355803
seq_new,0.5657295850066935,0.3899152164212406,0.8686119264277654,1.4937620759010315,0.8791946308724832,0.26757548658378855
standard,0.5138777331548416,0.3772423025435073,0.8832147728686617,2.957785427570343,0.33557046979865773,0.1882641532517609
seq_new,0.5404730031236056,0.3994645247657297,0.8848057299542522,1.6065119206905365,0.9463087248322147,0.5268399685071161
standard,0.5251227130745203,0.3380633645693887,0.9014712787951279,2.5963333547115326,0.6040268456375839,-0.3587872334545888
seq_new,0.6014279339580544,0.44149933065595726,0.8772816982215133,1.5992376655340195,0.8926174496644296,0.5321426560542887
standard,0.5234270414993307,0.3593038821954484,0.9089731681014248,3.51351135969162,0.348993288590604,0.17741910546935663
seq_new,0.5637661758143686,0.3883087907184293,0.9218323057143207,1.6081490963697433,0.9530201342281879,0.40815952395575866
standard,0.5070950468540829,0.3762605979473449,0.8565065055727303,3.2647953629493713,0.697986577181208,0.3798853215318205
seq_new,0.649442213297635,0.4041053101294064,0.9027827610547446,1.5262220352888107,0.9194630872483222,0.6698175707576353
standard,0.5260151717983044,0.35751896474788036,0.8661791362091619,2.958885371685028,0.697986577181208,-0.23048342959399284
seq_new,0.5743864346273985,0.3830432842481035,0.8978708399408861,1.670079842209816,0.9463087248322147,0.21020639066013194
standard,0.533244087460955,0.34163319946452475,0.880221195046609,3.5242888927459717,0.40268456375838924,0.07928804544741021
seq_new,0.5454707719767962,0.41195894689870594,0.8801644396374273,1.6823013871908188,0.9261744966442953,0.3230248456255049
standard,0.5255689424364123,0.3980365908076752,0.9171070010953013,3.056160867214203,0.5973154362416108,0.3225153499903556
seq_new,0.5341365461847389,0.38500669344042826,0.8780295709531172,1.7427643686532974,0.912751677852349,0.6422704815683706
standard,0.5508255243195002,0.38259705488621143,0.9219696499301056,2.85101717710495,0.6308724832214765,0.15773006136442122
seq_new,0.4954038375725124,0.3787594823739401,0.8279480625917603,1.4964033961296082,0.9664429530201343,0.43581901009189744
standard,0.531726907630522,0.39723337795626945,0.9056784918902476,3.3662232756614685,0.6375838926174496,0.001100876738419427
seq_new,0.5875055778670237,0.3756358768406961,0.8727527027721881,1.728583201766014,0.9194630872483222,0.38699674391648836
