method,f,c,d,u_pehe,u_policy,u_int
standard,0.5382418563141456,0.3718875502008031,0.8220199818034213,2.965909957885742,0.6375838926174496,0.5135920001131669
seq_new,0.5419901829540383,0.42811244979919694,0.8797610908469091,2.4697633385658264,0.8456375838926175,0.2911289756690626
standard,0.30843373493975923,0.2514056224899598,0.7855168040899397,3.1782366037368774,0.7315436241610739,0.30947612399576085
seq_new,0.6031236055332441,0.42721999107541275,0.9093704785711557,2.1618660390377045,0.8590604026845637,0.34828412374539774
standard,0.3872378402498885,0.3117358322177598,0.8493477460923874,2.8765395432710648,0.9194630872483222,0.639973351764255
seq_new,0.6039268183846496,0.4229361892012494,0.8717251566081845,2.2331631183624268,0.5637583892617449,0.02413086787128775
standard,0.3826863007585899,0.2542614904060687,0.7973153138331008,2.525428056716919,0.7449664429530202,-0.07232922823517672
seq_new,0.5033467202141901,0.3506470325747434,0.8637540504947628,2.7041515707969666,0.8791946308724832,0.4676895619813228
standard,0.35778670236501575,0.2721999107541275,0.8177009169874834,2.980492115020752,0.33557046979865773,0.31894507865859206
seq_new,0.5040606871932174,0.3560017849174475,0.8975314605237699,2.384935677051544,0.8456375838926175,0.35896344976818967
standard,0.5758143685854529,0.40348058902275774,0.8325530432721401,2.224499464035034,0.7046979865771812,0.5469557736010725
seq_new,0.5714413208389111,0.424631860776439,0.9059661841321643,1.9620927572250366,0.7449664429530202,0.3933426985860619
standard,0.5059348505131638,0.37965194109772404,0.8118901780204846,2.563196301460266,0.9463087248322147,-0.09170239499968286
seq_new,0.6323962516733601,0.4178491744756805,0.9029536451020256,2.31216898560524,0.8187919463087249,0.43889336824206215
standard,0.5976796073181615,0.37822400713966964,0.8251866191061463,2.491090029478073,0.8926174496644296,0.5038149288497819
seq_new,0.4184738955823293,0.36269522534582777,0.9172418663272489,2.253344565629959,0.8053691275167785,0.29590781887657985
standard,0.5151271753681392,0.3793842034805889,0.822020261043256,2.3179590851068497,0.8053691275167785,-0.29865603565796106
seq_new,0.5622489959839359,0.3878625613565372,0.9084706478976675,2.227706879377365,0.8657718120805369,0.5709527006365046
standard,0.43382418563141445,0.32110664881749207,0.8312107835226414,3.113141506910324,0.6442953020134228,-0.4852368341778605
seq_new,0.5720660419455601,0.4194556001784917,0.9119028777412971,2.4714189171791077,0.8322147651006712,0.5157249657500157
standard,0.44542614904060684,0.2820169567157519,0.7876209786245952,2.812519535422325,0.5637583892617449,-0.017614092140398073
seq_new,0.5807228915662651,0.43900044622936185,0.933086523453379,2.1087958216667175,0.8993288590604027,0.11765180059039336
standard,0.4800535475234271,0.36608656849620713,0.8119045774371001,2.3749075531959534,0.9261744966442953,0.2240977967985527
seq_new,0.5458277554663097,0.3844712182061579,0.9053755646810653,2.184897720813751,0.785234899328859,-0.06888634144978278
standard,0.46425702811244984,0.30709504685408284,0.7745400302434529,2.763364464044571,0.9664429530201343,0.11268429329804572
seq_new,0.6489067380633646,0.441231593038822,0.9058678546847454,2.6630545258522034,0.8120805369127517,0.27016342915209346
standard,0.561892012494422,0.4227576974564926,0.8660473963463726,2.522523984313011,0.738255033557047,0.15730193204432497
seq_new,0.5448460508701473,0.39580544399821505,0.8349545626109272,2.498855173587799,0.825503355704698,0.14531757135830792
standard,0.5419009370816601,0.34948683623382426,0.8125966999916441,2.4363253712654114,0.738255033557047,0.3505270168884682
seq_new,0.5265506470325747,0.383846497099509,0.907869895233517,2.4681209325790405,0.8791946308724832,0.27394869284759443
standard,0.46506024096385545,0.3197679607318161,0.7948980897326289,3.1024707704782486,0.5973154362416108,-0.02358431875095119
seq_new,0.4424810352521197,0.33601070950468537,0.9013208267080444,2.5794460773468018,0.7046979865771812,0.22177794391147992
standard,0.5388665774207944,0.3869701026327532,0.769479604250715,3.2857889384031296,0.7919463087248322,0.33888876536736673
seq_new,0.43694779116465865,0.3291387773315484,0.8980413559636998,2.0953206717967987,0.87248322147651,0.16897746829926136
standard,0.4982597054886211,0.3826863007585899,0.8447637879988695,2.5598001182079315,0.8859060402684564,-0.012879095590792675
seq_new,0.6169567157518965,0.4258813029897367,0.925661590003255,2.2583546936511993,0.6711409395973155,0.12031064579749887
standard,0.3701026327532353,0.29629629629629617,0.8098703393638147,2.4578662514686584,0.9194630872483222,-0.025042195190898973
seq_new,0.6034805890227577,0.378937974118697,0.8867567222916165,2.345889002084732,0.825503355704698,0.4188604318781595
standard,0.5701918786256135,0.36974564926372155,0.8522982114216688,2.5579693019390106,0.9194630872483222,0.3563882558605855
seq_new,0.5977688531905399,0.4048192771084337,0.9065036904809586,2.5357937812805176,0.8859060402684564,0.2902960117102328
