method,f,c,d,u_pehe,u_policy,u_int
standard,0.6565818830879072,0.38464970995091474,0.8123990611639977,3.301949679851532,0.738255033557047,0.2178672859246437
seq_new,0.6750557786702365,0.4472110664881749,0.9088017819868748,2.076652944087982,0.8590604026845637,0.42655915369004277
standard,0.6388219544846051,0.4151717983043284,0.8134387795316864,3.0855162739753723,0.3624161073825503,0.11488785586579559
seq_new,0.6025881302989737,0.4136546184738955,0.8702492698263022,2.143070727586746,0.8859060402684564,0.6523632055719009
standard,0.6456046407853637,0.4329317269076306,0.8857430849497957,2.8364988565444946,0.5973154362416108,0.2357340722840997
seq_new,0.6177599286033022,0.4020526550647031,0.896384562299411,2.2380241751670837,0.912751677852349,0.3399612531004075
standard,0.563230700580098,0.37429718875502005,0.7429017546214352,4.3161569237709045,0.3288590604026846,0.4514099938345018
seq_new,0.6541722445336904,0.4398036590807676,0.8909111404425675,1.9995296001434326,0.8859060402684564,0.5430960299077059
standard,0.582240071396698,0.38982597054886214,0.7956567074320239,3.0949938893318176,0.6577181208053692,-0.03318551433421422
seq_new,0.6542614904060686,0.41481481481481475,0.9035404785951027,2.2472158074378967,0.9328859060402684,-0.10747185083223848
standard,0.6501561802766622,0.4136546184738955,0.8733085473524047,3.005758821964264,0.4563758389261745,0.1755306615681648
seq_new,0.5892012494422133,0.3622489959839357,0.9088430873300362,2.1544828712940216,0.8657718120805369,0.11059859931625021
standard,0.5877733154841589,0.40303435966086576,0.8539216173081594,3.190428137779236,0.5704697986577181,0.4040937242687549
seq_new,0.6484605087014725,0.443462739848282,0.9069305630160622,1.8921343088150024,0.8523489932885906,0.6681595018687349
standard,0.6091030789825971,0.38893351182507807,0.7961754179354616,2.741264045238495,0.5771812080536913,0.5096641954984195
seq_new,0.6489067380633645,0.4373047746541723,0.9250281265070408,2.274416446685791,0.8791946308724832,0.35325249538002185
standard,0.6359660865684962,0.39500223114680955,0.8736949443440081,2.9827108681201935,0.610738255033557,0.13204676176660438
seq_new,0.6152610441767068,0.4076751450245426,0.9007329368263781,2.2780827283859253,0.8590604026845637,0.04705883553984872
standard,0.6391789379741186,0.4093708165997323,0.8574186946774538,3.0071394741535187,0.6778523489932886,-0.4108955454921338
seq_new,0.6186523873270862,0.4128514056224899,0.9054335222680515,2.355968624353409,0.912751677852349,0.15827874790210225
standard,0.6211512717536813,0.3851851851851851,0.8380756561599036,2.768297106027603,0.47651006711409394,-0.05956489476078123
seq_new,0.6074074074074074,0.42079428826416765,0.8867299605570784,1.9839084148406982,0.8791946308724832,0.2557384886048395
standard,0.6129406514948684,0.39750111557340473,0.8607198065445534,3.2609115839004517,0.4966442953020134,0.390480300952662
seq_new,0.6299866131191433,0.4347166443551985,0.9063349368917123,2.2800005674362183,0.8657718120805369,0.25647530719405176
standard,0.6469433288710398,0.4318607764390897,0.8465380745531412,3.108400583267212,0.7114093959731543,0.22245298681652004
seq_new,0.6983489513609996,0.4064257028112449,0.8239390850024448,1.8955080211162567,0.7919463087248322,0.2605004429306067
standard,0.6449799196787148,0.4174029451137885,0.8938043669395304,2.807258665561676,0.6375838926174496,0.6322330280863386
seq_new,0.5821508255243195,0.39785809906291836,0.9215515859995338,2.1763814091682434,0.9395973154362416,0.7235258983415292
standard,0.6794288264167783,0.44605087014725564,0.8392976435502718,3.468403458595276,0.28859060402684567,0.13464907715467628
seq_new,0.6662204373047746,0.42079428826416765,0.9233512291481115,2.1873209178447723,0.8791946308724832,-0.01566597999864686
standard,0.6316822846943329,0.44979919678714864,0.8161131171269721,3.1948598623275757,0.47651006711409394,-0.3305975590760732
seq_new,0.6478357875948237,0.4062472110664882,0.8331896022328048,2.0493879318237305,0.8993288590604027,0.18498426939981216
standard,0.6116019634091924,0.39991075412762156,0.7995672888352203,3.0793561339378357,0.5436241610738255,0.11977367699974158
seq_new,0.5950022311468094,0.3886657742079429,0.914589071991166,2.247680187225342,0.8926174496644296,0.2889645434039895
standard,0.5821508255243195,0.3814368585452922,0.8321192942093542,4.040453195571899,0.5369127516778524,0.3143191546281908
seq_new,0.6289156626506023,0.3812583668005355,0.8862979366717687,1.8422127962112427,0.8859060402684564,0.2794893640668648
standard,0.5714413208389112,0.4345381526104417,0.8797486651973696,3.3477863073349,0.697986577181208,0.09066436667109523
seq_new,0.5671575189647479,0.366086568496207,0.8956046222888764,1.8513463139533997,0.8053691275167785,0.6388954284455544
standard,0.6422132976349844,0.4395359214636323,0.8375272894330389,3.3162480294704437,0.5234899328859061,0.12944650383770936
seq_new,0.6337349397590362,0.44444444444444453,0.8671533076536637,1.8247618973255157,0.8456375838926175,0.5722278006283924
