method,f,c,d,u_pehe,u_policy,u_int
standard,0.9695577419046709,0.35530932594644504,0.9170993350270074,2.9874540269374847,0.7569444444444444,0.3609272468254512
seq_new,0.6479224376731303,0.35540166204986146,0.8586782812386231,1.8790148440748453,0.8819444444444444,-0.23339591042869062
standard,0.7198522622345338,0.4319482917820868,0.8569005170283992,4.249339412897825,0.6319444444444444,0.0472862806065667
seq_new,0.8722991689750692,0.26629732225300107,0.8884995328116394,1.1146726049482822,0.8194444444444444,-0.6451232922408864
standard,0.6865189289012004,0.2992613111726684,0.8004797780064977,2.6132780462503433,0.4652777777777778,-0.6382890243822308
seq_new,0.8556181742923552,0.2621421975992614,0.8797598973068796,2.058663435280323,0.7222222222222222,0.06861671328801705
standard,0.8184672206832873,0.25392428439519843,0.5432186953641087,7.618313238024712,0.2638888888888889,-0.7590023021576641
seq_new,0.9660139459356194,0.18097876269621416,0.8291130435514855,1.406567208468914,0.7569444444444444,-0.7809667474535018
standard,0.9687426369917534,0.35918744228993515,0.8602513570692538,4.3647123128175735,0.9583333333333334,-0.2793304208751411
seq_new,0.7990766389658357,0.33499538319482913,0.8771081270075067,1.246246311813593,0.8194444444444444,-0.4634918860127475
standard,0.869067405355494,0.3654662973222531,0.8297760201058343,4.408751042559743,0.05555555555555555,0.13498107162760692
seq_new,0.9173942114815169,0.41320406278855026,0.905679968165145,1.2125630602240562,0.9027777777777778,0.18650750277658834
standard,0.9269621421975993,0.37682363804247465,0.9124358709564225,3.7145146429538727,0.3541666666666667,-0.07321282221708761
seq_new,0.5781163434903047,0.37313019390581714,0.8242959439423688,2.679034076631069,0.9513888888888888,0.9847387958247766
standard,0.7636195752539243,0.362511542012927,0.8512640002600476,2.1323547437787056,0.7638888888888888,-0.44803296084378164
seq_new,0.9760753972044449,0.36962142197599257,0.876067435586907,1.8826106190681458,0.8541666666666666,0.8642056354436796
standard,0.9679784761358933,0.3447830101569713,0.6731995394231233,5.182284452021122,0.9166666666666666,-0.6975942619471973
seq_new,0.8734485942624256,0.2867036011080333,0.8283505614281835,1.548347920179367,0.875,0.8559216674393969
standard,0.8879389944916738,0.3579870729455217,0.8248826176393387,3.019517570734024,0.2777777777777778,-0.07674467891190986
seq_new,0.8078485687903971,0.2720221606648199,0.8389875028683312,2.6462893337011337,0.8402777777777778,0.3983957163714893
standard,0.9381475467252524,0.20295475530932605,0.4307173549677602,7.351046085357666,0.2569444444444444,0.7157650330077961
seq_new,0.6580061769669181,0.14598337950138496,0.8763028663069143,3.084943614900112,0.8541666666666666,0.23821345459280996
standard,0.9461298436654249,0.27479224376731304,0.4125155144920445,7.144530683755875,0.08333333333333333,0.7294673147547904
seq_new,0.2770083102493075,0.29769159741458906,0.8433201321429287,3.118504226207733,0.8611111111111112,0.7290418127917346
standard,0.7061865189289012,0.3185595567867038,0.3648989058625379,3.8272176682949066,0.7083333333333334,-0.39399082325746687
seq_new,0.8061865189289011,0.23601108033240992,0.8853777498801065,2.0988936349749565,0.8263888888888888,0.19707583106870175
standard,0.8570637119113573,0.40009233610341643,0.8170245759019522,2.7823130935430527,0.9652777777777778,0.20411613637895876
seq_new,0.8289171203871748,0.24589104339796863,0.8180487234395036,1.7718245089054108,0.7569444444444444,0.8916664797933683
standard,0.766943674976916,0.37571560480147737,0.8811450957228043,6.396681159734726,0.041666666666666664,0.9494781632370096
seq_new,0.500646352723915,0.31052631578947376,0.8663960534470869,1.7548863068223,0.8402777777777778,-0.627285762540484
standard,0.9581749291559206,0.3453370267774699,0.8682771120401264,7.929773330688477,0.125,0.47887522397869386
seq_new,0.9311745789155284,0.28605724838411817,0.8172668766190991,1.6385580226778984,0.7847222222222222,0.9281314880589544
standard,0.682825484764543,0.36029547553093266,0.9196026465540057,3.452541122213006,0.10416666666666667,-0.8654092900211389
seq_new,0.8170821791320406,0.2899353647276084,0.8774602928889731,1.020348459482193,0.8888888888888888,0.4464170867612566
standard,0.7876269621421976,0.35457063711911363,0.795827144510262,3.092711217701435,0.5902777777777778,-0.33737208318907647
seq_new,0.7832871652816251,0.27922437673130196,0.8269550444176437,1.6020340379327536,0.6736111111111112,0.5401718208425702
standard,0.7557710064635272,0.3095106186518929,0.7332788295929928,5.389391954988241,0.8819444444444444,-0.7668274127178963
seq_new,0.7182825484764543,0.3963065558633425,0.8921218347041981,1.397270880639553,0.875,0.7522231336804653
standard,0.6246537396121884,0.33148661126500467,0.8413717482983081,4.511108219623566,0.9305555555555556,-0.290505467839378
seq_new,0.9410545419810871,0.3513388734995383,0.8785825207123258,1.7581916525959969,0.8541666666666666,0.21388749206464738
