method,f,c,d,u_pehe,u_policy,u_int
standard,0.8843569904798293,0.4685133887349955,0.8130957543325954,3.3941630721092224,0.6736111111111112,-0.6806227949987543
seq_new,0.9192059095106186,0.48688827331486606,0.9111141586745791,1.3878914061933756,0.7361111111111112,-0.07242824853288107
standard,0.9397936765689178,0.5010156971375809,0.8686718335808227,7.521553575992584,0.4097222222222222,0.26415604691982986
seq_new,0.9094182825484765,0.5013850415512465,0.904458590674255,1.6358061954379082,0.75,-0.6642819022105295
standard,0.887865762409654,0.4579870729455219,0.879261782728648,2.691785752773285,0.4027777777777778,-0.8674867878234426
seq_new,0.9180405642054319,0.5109879963065558,0.8838353303936787,1.4235686771571636,0.7361111111111112,-0.725521751153695
standard,0.8397045244690675,0.5047091412742383,0.8485057492871828,3.2036143094301224,0.4305555555555556,-0.7037005117613089
seq_new,0.884302862419206,0.4743305632502308,0.9095235669693227,1.425515964627266,0.7708333333333334,-0.6610212425875294
standard,0.8961569076957366,0.4945521698984303,0.8951833535509657,2.2411486133933067,0.8680555555555556,-0.5472514362746991
seq_new,0.9709491514630496,0.46777469990766396,0.9005884316516255,1.4864673167467117,0.6736111111111112,-0.6038501540270634
standard,0.863877479542777,0.4440443213296398,0.8689180762440157,3.502405546605587,0.1597222222222222,-0.6328820007609529
seq_new,0.9358073041041806,0.5119113573407202,0.9023901298560034,1.4939768183976412,0.7361111111111112,-0.07342799636123726
standard,0.9015315057152864,0.49907663896583565,0.9147193001355476,4.751061916351318,0.11805555555555555,-0.15348968062611304
seq_new,0.9293979049256536,0.4766389658356418,0.8022671309740822,1.2257228065282106,0.7152777777777778,-0.7155923816325613
standard,0.8744228993536473,0.46712834718374874,0.8625779634016864,3.3282185718417168,0.5902777777777778,0.7185388583756142
seq_new,0.9298659534498679,0.47931671283471844,0.8998955582478835,1.3343937201425433,0.6597222222222222,-0.11485162101375357
standard,0.8905817174515236,0.49538319482917825,0.8332013597095078,2.3613225519657135,0.8680555555555556,0.6427085701351024
seq_new,0.9292705447830102,0.5090489381348107,0.8955942948671543,1.3567725382745266,0.7152777777777778,-0.5401439492112159
standard,0.9281688795491451,0.4503231763619575,0.8660470769361991,3.5539686381816864,0.5347222222222222,-0.5912943568434119
seq_new,0.9464705320469959,0.4761772853185595,0.9110755560434233,1.2315591871738434,0.75,-0.3113469530777487
standard,0.9232686980609418,0.45050784856879045,0.8440002866917304,3.273099571466446,0.2916666666666667,-0.1976643616728106
seq_new,0.9596427547998854,0.48614958448753476,0.9009172012672758,1.3903055004775524,0.7291666666666666,-0.11913990410790776
standard,0.9203489667908429,0.47266851338873495,0.8484698743205252,4.082396324723959,0.8263888888888888,-0.4418925870021016
seq_new,0.9377049702295667,0.4958448753462604,0.9128288412020159,1.470035184174776,0.6944444444444444,-0.5109217998674679
standard,0.8541089566020315,0.48910433979686063,0.869357196857978,3.5344484448432922,0.25,-0.9494470705655227
seq_new,0.9274747667717388,0.4711911357340721,0.9039761896089905,1.5718015879392624,0.7847222222222222,-0.6449239820133843
standard,0.8894736842105263,0.4883656509695291,0.8861585280398303,2.363130994141102,0.1388888888888889,-0.953236188091603
seq_new,0.9374820899799408,0.4889196675900277,0.9011700525694822,1.4980768151581287,0.6805555555555556,-0.43237379166880097
standard,0.9236380424746076,0.46408125577100645,0.8475792023311451,2.054766908288002,0.9305555555555556,-0.5101016160475181
seq_new,0.8918744228993537,0.49353647276084944,0.8818793829334032,1.540514037013054,0.7638888888888888,-0.7299853605952964
standard,0.9051708217913205,0.4525392428439521,0.8790400496230294,3.3240370750427246,0.1875,-0.22925873244473974
seq_new,0.9543764129015825,0.4735918744228994,0.8558266189741321,1.4698199555277824,0.7847222222222222,-0.2176263627980657
standard,0.8989843028624191,0.548107109879963,0.9035944465515602,2.8599884659051895,0.6388888888888888,-0.27514589527174127
seq_new,0.9079409048938135,0.5255771006463528,0.8989906865784898,1.2835517898201942,0.6944444444444444,-0.15741186905499405
standard,0.8531855955678671,0.47580794090489376,0.8464713877023147,2.822840467095375,0.4861111111111111,-0.019508126127152886
seq_new,0.9325946445060018,0.5337026777469991,0.930928977721457,1.5209710113704205,0.7777777777777778,-0.46502699716386187
standard,0.9006463527239151,0.45900277008310253,0.8450204641394355,2.6337656676769257,0.1875,0.4074333207032106
seq_new,0.9255771006463528,0.49242843951985227,0.8010886078916076,1.5477551519870758,0.7777777777777778,-0.14229969176853854
standard,0.8228070175438597,0.46278855032317645,0.8827346538138205,3.195501521229744,0.3819444444444444,-0.9881904321313213
seq_new,0.941735918744229,0.4949215143120961,0.9116635797731931,1.6302411817014217,0.75,-0.2527583456733755
