method,f,c,d,u_pehe,u_policy,u_int
standard,0.9221461660789602,0.40112009956440564,0.7777759337068013,0.11690673790872097,0.6296680497925311,0.19079506367206212
seq_new,0.945847549156349,0.40502661965014175,0.9406458800802098,0.06169509747996926,0.6877593360995851,0.8215549375303488
standard,0.9904495895590889,0.41129779437184544,0.785159912312689,0.0973623963072896,0.4642116182572614,-0.5707004543601415
seq_new,0.9541238403822357,0.39569245661342733,0.9553276723343939,0.20340001210570335,0.8049792531120332,-0.8794375704105738
standard,0.7752056972965499,0.3553827006845053,0.589648782037343,0.10039586946368217,0.5731327800829875,-0.10289169980777682
seq_new,0.9376339625250639,0.3559704072460761,0.9593745536716859,0.08170354273170233,0.7328838174273858,0.9604921531724419
standard,0.8737813731590955,0.39685404134688507,0.4078801441087606,0.1556936576962471,0.6255186721991701,0.9220317703456946
seq_new,0.9746823642731631,0.4002834819885225,0.9519116603464327,0.1607813537120819,0.7940871369294605,0.7182134178960953
standard,0.7366452326626565,0.3686579547811656,0.7456534698323916,0.10602999106049538,0.5145228215767634,0.8358194025196797
seq_new,0.9002419968194704,0.4130885708359261,0.9539871409893681,0.07068064995110035,0.7863070539419087,0.8125951442998572
