method,f,c,d,u_pehe,u_policy,u_int
standard,0.9840742250737315,0.42797483233077527,0.9254874792189188,0.13222978822886944,0.6566390041493776,0.3057427943566523
seq_new,0.985099910115467,0.40942404756966055,0.9420639275329248,0.07983229635283351,0.7406639004149378,-0.7799527886484294
standard,0.9762707217227312,0.4130678282514001,0.8546290308038147,0.1095204884186387,0.5746887966804979,0.8027157636266287
seq_new,0.9810431851073012,0.43634100808960785,0.9390863634709635,0.06040640501305461,0.7256224066390041,-0.7310969810097099
standard,0.9826980618796596,0.41818433243448816,0.94216556686416,0.1283235801383853,0.5975103734439834,-0.3713492942127059
seq_new,0.9562124040655465,0.4341215515453226,0.8970690095892222,0.11311320029199123,0.4139004149377593,-0.730020626134676
standard,0.9759316877549609,0.4417824794302704,0.9096449264221595,0.08991672331467271,0.470954356846473,0.7521759808646299
seq_new,0.9649171369511262,0.4138906174375996,0.9220140752483675,0.061485106125473976,0.7987551867219918,0.3338720575696176
standard,0.9728210153375915,0.41911774873815943,0.912928171869409,0.09035643888637424,0.6358921161825726,0.02232958469516601
seq_new,0.9776778795833363,0.42207702413053994,0.942429713322118,0.13754146546125412,0.26089211618257263,-0.7397935345953296
