type,gen,alpha precision,beta recall,kl,f,d,u_pehe,u_policy,u_int
standard,ctgan,0.7459114257948077,0.39236429265583794,0.9629795797884365,0.7312075728988368,0.9292270210486555,5.487224,0.5229166666666667,0.033072187379095515
sequential,ctgan,0.5920449812578094,0.2751075940580312,0.9013733935047512,0.5933796632616368,0.8417821749358774,5.0702186,0.6447916666666667,0.3503476440280695
standard,ctgan,0.7882132444814661,0.3971400805220048,0.9606433695023358,0.7725634520057942,0.8870336991781804,4.7259803,0.6666666666666666,-0.08494888437155687
sequential,ctgan,0.6123143134804943,0.2611967235873941,0.913031842775456,0.5933607516139691,0.7964420389639463,5.7674994,0.46041666666666664,0.06178850176281751
standard,ctgan,0.7709565458836596,0.42719700124947946,0.968635385426377,0.8486691607298471,0.9384872706005501,5.4949017,0.45625,0.5399851656972319
sequential,ctgan,0.6338331250867695,0.2557545467166459,0.9181368794181888,0.554757174215949,0.8181404935186567,5.3081136,0.4083333333333333,-0.4368841924481317
standard,ctgan,0.8463556851311954,0.37710676107177565,0.9678665313694633,0.8041555129673865,0.9336775738215093,5.866189,0.6104166666666667,-0.253910165891575
sequential,ctgan,0.6329723726225184,0.2510481743717894,0.917892841386706,0.6154970405619273,0.7917280983363724,5.52414,0.5010416666666667,-0.43689207193797314
standard,ctgan,0.8697209496043316,0.3810356795779537,0.9693693431938455,0.74212815192416,0.9305602135618196,6.081835,0.53125,0.13843028082841471
sequential,ctgan,0.5949604331528529,0.2772178259058725,0.9097521552265048,0.5723328533111067,0.7392065022535292,5.481087,0.521875,-0.4844056851027715
standard,ctgan,0.6948493683187561,0.36016937387199777,0.9571006853263624,0.6563239079060739,0.9130997658435451,5.2027645,0.5770833333333333,0.3596159103053646
sequential,ctgan,0.6541579897265029,0.2577953630431765,0.9126915040400703,0.6136827405196539,0.8565607504610121,6.130276,0.37083333333333335,-0.1839640892410983
standard,ctgan,0.7832430931556296,0.44302374010828804,0.9667114939727947,0.7808668024094929,0.9330097299620045,5.179333,0.6041666666666666,-0.03666161882320798
sequential,ctgan,0.6500347077606553,0.2684575871164794,0.9142225137769496,0.6285497159950513,0.8561876970397074,5.992439,0.3625,-0.03911108722920705
standard,ctgan,0.6872969596001666,0.44013605442176873,0.9556595311946865,0.7491996468021651,0.9183807956805602,5.735498,0.56875,0.0731002166886135
sequential,ctgan,0.6494793835901709,0.2620713591559073,0.9156615739618376,0.6539602837615818,0.8602129094285902,6.2849517,0.31666666666666665,-0.09613965420481496
standard,ctgan,0.8818964320422047,0.3288490906566709,0.9588133704869006,0.8351632964469174,0.91672768434776,4.7387023,0.715625,0.1751400738817569
sequential,ctgan,0.6422046369568236,0.25793419408579754,0.9161511929672637,0.6323914480248712,0.8612556242609224,6.196331,0.33541666666666664,-0.24103211945361108
standard,ctgan,0.8463834513397196,0.4264750798278495,0.9592916758488944,0.7913757341574181,0.913113643171833,4.691349,0.6895833333333333,0.0359602897759715
sequential,ctgan,0.6390670553935861,0.2670970428987921,0.9129570892674197,0.6247667633217419,0.8627494023500427,6.0989795,0.334375,-0.32958607620579994
standard,tvae,0.81990837151187,0.4731778425655977,0.9247246685183048,0.7781985345650523,0.9111819597375374,5.713796,0.5510416666666667,-0.36459302153050266
sequential,tvae,0.7503817853672081,0.1535887824517561,0.7654018151849452,0.18382721541416397,0.7944191447030731,4.6877484,0.8708333333333333,-0.3262216782414541
standard,tvae,0.8559350270720533,0.48388171595168683,0.9257610649801971,0.907554055260387,0.9331918872152594,4.3120565,0.7729166666666667,0.17479099716555146
sequential,tvae,0.7558239622379563,0.14030265167291422,0.7561943183821149,0.15626258244325178,0.7882412083619211,5.7064223,0.8729166666666667,0.19540206556723116
standard,tvae,0.8153269471053728,0.4807719005969734,0.9199494596381547,0.8547129353506956,0.9062052137663242,5.1078925,0.621875,0.20643745549580683
sequential,tvae,0.7420380397056782,0.14866028043870605,0.7520207970879111,0.4027233412717657,0.7986179936196426,4.3751044,0.89375,-0.4287826983115568
standard,tvae,0.9629876440372067,0.4926141885325559,0.9181374224802232,0.9254154587450231,0.9059758676751329,4.701184,0.6604166666666667,-0.05641690530994331
sequential,tvae,0.7430098570040261,0.1513536026655562,0.752285874253748,0.36454891798883016,0.786720469150955,4.0427055,0.9229166666666667,-0.27612318127464164
standard,tvae,0.8805081216159933,0.5077745383867833,0.9228962525927874,0.9352649856930443,0.912897969032721,4.1736684,0.69375,0.2682686253818443
sequential,tvae,0.7488685270026378,0.1482160211023188,0.760824241672874,0.24210443580043656,0.7972684591019411,5.388907,0.9,-0.18504716765677037
standard,tvae,0.867208107732889,0.4725392197695405,0.9200384238224879,0.9424616048063719,0.9222606366823753,4.4261746,0.7,-0.39652751800319547
sequential,tvae,0.7440372067194225,0.150006941552131,0.762123514852406,0.28643790223885324,0.8032469279152511,5.2632155,0.8979166666666667,0.1576859053464319
standard,tvae,0.8654033041788144,0.47437178953213943,0.9249334339895713,0.7599752009762472,0.9239082869295989,4.618737,0.659375,-0.020216297503921742
sequential,tvae,0.7635568513119534,0.1454255171456338,0.754159111688749,0.19536858438596477,0.7908642730783462,4.6061516,0.9135416666666667,-0.27038392576902465
standard,tvae,0.8370678883798417,0.4931972789115646,0.9167460151852515,0.887602377271128,0.9090146773820978,5.0088506,0.66875,0.32216693837247673
sequential,tvae,0.7509232264334306,0.1477301124531446,0.7577996049952768,0.2130410855404794,0.8292520528001004,4.6546793,0.8739583333333333,0.2540194914642137
standard,tvae,0.8639178120227683,0.5152575315840622,0.923857178804978,0.8773004277613328,0.9223770546816219,4.4497023,0.7572916666666667,-0.45661830407611076
sequential,tvae,0.7290156879078162,0.15481049562682225,0.7534590088239528,0.1566219872889339,0.7905463020755766,4.6711154,0.928125,-0.2806562985148306
standard,tvae,0.7799944467582951,0.4915868388171596,0.9223396601674894,0.8072077842654201,0.9014330888728498,5.3994393,0.4895833333333333,0.12028611913857919
sequential,tvae,0.7419269748715813,0.15157573233374977,0.7560758432358804,0.15431152756669175,0.7747830246774108,5.4257298,0.91875,-0.3561956760699599
