method,epsilon,f,c,d,avg_u_pehe
standard,5,0.9842022988505748,0.42280000000000006,0.1657170387846938,6.10348778963089
sequential,5,0.7124666666666668,0.3900000000000001,0.7842615114494162,3.0471493005752563
standard,5,0.9752528735632184,0.46819999999999995,0.7672502651900996,3.9419729709625244
sequential,5,0.8050666666666667,0.2799999999999999,0.8460231635522522,2.705267548561096
standard,5,0.6796,0.3842,0.6171062159590952,4.747116029262543
sequential,5,0.8738,0.33240000000000003,0.786309129686214,2.901801288127899
standard,5,0.7641954022988506,0.4856666666666667,0.7345766242206113,4.135956585407257
sequential,5,0.7028000000000001,0.26506666666666656,0.7267407444355558,2.6187058091163635
standard,10,0.5292666666666667,0.39173333333333316,0.07624579689389721,5.537122964859009
sequential,10,0.6357999999999999,0.2873333333333332,0.8657326976140192,2.485127240419388
standard,10,0.5580666666666667,0.3811999999999999,0.6311378618311947,3.5623860955238342
sequential,10,0.8936597701149426,0.5365333333333333,0.9316189558887529,2.392576277256012
standard,10,0.9283333333333333,0.45186666666666675,0.4641871306054718,3.8369657397270203
sequential,10,0.9018666666666666,0.45933333333333337,0.791449494209397,2.4552623629570007
standard,10,0.9490597701149426,0.4958666666666667,0.9167756790016321,3.8611783385276794
sequential,10,0.8745977011494253,0.40726666666666667,0.7617727320884587,2.4516811072826385
