,method,epsilon,f,c,d,avg_u_pehe
0,standard,1,0.1481333333333333,0.0740666666666667,0.3855630299153597,4.756507337093353
1,sequential,1,0.6146,0.4426666666666666,0.3277698022445867,3.64078825712204
2,standard,1,0.8658,0.2904,0.6324191530566108,4.363670289516449
3,sequential,1,0.6951333333333335,0.4435333333333333,0.3402204543487318,3.5192373394966125
0,standard,5,0.9842022988505748,0.4228,0.1657170387846938,6.10348778963089
1,sequential,5,0.7124666666666668,0.3900000000000001,0.7842615114494162,3.0471493005752563
2,standard,5,0.9752528735632184,0.4681999999999999,0.7672502651900996,3.941972970962525
3,sequential,5,0.8050666666666667,0.2799999999999999,0.8460231635522522,2.705267548561096
4,standard,5,0.6796,0.3842,0.6171062159590952,4.747116029262543
5,sequential,5,0.8738,0.3324,0.786309129686214,2.901801288127899
6,standard,5,0.7641954022988506,0.4856666666666667,0.7345766242206113,4.135956585407257
7,sequential,5,0.7028000000000001,0.2650666666666665,0.7267407444355558,2.6187058091163635
8,standard,10,0.5292666666666667,0.3917333333333331,0.0762457968938972,5.537122964859009
9,sequential,10,0.6357999999999999,0.2873333333333332,0.8657326976140192,2.485127240419388
10,standard,10,0.5580666666666667,0.3811999999999999,0.6311378618311947,3.5623860955238342
11,sequential,10,0.8936597701149426,0.5365333333333333,0.9316189558887528,2.392576277256012
12,standard,10,0.9283333333333332,0.4518666666666667,0.4641871306054718,3.83696573972702
13,sequential,10,0.9018666666666666,0.4593333333333333,0.791449494209397,2.4552623629570007
14,standard,10,0.9490597701149426,0.4958666666666667,0.916775679001632,3.86117833852768
15,sequential,10,0.8745977011494253,0.4072666666666666,0.7617727320884587,2.4516811072826385
0,standard,15,0.2902,0.2476,0.3707916154167467,4.189249634742737
1,sequential,15,0.9042597701149424,0.5018,0.9146293584541846,2.4571756422519684
2,standard,15,0.3242666666666665,0.3232666666666667,0.3425654502719857,5.473360955715179
3,sequential,15,0.9110436781609196,0.4199333333333332,0.9007067972589171,2.4953376054763794
4,standard,15,0.5454,0.3964666666666668,0.252999297266906,4.593757748603821
5,sequential,15,0.8988666666666667,0.3937333333333335,0.9241001289419408,2.507931262254715
6,standard,15,0.8211310344827586,0.3761333333333333,0.8316972069298285,4.18696254491806
7,sequential,15,0.8249931034482758,0.4475333333333332,0.8624008383369322,2.510264754295349
0,standard,1,0.8936022988505747,0.4360666666666667,0.7388260006868208,4.431733310222626
1,sequential,1,0.7546666666666666,0.2516,0.2917400419443656,3.905180990695954
2,standard,1,0.8034,0.2816666666666667,0.6166739311140945,4.840332269668579
3,sequential,1,0.9171126436781608,0.3687999999999999,0.3325103214245472,3.812118709087372
0,standard,2,0.5020666666666668,0.4562666666666666,0.06362281757650479,5.6242154240608215
1,sequential,2,0.7398,0.4297333333333333,0.5669320611514627,3.526558041572571
2,standard,2,0.8104666666666667,0.4179999999999999,0.6867869388279104,3.938272178173065
3,sequential,2,0.5224000000000001,0.34453333333333336,0.5230342623012962,3.815915882587433
4,standard,2,0.8874,0.4576,0.36839516708554143,7.0656110644340515
5,sequential,2,0.6448,0.3172666666666668,0.5402809851121344,3.8074121475219727
6,standard,2,0.49226666666666663,0.3057333333333333,0.7923011843341339,4.834876179695129
7,sequential,2,0.7644,0.3843333333333334,0.5517462670597126,3.833198070526123
8,standard,3,0.9414551724137932,0.3954666666666665,0.5355079010978981,6.399913430213928
9,sequential,3,0.738735632183908,0.46640000000000004,0.7536584747005347,3.5279919505119324
10,standard,3,0.965367816091954,0.48506666666666665,0.7512753343016414,4.489467978477478
11,sequential,3,0.9303333333333333,0.4504,0.6856413991639196,3.7726550102233887
12,standard,3,0.5700000000000001,0.4190666666666668,0.048679104854526756,4.548553049564362
13,sequential,3,0.7103999999999999,0.42446666666666666,0.6691660249550297,3.5212461948394775
14,standard,3,0.7832,0.3436666666666667,0.6693222997973594,4.375668942928314
15,sequential,3,0.7970666666666667,0.47506666666666664,0.6996574217189593,3.6887924671173096
16,standard,4,0.6746666666666667,0.3196,0.6691023759680941,3.7861595153808594
17,sequential,4,0.5508,0.4983333333333334,0.7725912575625428,2.585273653268814
18,standard,4,0.5556666666666666,0.40026666666666666,0.7693118274019273,5.63768458366394
19,sequential,4,0.7098022988505748,0.5068666666666666,0.7437813210198496,2.678179144859314
20,standard,4,0.8832666666666666,0.32833333333333325,0.31094547328266486,4.41910856962204
21,sequential,4,0.9031333333333333,0.44733333333333325,0.8139781397761535,2.905789762735367
22,standard,4,0.7524000000000001,0.37973333333333337,0.10812281901988319,4.751624047756195
23,sequential,4,0.8743333333333333,0.40193333333333336,0.6963538210515321,3.015877217054367
