training,age,education,black,hispanic,married,no_degree,re75,re78
0.0,23.858731021383225,11.0,0.0,0.0,0.0,1.0,1418.3744397049054,1239.6449313686871
0.0,26.733210734048768,11.0,1.0,0.0,1.0,1.0,0.0,7336.031512329284
1.0,28.497880223134057,10.0,1.0,0.0,0.0,0.0,4135.009393483753,29960.950481696353
1.0,18.47591015783217,9.0,1.0,0.0,0.0,1.0,1084.5562655359831,11510.135191997622
0.0,21.329359321323857,8.0,1.0,0.0,0.0,1.0,4131.931891930044,9020.6645296685
1.0,20.179261029711558,13.0,1.0,0.0,0.0,1.0,25168.900651653123,9057.805748237963
1.0,19.039522178940505,9.0,1.0,0.0,0.0,1.0,5925.672753462064,14440.578400540093
0.0,29.025915849292417,14.0,1.0,0.0,0.0,0.0,3221.192056624255,5555.785094162233
0.0,17.957447955758337,11.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,29.44786999770986,10.0,1.0,0.0,1.0,1.0,17100.79659672321,11022.621905445814
1.0,24.442775935040462,11.0,1.0,0.0,1.0,0.0,6202.019837288468,14437.778922855461
1.0,23.54064506950786,10.0,1.0,0.0,0.0,0.0,28558.983377766654,1493.1822462282353
1.0,35.33409439228888,10.0,1.0,0.0,1.0,1.0,1486.930994490219,5975.000773766661
0.0,19.819289569622974,6.0,0.0,1.0,0.0,1.0,263.00141572297423,3887.715249423327
0.0,22.66695952945341,12.0,1.0,0.0,0.0,0.0,59.07903372584758,14032.450574135573
0.0,24.12630833251128,11.0,1.0,1.0,1.0,0.0,17383.054054172164,6846.316710907946
1.0,26.03680763333843,11.0,1.0,0.0,0.0,1.0,0.0,9510.87370165783
0.0,20.690308275765155,9.0,1.0,0.0,0.0,1.0,7556.946129927476,8115.697145304679
1.0,25.95747792976176,10.0,1.0,0.0,0.0,1.0,1134.8519035148825,3127.209455921688
1.0,17.17485730194362,11.0,0.0,0.0,0.0,1.0,1215.210666758834,11316.501809664103
0.0,29.435719046735358,8.0,1.0,0.0,0.0,1.0,24220.689646108993,4464.829149662533
1.0,18.235791711426586,8.0,0.0,1.0,0.0,1.0,9648.589188208603,13152.836034272872
1.0,22.792674452663995,9.0,0.0,0.0,0.0,1.0,12845.725404702538,32807.705617646665
0.0,27.642752911082756,8.0,1.0,0.0,1.0,1.0,469.39010059366865,9119.337542821782
0.0,17.0,11.0,1.0,0.0,0.0,1.0,7270.23523750308,8656.780632600534
1.0,17.67933720114421,9.0,1.0,0.0,0.0,1.0,1773.1405391092194,3389.0322100035532
0.0,24.880784409683777,10.0,1.0,0.0,0.0,1.0,7195.0064843648815,1486.7461389420878
1.0,22.691756400174057,11.0,1.0,0.0,0.0,1.0,961.729492507227,0.0
1.0,19.130844775855852,10.0,1.0,0.0,0.0,1.0,1180.1780490864542,9890.525165524095
0.0,34.79199764019591,11.0,1.0,0.0,0.0,1.0,604.2839082772894,56685.56490697045
0.0,20.188216217556903,9.0,1.0,1.0,0.0,1.0,1843.0582676357171,109.64441885159457
0.0,19.02147427192013,12.0,1.0,0.0,0.0,1.0,3857.736895959693,1429.8839806374867
0.0,19.0,11.0,1.0,0.0,0.0,1.0,204.10021541171892,0.0
1.0,28.01540150001196,10.0,0.0,0.0,0.0,0.0,4123.805499018932,506.1418585381789
