training,age,education,black,hispanic,married,no_degree,re75,re78
0.0,42.05611444705201,10.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,27.606925631722532,8.0,1.0,0.0,0.0,1.0,8277.020087395082,14192.805446525284
1.0,41.49703468913421,11.0,0.0,1.0,0.0,1.0,2103.494013925999,472.33788011587814
0.0,38.25761857383901,10.0,1.0,0.0,0.0,1.0,0.0,144.1834784768726
1.0,18.239765566159953,8.0,1.0,1.0,0.0,1.0,1922.8913161977716,7010.604710377383
0.0,26.052015281951284,13.0,1.0,0.0,1.0,0.0,90.48540296059247,13873.341949408077
0.0,41.50714005680196,10.0,1.0,0.0,0.0,1.0,73.38397853522639,0.0
1.0,28.17235257569002,11.0,0.0,1.0,0.0,1.0,6646.59570121582,8985.925462990244
0.0,18.922666801919267,10.0,1.0,0.0,0.0,1.0,0.0,38.24701718357974
1.0,27.480883470275863,11.0,1.0,0.0,0.0,1.0,7958.506328629987,4242.695328274732
0.0,45.78133585861554,10.0,0.0,0.0,1.0,1.0,0.0,244.38214502121912
0.0,38.403445204338354,9.0,0.0,1.0,0.0,1.0,5633.024117024532,9676.702394616226
0.0,26.23380904185984,9.0,1.0,0.0,0.0,1.0,234.15231499026237,7497.06749036216
0.0,39.570334689690355,8.0,1.0,0.0,0.0,1.0,6317.169077589179,10552.526828396272
1.0,45.14479732214029,8.0,1.0,0.0,0.0,1.0,0.0,8277.446289070142
0.0,18.577920339716133,8.0,0.0,1.0,0.0,1.0,1647.2368331151358,3220.5516332947636
1.0,27.985968164081168,11.0,1.0,0.0,1.0,0.0,7481.665974431075,108.65040568874804
0.0,19.695014606334624,9.0,0.0,1.0,0.0,1.0,1581.2979989832338,3559.218502584782
0.0,26.963209711760122,11.0,1.0,0.0,0.0,0.0,1758.2955451147327,4039.901148316805
1.0,26.62933750720017,10.0,1.0,0.0,0.0,1.0,176.1615634575797,389.28483737613817
0.0,19.77886291479224,8.0,1.0,0.0,0.0,1.0,1455.6477567230081,9635.012447390702
1.0,25.30132084684593,9.0,1.0,0.0,0.0,1.0,6242.494614835812,4023.5145876448682
0.0,26.506926743308956,11.0,0.0,0.0,1.0,1.0,1756.6042881143917,536.2610902529076
1.0,19.151713019936537,9.0,1.0,0.0,0.0,1.0,2303.7276155411782,245.42111170715634
0.0,26.450152652048676,10.0,1.0,0.0,0.0,1.0,291.89212185567885,10449.23861788617
1.0,38.53062932080581,7.0,0.0,0.0,0.0,1.0,1816.5143554848487,13684.434132042908
1.0,25.886241461397347,13.0,1.0,0.0,1.0,0.0,0.0,332.2383594117505
0.0,41.645358940370514,12.0,1.0,0.0,0.0,0.0,0.0,8062.220902346311
0.0,19.27596042203448,8.0,1.0,0.0,0.0,1.0,1471.4059251896642,210.35962162394668
1.0,18.767339111537577,10.0,1.0,0.0,0.0,1.0,1167.9978079445832,0.0
1.0,19.56608477223069,10.0,1.0,0.0,0.0,1.0,1943.0017628194814,8574.102983727982
0.0,38.03472931512011,10.0,1.0,0.0,0.0,1.0,0.0,287.87685701672143
0.0,39.617508330266716,12.0,1.0,0.0,1.0,0.0,3368.0188281512605,4648.853723875305
1.0,18.8985279973144,12.0,1.0,0.0,1.0,1.0,0.0,7921.35858144963
0.0,26.816701205481206,9.0,1.0,0.0,0.0,1.0,2323.2480567100865,8551.89165526999
1.0,19.11706305388594,10.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,25.09030057490296,11.0,0.0,0.0,1.0,0.0,75.74530257939429,774.0969454564665
1.0,19.40165576836663,8.0,1.0,0.0,0.0,1.0,1632.506122913282,4170.971879313794
0.0,38.99667220140736,10.0,1.0,0.0,1.0,0.0,148.60272316563288,8293.964632304422
1.0,27.141100007851687,11.0,1.0,0.0,0.0,0.0,6024.993388743292,11375.221212434486
1.0,29.546077452777347,11.0,1.0,0.0,1.0,0.0,7634.659622962513,5658.9681482872675
1.0,18.58231960117311,10.0,1.0,0.0,0.0,1.0,217.49029175160317,85.81574682150938
0.0,18.62301877993075,11.0,0.0,0.0,0.0,1.0,1532.5407792887008,414.52409275192855
1.0,24.99410032654962,11.0,1.0,0.0,0.0,1.0,2763.7021958572914,4160.426710462398
1.0,18.19697381995232,9.0,0.0,1.0,0.0,1.0,2598.3020260596095,4224.0459301035235
0.0,35.99802068921963,10.0,1.0,0.0,0.0,0.0,5996.081786557541,637.2109182304482
0.0,39.06058759730005,10.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,19.714067404812532,7.0,1.0,0.0,0.0,1.0,7111.645772613419,3882.655972861193
1.0,36.20151541195109,8.0,0.0,1.0,0.0,1.0,2662.3542059789097,9237.853232235959
0.0,36.60650345711745,12.0,1.0,0.0,1.0,0.0,7376.380763571581,61.566414772084585
1.0,19.67157853715546,8.0,1.0,0.0,1.0,1.0,365.82753723963134,11571.219311830184
0.0,28.088400287105248,12.0,1.0,0.0,1.0,0.0,19352.9074571989,3902.689407213969
0.0,19.245927451265988,8.0,1.0,0.0,0.0,1.0,1753.0869110876392,3769.861591339877
0.0,38.805743894205975,11.0,1.0,0.0,0.0,0.0,0.0,3423.7630223812557
0.0,24.714536337940398,11.0,1.0,0.0,0.0,1.0,2214.101965330036,298.1973651387952
0.0,25.025129254665494,9.0,1.0,0.0,1.0,1.0,85.33652238815557,0.0
1.0,25.61474035568911,10.0,1.0,0.0,1.0,1.0,2365.961952226281,0.0
0.0,26.082514093078778,10.0,1.0,0.0,1.0,0.0,7256.110925414885,15916.800571043486
0.0,25.977994846249047,12.0,1.0,0.0,0.0,0.0,1592.9707103551998,5407.247879752999
0.0,19.382041907719678,8.0,1.0,0.0,0.0,1.0,200.62727518641603,3122.957997513735
0.0,20.43549120693093,12.0,1.0,0.0,0.0,1.0,88.57496796365797,150.34563236186992
1.0,23.589925632441666,9.0,0.0,1.0,0.0,1.0,7392.268265889066,8332.4370327012
0.0,19.58458697841537,9.0,1.0,0.0,1.0,1.0,32.334908240830245,6911.243954227125
0.0,38.00862759651014,10.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,19.70623321025107,7.0,1.0,0.0,0.0,1.0,0.0,176.6598166993764
0.0,43.87985013819719,8.0,1.0,0.0,0.0,1.0,6239.133034347711,197.16158951659656
0.0,18.944516497949337,9.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,25.81542985029957,11.0,0.0,1.0,0.0,0.0,6474.124852842485,197.09808952555022
0.0,26.971952657259536,11.0,1.0,0.0,1.0,0.0,1768.9324565136653,457.06364879015155
1.0,27.873337128836855,11.0,1.0,0.0,1.0,0.0,6174.579359952422,5091.040318177816
1.0,35.236085256577866,7.0,0.0,1.0,1.0,1.0,259.97445995808926,8887.685067904074
1.0,19.423224768345648,9.0,1.0,0.0,0.0,1.0,2479.64638729615,369.94186446295504
1.0,25.69138329946149,11.0,1.0,0.0,0.0,1.0,7085.070656991816,8433.91134656166
0.0,27.457803274027256,5.0,1.0,0.0,1.0,1.0,6214.459267786806,0.0
0.0,24.515674187368106,4.0,0.0,0.0,0.0,1.0,0.0,11963.0373359431
1.0,41.16648352630865,11.0,1.0,0.0,1.0,0.0,7239.334833942854,3258.556286887079
1.0,27.143626101867863,10.0,1.0,0.0,0.0,1.0,17.290019375233555,271.92739201439485
0.0,19.94238143537946,10.0,0.0,1.0,0.0,1.0,2061.370010259576,402.4792620160266
0.0,25.778915901462543,9.0,0.0,1.0,0.0,1.0,119.73444054492961,14746.218411158632
1.0,26.90147302196371,7.0,1.0,0.0,0.0,1.0,187.98961125545185,320.0287359226181
1.0,24.217591795686452,12.0,0.0,1.0,0.0,0.0,22.840437954908154,5087.145383679299
1.0,18.071999135408888,10.0,1.0,0.0,0.0,1.0,0.0,3986.6761543487323
0.0,19.460755929845647,7.0,1.0,0.0,0.0,0.0,30.141921162793636,3793.279756724152
0.0,19.38373763168316,10.0,0.0,1.0,0.0,1.0,7784.07773524924,8832.612790243722
1.0,38.07860013219116,11.0,1.0,0.0,1.0,1.0,100.75371145534848,0.0
1.0,25.696978978783296,11.0,0.0,0.0,0.0,0.0,28.195739836376973,177.3154658820461
1.0,26.49674267106663,11.0,1.0,0.0,1.0,0.0,7390.336268662923,4136.958512737092
0.0,26.101503402085786,10.0,1.0,0.0,0.0,1.0,100.07776018128708,431.4820051450393
0.0,25.485530500194017,8.0,1.0,0.0,1.0,1.0,12018.487388440586,9876.310175576536
0.0,24.821222187191996,5.0,0.0,0.0,0.0,1.0,92.87468206249929,106.4928404164364
1.0,19.242025706870393,8.0,1.0,0.0,0.0,1.0,1804.8498073020662,4200.151570381207
0.0,20.07533073399538,8.0,1.0,0.0,0.0,1.0,49.9464682372453,3949.036313085937
1.0,18.858722299283155,8.0,0.0,0.0,0.0,1.0,2362.2026007448103,8846.57080179415
0.0,42.19748772396529,7.0,1.0,0.0,0.0,1.0,103.90499968198267,0.0
0.0,43.04092107548308,10.0,1.0,0.0,0.0,1.0,6321.233904735367,576.8666583642325
1.0,28.84705220233645,11.0,1.0,0.0,1.0,0.0,0.0,4171.961335048861
1.0,19.716017617144207,8.0,1.0,0.0,0.0,1.0,1298.286332103357,3357.3695872216454
0.0,40.386986214031666,7.0,1.0,0.0,0.0,1.0,0.0,4246.7914839505975
1.0,25.128031859951946,9.0,1.0,0.0,0.0,1.0,123.40220857361862,404.48819320612677
0.0,19.427799136276192,9.0,1.0,0.0,0.0,1.0,6238.1564043926965,3490.3908698402524
0.0,25.15092051055986,9.0,1.0,0.0,0.0,1.0,2.506950098776656,4404.132251065966
0.0,24.799144330685372,11.0,0.0,0.0,1.0,1.0,17690.84268064845,3659.5278872861018
