training,age,education,black,hispanic,married,no_degree,re75,re78
0.0,24.14249735903684,10.0,1.0,0.0,1.0,1.0,4382.837168080417,0.0
1.0,17.0,7.0,1.0,0.0,0.0,1.0,0.0,3960.151311416997
0.0,17.0,9.0,1.0,0.0,0.0,1.0,0.0,10750.82883741037
0.0,23.3395667438121,11.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,55.0,16.0,1.0,0.0,0.0,0.0,0.0,60307.93
1.0,36.600098169688664,11.0,0.0,0.0,0.0,1.0,0.0,8852.434024980374
0.0,31.56525292718735,7.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,26.470234558526574,11.0,0.0,1.0,0.0,1.0,4168.425191869997,10809.228558978413
0.0,17.0,16.0,1.0,0.0,0.0,1.0,0.0,60307.93
0.0,21.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,17.0,3.0,1.0,0.0,0.0,1.0,0.0,60307.93
0.0,55.0,16.0,1.0,0.0,0.0,1.0,37431.66,0.0
0.0,17.0,15.0,1.0,0.0,0.0,1.0,0.0,60307.93
1.0,27.0,10.0,0.0,0.0,0.0,1.0,3012.696857383033,2161.21341166619
0.0,24.183620564848752,12.0,1.0,0.0,0.0,0.0,2763.7380314605384,0.0
0.0,26.832215571692686,12.0,1.0,0.0,0.0,0.0,870.5035604836853,8495.706584463958
0.0,17.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,17.0,9.0,0.0,1.0,0.0,1.0,0.0,2169.351400343175
0.0,24.82577694843484,8.0,1.0,0.0,1.0,1.0,0.0,5920.800162629447
1.0,24.421311987299564,11.0,1.0,0.0,0.0,1.0,5560.278015794646,11470.228780604775
1.0,17.0,3.0,1.0,0.0,0.0,1.0,37431.66,60307.93
0.0,28.330609838871478,11.0,1.0,0.0,0.0,1.0,12464.537945071555,5535.611810650682
0.0,18.0,8.0,1.0,0.0,0.0,1.0,3871.2552280634795,4987.522806612997
0.0,32.63589323833442,12.0,0.0,0.0,0.0,0.0,1220.2524383566495,16871.1620681465
1.0,24.1588658772934,6.0,1.0,0.0,0.0,1.0,0.0,3762.8910768968312
1.0,21.05296448083801,12.0,1.0,0.0,0.0,0.0,0.0,11395.425659706925
0.0,55.0,3.0,1.0,0.0,0.0,1.0,37431.66,0.0
0.0,30.810841435856645,10.0,1.0,0.0,0.0,1.0,112.74569507669554,614.5760065097794
0.0,19.74066141842618,10.0,1.0,0.0,0.0,1.0,0.0,3730.1342181055893
1.0,22.634774723849624,11.0,1.0,0.0,0.0,1.0,2112.9200437414443,4418.802866091105
0.0,55.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,17.0,11.0,1.0,0.0,0.0,1.0,0.0,6886.061961062738
0.0,21.728604370482813,12.0,1.0,0.0,0.0,1.0,37431.66,0.0
1.0,20.621208567712607,11.0,1.0,0.0,1.0,1.0,4525.841972213857,4398.289241845907
0.0,25.85358383898208,8.0,1.0,0.0,0.0,1.0,4838.918885865569,2758.2330999009123
0.0,17.938829882734357,11.0,1.0,0.0,0.0,1.0,2417.0627340709793,6071.370550910546
0.0,17.0,10.0,1.0,0.0,0.0,1.0,1246.7756092692337,0.0
0.0,48.91994281708109,5.0,1.0,0.0,1.0,1.0,0.0,5280.123474702531
