x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,y,treatment
46,C,60.0,35.0,77,289,0,0,0,0,0,1,1,1,1,0,0,0,0,70,P,1,5,E,19,12,88,16,18,1,1,0,0,7,43,940,98,1,0,10,2,0,0,85,4,0,0,0,0,0,0,0,0,0,0,2,34,21,-10.5597454251167,0
46,C,60.0,35.0,40,289,0,0,0,0,0,0,0,1,1,0,0,0,0,70,A,1,5,E,7,124,88,66,18,0,0,0,0,99,7,940,98,1,0,8,2,0,0,85,4,0,0,0,0,0,0,0,0,0,0,2,34,21,-10.5597454251167,0
14,C,60.0,35.0,40,289,0,0,0,0,0,2,1,0,1,0,0,0,0,70,A,1,5,B,19,124,88,16,0,0,0,0,0,7,7,940,98,1,0,8,6,0,0,85,4,1,0,1,1,0,0,0,0,0,0,3,34,21,-10.5597454251167,0
46,C,0.0,35.0,40,289,0,0,0,0,0,0,1,0,1,0,0,0,0,70,A,1,5,B,19,124,284,16,18,0,0,0,0,7,43,940,98,1,0,8,6,0,23,85,4,5,0,1,1,0,0,0,1,0,0,3,34,21,-10.5597454251167,0
46,C,0.0,0.0,40,71,0,0,1,1,0,1,2,0,1,1,0,18,105,70,P,1,95,E,19,124,284,66,18,1,2,0,0,99,7,940,98,0,0,8,7,0,23,13,4,1,0,0,0,0,0,0,0,0,0,1,51,21,25.0513028598655,0
46,C,60.0,35.0,40,289,0,0,0,0,0,1,1,1,1,0,0,0,0,70,A,1,5,E,7,124,88,16,18,0,2,0,0,7,43,940,98,1,0,7,5,0,23,85,4,4,0,0,2,0,0,0,1,0,0,2,34,21,-10.5597454251167,0
14,C,0.0,0.0,77,71,0,0,0,0,0,0,0,0,1,0,0,18,105,70,A,1,5,B,19,124,88,16,0,0,0,0,0,7,7,150,1,0,10,6,2,0,23,85,4,0,0,0,0,0,0,0,0,0,0,0,34,50,-10.5597454251167,0
14,C,0.0,0.0,40,71,4,0,1,0,0,2,2,0,1,1,0,0,105,70,P,1,95,E,19,12,284,16,18,1,1,0,0,99,40,940,98,0,0,8,3,0,23,85,4,8,0,1,5,0,0,0,1,0,0,4,34,21,-10.5597454251167,0
14,C,0.0,0.0,40,289,0,0,0,0,0,0,1,0,1,0,0,0,0,70,A,1,5,B,19,124,88,16,0,0,0,0,0,7,7,940,98,1,0,8,6,0,23,85,4,5,0,1,1,0,0,0,0,0,0,3,34,21,-10.5597454251167,0
46,C,0.0,35.0,40,289,0,0,0,0,0,0,1,0,1,0,0,0,0,70,A,1,5,B,19,124,88,16,0,0,0,0,0,7,7,940,98,1,0,8,6,0,0,85,4,8,0,1,1,0,0,0,1,0,0,3,34,21,-10.5597454251167,0
